
[00:00:00.000 --> 00:00:05.000]  那我們先在神的面前,我們先來禱告好嗎?
[00:00:05.000 --> 00:00:07.000]  我們先有個祈禱
[00:00:07.000 --> 00:00:11.000]  親愛的聖天父,再次的感謝祢
[00:00:11.000 --> 00:00:13.000]  親愛的聖天父,我們再次感謝祢
[00:00:13.000 --> 00:00:16.000]  我們今天有這樣的福分來到祢的面前
[00:00:16.000 --> 00:00:19.000]  我們今天有這樣的福分可以來到祢的面前
[00:00:19.000 --> 00:00:23.000]  就求祢再次的賜福給我們
[00:00:23.000 --> 00:00:25.000]  求祢再次的賜福給我們
[00:00:25.000 --> 00:00:29.000]  讓聖靈在這個會場運轉
[00:00:29.000 --> 00:00:32.000]  讓聖靈在我們會堂中間運轉
[00:00:32.000 --> 00:00:36.000]  掌管我們每個人的心
[00:00:36.000 --> 00:00:41.000]  讓我們的心思意念
[00:00:41.000 --> 00:00:45.000]  都集中在耶穌基督的身上
[00:00:45.000 --> 00:00:50.000]  在這裡讓祂掌管我們的一切
[00:00:50.000 --> 00:00:57.000]  我們這樣的禱告是奉主耶穌基督的命求
[00:00:57.000 --> 00:00:59.000]  阿彌陀佛
[00:00:59.000 --> 00:01:05.000]  今天我是要跟著余牧師講道系列講下去
[00:01:05.000 --> 00:01:11.000]  今天會繼續講登山的詩歌
[00:01:11.000 --> 00:01:18.000]  上行之詩是從120篇開始的登山詩
[00:01:18.000 --> 00:01:20.000]  今天講到130篇
[00:01:20.000 --> 00:01:24.000]  上行之詩是從120篇到134篇
[00:01:24.000 --> 00:01:27.000]  今天講到131篇
[00:01:27.000 --> 00:01:31.000]  我先來道歉
[00:01:31.000 --> 00:01:36.000]  因為有可能跟余牧師講道
[00:01:36.000 --> 00:01:39.000]  接得不是很完美
[00:01:39.000 --> 00:01:44.000]  他講得不是很好請大家包容
[00:01:44.000 --> 00:01:46.000]  因為有兩點
[00:01:46.000 --> 00:01:52.000]  一點是我沒有機會聽余牧師在整個系列的講道
[00:01:52.000 --> 00:01:54.000]  有兩個原因
[00:01:54.000 --> 00:01:56.000]  一方面他沒有聽我以前的講道
[00:01:56.000 --> 00:01:59.000]  其實他的講道全部上網了
[00:01:59.000 --> 00:02:04.000]  但是我沒有時間全十多篇一起來聽
[00:02:04.000 --> 00:02:06.000]  其實那些講道全部上網了
[00:02:06.000 --> 00:02:10.000]  但是他沒有那麼多時間聽十幾篇的講道
