
[00:00:00.000 --> 00:00:05.000]  過去兩個星期,我們講到的是《我是誰》這個講道系列
[00:00:05.000 --> 00:00:06.000]  今天來到第三講了
[00:00:06.000 --> 00:00:11.000]  不知道大家還記不記得上兩個星期我們所講到的是什麼身份呢?
[00:00:11.000 --> 00:00:15.000]  如果大家記得,第一個是我們神國道裏面的公民,是不是?
[00:00:15.000 --> 00:00:18.000]  第二個就是我們在這個地上是一個旅客
[00:00:18.000 --> 00:00:22.000]  今天我們講到,除了公民旅客的身份之外
[00:00:22.000 --> 00:00:25.000]  我們第三個的身份,我們可以去思考的就是
[00:00:25.000 --> 00:00:29.000]  我們是一個地上神所差拜的福音使者
[00:00:29.000 --> 00:00:33.000]  神所給過我們不同的身份,其實都是告訴我們
[00:00:33.000 --> 00:00:40.000]  再次提醒我們,我們是神賜予我們存在地上的價值
[00:00:40.000 --> 00:00:44.000]  而這個價值是充滿了神的恩典,充滿了神的愛
[00:00:44.000 --> 00:00:50.000]  但同一個時間,這些身份都帶來我們在地上有一些責任
[00:00:50.000 --> 00:00:52.000]  神是要我們去負的
[00:00:52.000 --> 00:00:56.000]  今天通過這些經文,我們看看究竟神給過我們這些身份
[00:00:56.000 --> 00:01:02.000]  同一個時間,這些身份帶來我們地上什麼責任呢?
[00:01:02.000 --> 00:01:08.000]  我們一起來看看,我們首先看第一和第九節
[00:01:08.000 --> 00:01:13.000]  在這件事情之後,今天我們很多時候看這段經文
[00:01:13.000 --> 00:01:16.000]  都忽略了「者是以後」
[00:01:16.000 --> 00:01:20.000]  究竟這裡所講的「者是以後」是什麼意思呢?
[00:01:20.000 --> 00:01:28.000]  通常每一個段落開始的時候,那個連結詞都告訴我們
[00:01:28.000 --> 00:01:32.000]  這個故事、這番說話、這段經文
[00:01:32.000 --> 00:01:35.000]  發生的場景是一個什麼樣的場景
[00:01:35.000 --> 00:01:40.000]  而這個場景是可以幫助我們更加容易去理解
[00:01:40.000 --> 00:01:43.000]  這一段經文究竟講些什麼
[00:01:43.000 --> 00:01:48.000]  這裡所講的「者是以後」究竟所講的是什麼事情呢?
[00:01:48.000 --> 00:01:53.000]  如果我們看回這段經文之前的幾節經文的時候
[00:01:53.000 --> 00:01:57.000]  這裡講到原來那時候有人跟耶穌說
[00:01:57.000 --> 00:02:02.000]  主啊,無論你往什麼地方去,我都要跟著你
[00:02:02.000 --> 00:02:04.000]  意思就是說什麼?
[00:02:04.000 --> 00:02:09.000]  意思就是這幫人認定了耶穌是他們的主
[00:02:09.000 --> 00:02:12.000]  認定了耶穌,用我們今天的語言
[00:02:12.000 --> 00:02:15.000]  耶穌是我們的老闆,耶穌是我們的老闆
[00:02:15.000 --> 00:02:20.000]  這個問題就出來了,因為這幫人卻用不同的原因
[00:02:20.000 --> 00:02:26.000]  去擔言、實踐跟從主的行動
[00:02:26.000 --> 00:02:31.000]  有些人就說,讓我回家先埋葬我的父親
[00:02:31.000 --> 00:02:35.000]  或者讓我先辭別我家裡的人
[00:02:35.000 --> 00:02:39.000]  當然,大家聽下去這些都是很合理的原因
[00:02:39.000 --> 00:02:42.000]  不過耶穌不是單看表面的原因
[00:02:42.000 --> 00:02:46.000]  祂也是看到實際上人的內心
[00:02:46.000 --> 00:02:49.000]  祂能夠作出很真實的分別
[00:02:49.000 --> 00:02:54.000]  而當人就用不同的原因、不同的藉口
[00:02:54.000 --> 00:03:00.000]  去不負上跟隨主的代價的時候
[00:03:00.000 --> 00:03:10.000]  主耶穌就說,守負著來向後看的不配進神的國
[00:03:10.000 --> 00:03:15.000]  然之,雖然他們認定了耶穌是他們的老闆
[00:03:15.000 --> 00:03:19.000]  不過如果他們只是想出工資而不想開工
[00:03:19.000 --> 00:03:23.000]  或者只是想出糧而不想出汗的時候
[00:03:23.000 --> 00:03:28.000]  耶穌說這一類的人不配進神的國
[00:03:28.000 --> 00:03:32.000]  而實際上也許他們根本不明白什麼叫認識神
[00:03:32.000 --> 00:03:36.000]  也不明白什麼叫真正的相信
[00:03:36.000 --> 00:03:41.000]  當我們很認真去當耶穌為我們的主人
[00:03:41.000 --> 00:03:43.000]  是我們的老闆的時候
[00:03:43.000 --> 00:03:50.000]  當然,跟隨而來的就是我們要服從主耶穌給過我們的命令
[00:03:50.000 --> 00:03:54.000]  也要按照神所交代我們的事情去工作
[00:03:54.000 --> 00:03:58.000]  那你會說,咦?那我們要做些什麼?
[00:03:58.000 --> 00:04:03.000]  在經文裡面,當耶穌設立了這七十個人之後
[00:04:03.000 --> 00:04:10.000]  他就跟這七十個人說,要收的莊稼多,作工的人少
[00:04:10.000 --> 00:04:16.000]  當然,耶穌不是叫那七十個人去收莊稼
[00:04:16.000 --> 00:04:20.000]  很明顯,收莊稼只是一個比喻
[00:04:20.000 --> 00:04:22.000]  而當我們看第九節的時候
[00:04:22.000 --> 00:04:27.000]  當耶穌差派這幫人進入不同的鄉村裡面
[00:04:27.000 --> 00:04:33.000]  做什麼?去告訴村民,神的國臨近你們了
[00:04:33.000 --> 00:04:42.000]  很明顯,莊稼這裡就是指那些人準備了他們的心來接受福音
[00:04:42.000 --> 00:04:47.000]  接受神的國度,就是指這一幫已經準備好的人
[00:04:47.000 --> 00:04:54.000]  當神的國具體實現之前
[00:04:54.000 --> 00:04:59.000]  每一個基督徒,每一個世代信主的人
[00:04:59.000 --> 00:05:07.000]  都需要有責任去延續這七十個,你可以說是福音的先鋒
[00:05:07.000 --> 00:05:11.000]  而這個收割的行動
[00:05:11.000 --> 00:05:15.000]  也不是單是在耶穌時代那幾個村莊
[00:05:15.000 --> 00:05:18.000]  而是指什麼?而是指歷世歷代
[00:05:18.000 --> 00:05:25.000]  每一個世界各落,直到地極的每一個地方都是我們收割的地方
[00:05:25.000 --> 00:05:31.000]  為什麼?因為主耶穌在這個升天之前曾經頒布一個很重要的命令
[00:05:31.000 --> 00:05:34.000]  在馬太坊二十八章,大家都聽過很多次
[00:05:34.000 --> 00:05:41.000]  主耶穌說天上地下所有的權柄已經賜給主耶穌基督
[00:05:41.000 --> 00:05:45.000]  所以主耶穌說你們要去,去做什麼?
[00:05:45.000 --> 00:05:50.000]  使萬民作我的門徒,直到什麼?直到世界的末遼
[00:05:50.000 --> 00:05:58.000]  就是說在時間終結之前,我們都要履行實踐主耶穌叫我們去傳福音的使命
