
[00:00:00.000 --> 00:00:02.000]  大英姐妹復活節快樂
[00:00:02.000 --> 00:00:07.000]  今日就是耶穌基督復活的日子
[00:00:07.000 --> 00:00:16.000]  所以我們一齊思想究竟復活有什麼意義呢
[00:00:16.000 --> 00:00:27.000]  我記得在1998年或者1999年的時候
[00:00:27.000 --> 00:00:30.000]  我還在香港做電腦的工作
[00:00:30.000 --> 00:00:41.000]  在那個時候我和同事都非常緊張
[00:00:41.000 --> 00:00:44.000]  面對著電腦千年蟲的問題
[00:00:44.000 --> 00:00:55.000]  在那個時候也有很多的傳說
[00:00:55.000 --> 00:00:58.000]  就是說2000年會是世界末日
[00:00:58.000 --> 00:01:04.000]  可能你也聽過
[00:01:04.000 --> 00:01:07.000]  那段時間也有很多世界末日的電影
[00:01:07.000 --> 00:01:13.000]  12年過去了之後
[00:01:13.000 --> 00:01:17.000]  2012年又相傳會是世界末日
[00:01:22.000 --> 00:01:26.000]  說到瑪雅的月曆
[00:01:26.000 --> 00:01:29.000]  到了2012年就沒有了
[00:01:29.000 --> 00:01:36.000]  你也記得有一套電影
[00:01:36.000 --> 00:01:38.000]  叫《2012》是說世界末日
[00:01:38.000 --> 00:01:40.000]  今天是很大製作
[00:01:40.000 --> 00:01:46.000]  又過了12年
[00:01:46.000 --> 00:01:48.000]  今年就是2024年
[00:01:51.000 --> 00:01:53.000]  不知道你有沒有聽過
[00:01:53.000 --> 00:01:58.000]  今年也有很多說世界末日的討論
[00:01:58.000 --> 00:02:06.000]  因為最近有些YouTube推介
[00:02:06.000 --> 00:02:09.000]  說世界末日是2024年
[00:02:09.000 --> 00:02:13.000]  可能因為2023年會戰爭、打仗那些
[00:02:21.000 --> 00:02:28.000]  所以你看到關於世界末日的討論
[00:02:28.000 --> 00:02:30.000]  每隔一段時間都會出現
[00:02:30.000 --> 00:02:39.000]  而人也都是很焦慮
[00:02:39.000 --> 00:02:44.000]  我相信其實因為人看到這個世界紛紛亂亂的時候
[00:02:44.000 --> 00:02:47.000]  因為這些焦慮、這些災難
[00:02:47.000 --> 00:02:51.000]  很多時候都會聯想到世界究竟什麼時候末日
[00:02:51.000 --> 00:03:04.000]  但是其實聖經也有說很多世界末日
[00:03:04.000 --> 00:03:11.000]  但是聖經說到世界末日的焦點
[00:03:11.000 --> 00:03:15.000]  卻不是因為要滿足人的好奇心
[00:03:18.000 --> 00:03:22.000]  而特別是聖經的啟示錄
[00:03:22.000 --> 00:03:27.000]  更加也不是一本加密了關於未來世界的事件簿
[00:03:27.000 --> 00:03:35.000]  所以人不需要將自己的憂慮
[00:03:35.000 --> 00:03:38.000]  加上一些想像投射在未來
[00:03:38.000 --> 00:03:43.000]  然後想到末日會有什麼事情發生
[00:03:47.000 --> 00:03:55.000]  反之聖經說的世界末日其實有三個主題
[00:03:55.000 --> 00:04:05.000]  第一個主題就是神自己親自降臨
[00:04:05.000 --> 00:04:12.000]  在初一及的時間就是神親自降臨在西乃山
[00:04:16.000 --> 00:04:21.000]  在西乃山神也將祂的心意頒布了律法給祂的子民
[00:04:21.000 --> 00:04:27.000]  但是隨著年月的過去
[00:04:27.000 --> 00:04:31.000]  我們看到以色列人的背叛、失敗
[00:04:31.000 --> 00:04:33.000]  他們也違反了神的心意
[00:04:33.000 --> 00:04:35.000]  引來懲罰和憤怒
[00:04:44.000 --> 00:04:48.000]  所以在聖經舊約的先知當中
[00:04:48.000 --> 00:04:52.000]  多次預言神將來會再來
[00:04:52.000 --> 00:05:02.000]  那裡說到有一個叫做耶和華的日子
[00:05:02.000 --> 00:05:05.000]  耶和華神會回來執掌皇權
[00:05:05.000 --> 00:05:07.000]  修復一切的背影
[00:05:07.000 --> 00:05:12.000]  也被自己和其他人恢復了關係
[00:05:14.000 --> 00:05:16.000]  修復一切的背影
[00:05:16.000 --> 00:05:19.000]  也被自己和其他人恢復了關係
[00:05:19.000 --> 00:05:29.000]  第二個主題就是救贖的完成
[00:05:29.000 --> 00:05:38.000]  救贖的完成就是神親自降臨
[00:05:38.000 --> 00:05:40.000]  救贖的完成就是神親自降臨
[00:05:40.000 --> 00:05:42.000]  救贖的完成就是神親自降臨
[00:05:42.000 --> 00:05:45.000]  俗神的子民在這個世界上有苦難
[00:05:45.000 --> 00:05:47.000]  也可能會受到迫害
[00:05:47.000 --> 00:05:52.000]  但是我們知道神的救贖
[00:05:52.000 --> 00:05:54.000]  將會來臨的時候
[00:05:54.000 --> 00:05:56.000]  會帶給祂的子民終極的解放
[00:05:56.000 --> 00:06:10.000]  第三個脈絡就是講到罪惡會被清除
[00:06:12.000 --> 00:06:20.000]  罪惡是苦難的源頭
[00:06:20.000 --> 00:06:29.000]  而苦難的根源有多方面
[00:06:29.000 --> 00:06:37.000]  出於人的罪性 劣根性
[00:06:37.000 --> 00:06:41.000]  可能是社會的氛圍
[00:06:43.000 --> 00:06:44.000]  可能是魔鬼的牢籠
[00:06:44.000 --> 00:06:54.000]  雖然人仍有著對於世界社會烏托邦的幻想
[00:06:54.000 --> 00:07:00.000]  但是我們知道神一日未回來
[00:07:00.000 --> 00:07:02.000]  罪惡是不會被清除的
[00:07:02.000 --> 00:07:10.000]  所以關於末世聖經的三條主線
[00:07:10.000 --> 00:07:14.000]  就是神的來臨 救贖的完成 罪惡的被清除
[00:07:14.000 --> 00:07:24.000]  而今天是復活節
[00:07:24.000 --> 00:07:26.000]  當然我們就是講耶穌復活
[00:07:26.000 --> 00:07:32.000]  原來聖經說到耶穌的復活
[00:07:32.000 --> 00:07:37.000]  正正就是標誌著末日的事件
[00:07:37.000 --> 00:07:39.000]  已經來臨這個世界
