
[00:00:00.000 --> 00:00:02.920]  我們今天仍然回到《羅馬書》
[00:00:02.920 --> 00:00:05.080]  今天去到第七章
[00:00:05.080 --> 00:00:07.440]  由第一章到第六章
[00:00:07.440 --> 00:00:09.600]  我們已經有不同的童宮
[00:00:09.600 --> 00:00:11.880]  跟大家解釋了
[00:00:11.880 --> 00:00:13.640]  由第一章到第六章
[00:00:13.640 --> 00:00:16.600]  當然《羅馬書》由第一章開始到第六章
[00:00:16.600 --> 00:00:19.520]  大家都聽到我們的童宮
[00:00:19.520 --> 00:00:22.520]  很多時候都會說四個字
[00:00:22.520 --> 00:00:26.160]  這四個字就是「因順而稱義」
[00:00:26.160 --> 00:00:28.040]  《羅馬書》第一章到第六章
[00:00:28.040 --> 00:00:32.160]  的而且確是保羅透過不同的角度
[00:00:32.160 --> 00:00:34.920]  和我們去探討、去思考
[00:00:34.920 --> 00:00:38.160]  我們整個基督教信仰的一個核心價值
[00:00:38.160 --> 00:00:40.520]  我們不是靠行為稱義
[00:00:40.520 --> 00:00:42.960]  我們是因順稱義
[00:00:42.960 --> 00:00:43.880]  換言之
[00:00:43.880 --> 00:00:46.040]  我們一定要看得到
[00:00:46.040 --> 00:00:48.640]  我們信仰的中心
[00:00:48.640 --> 00:00:51.640]  我們靠自己絕對不能夠得救
[00:00:51.640 --> 00:00:54.520]  我們唯有靠耶穌基督的救恩
[00:00:54.520 --> 00:00:59.120]  祂的救恩是因著耶穌基督自己的生命的擺上
[00:00:59.120 --> 00:01:00.200]  所以我們經常說
[00:01:00.200 --> 00:01:03.800]  我們的恩典絕對不是一個廉價恩典
[00:01:03.800 --> 00:01:06.800]  我們的恩典是耶穌基督的生命
[00:01:06.800 --> 00:01:10.280]  以致到這個生命是一個代價的生命
[00:01:10.280 --> 00:01:13.320]  以致到祂的死就買熟了我們
[00:01:13.320 --> 00:01:16.680]  能夠與神重建一個關係
[00:01:16.680 --> 00:01:18.200]  所以由第一章到第六章
[00:01:18.200 --> 00:01:19.680]  我們很明白
[00:01:19.680 --> 00:01:22.160]  講《羅馬書》絕對不容易
[00:01:22.160 --> 00:01:26.200]  因為《羅馬書》是保羅一個很重要的神觀
[00:01:26.200 --> 00:01:27.520]  一個救恩觀
[00:01:27.520 --> 00:01:29.280]  以致到我們每個童工
[00:01:29.280 --> 00:01:32.200]  被安排講一個段落
[00:01:32.200 --> 00:01:35.080]  用三十分鐘、四十分鐘去講完
[00:01:35.080 --> 00:01:37.120]  的確是不簡單
[00:01:37.120 --> 00:01:37.760]  但另一方面
[00:01:37.760 --> 00:01:42.280]  我們的童工是很用心去預備每一篇講道
[00:01:42.280 --> 00:01:44.400]  我們很深信我們今天回來教會
[00:01:44.400 --> 00:01:47.000]  我們絕對不是一種消費者心態
[00:01:47.000 --> 00:01:49.200]  大家明白什麼叫消費者心態嗎?
[00:01:49.200 --> 00:01:50.600]  消費者心態就是回來教會
[00:01:50.600 --> 00:01:53.280]  看看童工躺在椅子上是否舒服
[00:01:53.280 --> 00:01:55.760]  看看音樂是否動聽
[00:01:55.760 --> 00:01:58.360]  看鋼琴是用大鋼琴還是什麼
[00:01:58.360 --> 00:02:00.200]  就是這些消費者
[00:02:00.200 --> 00:02:02.440]  但我們很深信我們的消費者心態
[00:02:02.440 --> 00:02:03.520]  有時候都會覺得
[00:02:03.520 --> 00:02:05.120]  哪個講道講得好一點
[00:02:05.120 --> 00:02:06.680]  哪個講道講得不好一點
[00:02:06.680 --> 00:02:08.480]  哪個好像悶一點
[00:02:08.480 --> 00:02:10.320]  哪個好像說笑話
[00:02:10.320 --> 00:02:13.560]  我們會有這種心情去比較
[00:02:13.560 --> 00:02:15.640]  不過我自己思考
[00:02:15.640 --> 00:02:18.040]  過去人生的事夢當中
[00:02:18.040 --> 00:02:19.480]  我們很多童工
[00:02:19.480 --> 00:02:22.240]  有機會在這裡講道
[00:02:22.240 --> 00:02:24.160]  有些童工很新
[00:02:24.160 --> 00:02:27.080]  有些童工做了幾年
[00:02:27.080 --> 00:02:29.720]  我們經常都覺得侍奉神
[00:02:29.720 --> 00:02:31.040]  是一個生命的侍奉
[00:02:31.040 --> 00:02:33.960]  我們的信仰是生命影響什麼?
[00:02:33.960 --> 00:02:34.840]  生命
[00:02:34.840 --> 00:02:37.200]  換言之我們的道
[00:02:37.200 --> 00:02:40.640]  我經常都覺得我們應該是生命之道
[00:02:40.640 --> 00:02:42.640]  不過生命之道我也明白
[00:02:42.640 --> 00:02:44.840]  人生的歷程裏面
[00:02:44.840 --> 00:02:47.480]  年紀可能越大一點
[00:02:47.480 --> 00:02:49.760]  生命的歷程多一點的時候
[00:02:49.760 --> 00:02:51.480]  或許他所講的道
[00:02:51.480 --> 00:02:53.480]  是更加明白
[00:02:53.480 --> 00:02:56.160]  更加是一種生命的感受
[00:02:56.160 --> 00:02:58.640]  你知道我們可能對某些弟兄姊妹
[00:02:58.640 --> 00:03:01.600]  接受性會容易一點
[00:03:01.600 --> 00:03:03.440]  某些可能新的童工
[00:03:03.440 --> 00:03:04.880]  可能他所講的道
[00:03:04.880 --> 00:03:07.000]  可能比較著重在《釋經》
[00:03:07.000 --> 00:03:08.280]  著重在《聖經》裏面
[00:03:08.280 --> 00:03:10.920]  或者他們未必有足夠的經驗
[00:03:10.920 --> 00:03:14.800]  來講多一點生命的影響
[00:03:14.800 --> 00:03:16.080]  不過我仍深信
[00:03:16.080 --> 00:03:18.760]  我們的童工預備每一篇講章的時候
[00:03:18.760 --> 00:03:21.640]  他們一定是用心去寫的
[00:03:21.640 --> 00:03:22.760]  如果童工講道
[00:03:22.760 --> 00:03:24.920]  正正是你們的目的的區域的時候
[00:03:24.920 --> 00:03:27.200]  你們一定要為他祈禱
[00:03:27.200 --> 00:03:30.040]  我們不是去批評他的講道
