
[00:00:00.000 --> 00:00:08.700]  大家早安,再一次有個機會來和大家分享
[00:00:08.700 --> 00:00:22.800]  每一個月來到的時候都會提醒我季節的轉變
[00:00:22.800 --> 00:00:37.600]  上一次我來的時候是一個很嚴寒的冬天,現在是春天已經來了
[00:00:37.600 --> 00:00:48.600]  我今天都會略略提到神和季節的一些事情
[00:00:48.600 --> 00:00:55.600]  無論那個季節是怎樣,神對我們的信實是不改變
[00:00:55.600 --> 00:00:58.600]  讓我們一同來祈求
[00:00:58.600 --> 00:01:08.600]  我們親愛的父神,多謝你對我們的信實
[00:01:08.600 --> 00:01:18.600]  求你幫助我們明白怎樣向你有忠誠
[00:01:18.600 --> 00:01:28.600]  所以無論這個世界在什麼季節裏面
[00:01:28.600 --> 00:01:33.600]  或者你是怎樣呼召我們去做的事情
[00:01:33.600 --> 00:01:36.600]  我們都是用公義來回應你
[00:01:38.600 --> 00:01:42.600]  引導我們進入你自己的華語
[00:01:42.600 --> 00:01:46.600]  奉主耶穌的聖名祈求
[00:01:46.600 --> 00:02:01.600]  我們首先溫習一下約是什麼意思
[00:02:01.600 --> 00:02:07.600]  約是有兩方面的意思
[00:02:09.600 --> 00:02:18.600]  一件事就是在約裏面有不同的納約的人
[00:02:18.600 --> 00:02:28.600]  第二件事就是這兩者之間所需要履行的義務
[00:02:31.600 --> 00:02:38.600]  所以我們看到有人有兩方面和他們需要的義務
[00:02:38.600 --> 00:02:48.600]  有一個很舊的電影叫做回家
[00:02:48.600 --> 00:02:55.600]  這個是關於一個家庭他們有一些寵物
[00:02:55.600 --> 00:02:59.600]  他們有兩隻狗一隻貓
[00:03:01.600 --> 00:03:04.600]  他們需要帶動這些寵物去一個很遠的沙漠
[00:03:04.600 --> 00:03:16.600]  但是那些寵物似乎對他們的主人有一些義務
[00:03:25.600 --> 00:03:32.600]  所以這兩隻狗和貓就離開了那座農場
[00:03:32.600 --> 00:03:41.600]  這是一個很戲劇性的故事
[00:03:41.600 --> 00:03:46.600]  是關於那些寵物要走多遠的路去履行他們的義務
[00:03:54.600 --> 00:03:56.600]  雖然這跟約沒有關係
[00:03:56.600 --> 00:04:02.600]  但是這兩者之間的關係還是相似的
[00:04:02.600 --> 00:04:06.600]  似乎不是完全講到約的意思
[00:04:06.600 --> 00:04:12.600]  但是我們看到在這個關係裏面有兩者和他們需要的義務
[00:04:18.600 --> 00:04:24.600]  在詩篇95篇的時候是講到我們神的關係
[00:04:24.600 --> 00:04:36.600]  最基本的本質就是祂是我們的創造主
[00:04:36.600 --> 00:04:38.600]  我們是祂的創造物
[00:04:44.600 --> 00:04:49.600]  所以在這個關係裏面神是居於高的地位
[00:04:49.600 --> 00:04:58.600]  我們首要的回應就是需要去敬拜祂
[00:04:58.600 --> 00:05:11.600]  我們覺得在這些創造和造物的應有固有的關係
[00:05:15.600 --> 00:05:19.600]  甚至一些動物也是按著祂的本性來敬拜神
[00:05:19.600 --> 00:05:24.600]  如果是順著本性去做的
[00:05:24.600 --> 00:05:27.600]  本身就是在榮耀神
[00:05:27.600 --> 00:05:38.600]  神和亞當和夏娃所立的約
[00:05:38.600 --> 00:05:44.600]  所以特別是因為這個關係有進一步的界定
[00:05:44.600 --> 00:05:54.600]  在第七節講到我是神的子民也是祂的羊群
[00:05:54.600 --> 00:06:06.600]  這就是神和亞當和夏娃在伊甸園所講到的東西
[00:06:08.600 --> 00:06:20.600]  亞當和夏娃能夠一直保守自己的神的子民,自己的羊群的話
[00:06:20.600 --> 00:06:22.600]  神就會看顧他們
[00:06:22.600 --> 00:06:32.600]  祂會給他們安排一些好的草場和會保佑他們
[00:06:38.600 --> 00:06:43.600]  可能在我們創造的本性中
[00:06:43.600 --> 00:06:49.600]  有些東西是不在約的範疇裏面
[00:06:49.600 --> 00:06:58.600]  因為我們是按著神的形象而被造
[00:06:58.600 --> 00:07:01.600]  所以我們和神有很多地方的相似
[00:07:07.600 --> 00:07:11.600]  當我們工作的時候很像神的工作
[00:07:11.600 --> 00:07:15.600]  當我們被神設計成為有那個關係
[00:07:15.600 --> 00:07:18.600]  神也是和人有那個關係
[00:07:18.600 --> 00:07:25.600]  這個是我形容祂是一個本性
[00:07:25.600 --> 00:07:27.600]  我們自己人的本性
[00:07:37.600 --> 00:07:39.600]  就算有些不認識神的人
[00:07:39.600 --> 00:07:44.600]  如果他按著神做他的本性來生活的話
[00:07:44.600 --> 00:07:46.600]  他也是在榮耀神
[00:07:46.600 --> 00:07:57.600]  但在我這個約中的關係是有些特別的事情我們需要做
[00:07:57.600 --> 00:08:06.600]  重點就是我們怎樣去做和怎樣去建立這些關係
[00:08:08.600 --> 00:08:16.600]  我們會盡力來按照神所盼望我們所要做的事去做
[00:08:16.600 --> 00:08:25.600]  但我們知道亞當和夏娃最終是失敗了
[00:08:25.600 --> 00:08:34.600]  他們沒有停留在成為神的羊群的一部分
[00:08:38.600 --> 00:08:40.600]  你可以這樣想
[00:08:40.600 --> 00:08:45.600]  如果亞當和夏娃在神自己的草場上的時候
[00:08:45.600 --> 00:08:54.600]  魔鬼引誘了夏娃
[00:08:54.600 --> 00:08:59.600]  嘗試欺騙她離開神的草場
[00:09:03.600 --> 00:09:08.600]  跟她說是不是在別的地方的草場更加好呢
[00:09:08.600 --> 00:09:15.600]  為什麼神會不容許你去那些草場呢
[00:09:15.600 --> 00:09:21.600]  所以夏娃就吃了那個禁果
[00:09:21.600 --> 00:09:29.600]  亞當看見這個事情發生的時候
[00:09:29.600 --> 00:09:32.600]  他看見一些不同的觀點
