
[00:00:00.000 --> 00:00:02.000]  (主席) 鄧小平 早安
[00:00:02.000 --> 00:00:07.000]  很高興有機會回來我們的禮拜堂 去崇拜
[00:00:07.000 --> 00:00:09.000]  我們每次進來的時候
[00:00:09.000 --> 00:00:13.000]  大概都覺得這裡是一個很優美的地方
[00:00:13.000 --> 00:00:16.000]  我們的聖樂很動聽
[00:00:16.000 --> 00:00:20.000]  並且這裡很莊嚴和很有歷史感
[00:00:20.000 --> 00:00:22.000]  在這裡一起崇拜
[00:00:22.000 --> 00:00:26.000]  我想其實我們心裡充滿著感恩
[00:00:26.000 --> 00:00:29.000]  而我們身處這個禮拜堂
[00:00:29.000 --> 00:00:31.000]  或者我們這樣說
[00:00:31.000 --> 00:00:33.000]  身處在這個聖殿裡面
[00:00:33.000 --> 00:00:35.000]  這個聖殿或者禮拜堂
[00:00:35.000 --> 00:00:37.000]  我們知道其實在這裡已經促納了
[00:00:37.000 --> 00:00:40.000]  超過半個世紀的時間
[00:00:40.000 --> 00:00:45.000]  很靜的在這裡承接一代又一代的禱告
[00:00:45.000 --> 00:00:49.000]  頌讚 婚禮 甚至是安息禮
[00:00:49.000 --> 00:00:52.000]  我們這個禮拜堂
[00:00:52.000 --> 00:00:54.000]  我想大家都是有同感
[00:00:54.000 --> 00:00:56.000]  就是我們心靈的座標
[00:00:56.000 --> 00:01:01.000]  也是整個中文大學的精神象徵
[00:01:01.000 --> 00:01:06.000]  我想在大概兩千年之前
[00:01:06.000 --> 00:01:09.000]  當耶穌和門徒
[00:01:09.000 --> 00:01:11.000]  走在耶路撒冷的時候
[00:01:11.000 --> 00:01:13.000]  我想他們的心情大概
[00:01:13.000 --> 00:01:15.000]  應該和我們今天坐在這裡崇拜
[00:01:15.000 --> 00:01:17.000]  是相當之相似的
[00:01:17.000 --> 00:01:19.000]  剛才我們讀三代經
[00:01:19.000 --> 00:01:24.000]  課路加分第21章第5節的時候
[00:01:24.000 --> 00:01:26.000]  劈頭已經說
[00:01:26.000 --> 00:01:33.000]  有人談論聖殿是用美石和貢物裝飾的
[00:01:33.000 --> 00:01:36.000]  我想當時尤其是一班門徒
[00:01:36.000 --> 00:01:39.000]  看著那座這麼宏偉壯麗
[00:01:39.000 --> 00:01:42.000]  金碧輝煌的聖殿的時候
[00:01:42.000 --> 00:01:46.000]  心裡面肯定是充滿著那種信仰
[00:01:46.000 --> 00:01:49.000]  或者宗教的虔誠
[00:01:49.000 --> 00:01:56.000]  這一座的聖殿肯定是當時整個猶太信仰的中心
[00:01:56.000 --> 00:01:58.000]  是上帝臨在的記號
[00:01:58.000 --> 00:02:01.000]  也是一個永恆不變的象徵
[00:02:01.000 --> 00:02:03.000]  我相信在他們心目中
[00:02:03.000 --> 00:02:05.000]  肯定會相信和感受到
[00:02:05.000 --> 00:02:09.000]  只要這一座的聖殿仍然在的時候
[00:02:09.000 --> 00:02:12.000]  上帝的約都是很穩固
[00:02:12.000 --> 00:02:15.000]  和仍然在的
[00:02:15.000 --> 00:02:20.000]  不過當門徒滿心讚嘆
[00:02:20.000 --> 00:02:24.000]  何其宏偉的一座聖殿的時候
[00:02:24.000 --> 00:02:27.000]  耶穌突然之間的回應
[00:02:27.000 --> 00:02:31.000]  是相當之令人嚇驚
[00:02:31.000 --> 00:02:34.000]  或者相當之石破驚天也好
[00:02:34.000 --> 00:02:38.000]  耶穌說:論到你們所見的這一切
[00:02:38.000 --> 00:02:41.000]  將來的日子到了
[00:02:41.000 --> 00:02:49.000]  在這裡沒有一塊石頭留在石頭上不被拆毀
[00:02:49.000 --> 00:02:51.000]  你看路加福音第十一章第六節
[00:02:51.000 --> 00:02:53.000]  耶穌是這樣說的
[00:02:53.000 --> 00:02:55.000]  沒有一塊石頭
[00:02:55.000 --> 00:02:57.000]  遲些很快的整座都會倒塌
[00:02:57.000 --> 00:02:59.000]  倒塌到一個地步
[00:02:59.000 --> 00:03:04.000]  就是沒有一塊石頭可以搭在另外一塊石頭上
[00:03:04.000 --> 00:03:08.000]  是一個徹底的摧毀
[00:03:08.000 --> 00:03:15.000]  我想我們如果跳回當時那些門徒的心情
[00:03:15.000 --> 00:03:17.000]  應該會覺得很震撼
[00:03:17.000 --> 00:03:24.000]  因為這不是純粹一個建築學上的預言
[00:03:24.000 --> 00:03:28.000]  或者不是其他普通的事情
[00:03:28.000 --> 00:03:34.000]  而是耶穌在宣告一個時代要終結了
[00:03:34.000 --> 00:03:39.000]  這對他們來說等於是說
[00:03:39.000 --> 00:03:42.000]  信仰的根基,身份的認同
[00:03:42.000 --> 00:03:48.000]  將會很快灰飛煙滅
[00:03:48.000 --> 00:03:50.000]  我想耶穌這一句
[00:03:50.000 --> 00:03:54.000]  沒有一塊石頭搭在另外一塊石頭上
[00:03:54.000 --> 00:04:00.000]  這一句說話很明顯是直接衝擊門徒心裡面
[00:04:00.000 --> 00:04:02.000]  本來覺得很穩固
[00:04:02.000 --> 00:04:10.000]  本來是賴以安身立命的一座心裡面的聖殿
[00:04:10.000 --> 00:04:14.000]  可能我們今天不會有一座聖殿
[00:04:14.000 --> 00:04:16.000]  需要我們依靠
[00:04:16.000 --> 00:04:18.000]  或者我們根本不會依靠一個聖殿
[00:04:18.000 --> 00:04:21.000]  來作為我們信仰或者身份的根基
[00:04:21.000 --> 00:04:22.000]  不過鄧小姐
[00:04:22.000 --> 00:04:25.000]  我相信我們每一個人的生命裡面
[00:04:25.000 --> 00:04:31.000]  肯定是遇過各式各樣大小不同的聖殿
[00:04:31.000 --> 00:04:34.000]  和聖殿被拆毀
[00:04:34.000 --> 00:04:38.000]  這些聖殿,心裡面的聖殿
[00:04:38.000 --> 00:04:40.000]  或者我們視為理所當然
[00:04:40.000 --> 00:04:46.000]  或者視為一個沒有理由不是穩固的基石
[00:04:46.000 --> 00:04:51.000]  可能這些聖殿是我們健康的身體
[00:04:51.000 --> 00:04:54.000]  或者是我們很穩定的事業
[00:04:54.000 --> 00:04:57.000]  或者是一段很美滿的關係
[00:04:57.000 --> 00:05:03.000]  甚至坐在這裡可能是我們相當高的學術成就
[00:05:03.000 --> 00:05:06.000]  甚至是我們熟悉的香港等等
[00:05:06.000 --> 00:05:10.000]  我們慣性將盼望和安全感
[00:05:10.000 --> 00:05:12.000]  建立在一些我們心裡面
[00:05:12.000 --> 00:05:17.000]  我們經驗得很穩固的聖殿上面
[00:05:17.000 --> 00:05:20.000]  但耶穌這一番說話
[00:05:20.000 --> 00:05:23.000]  其實我們可以說是相當似
[00:05:23.000 --> 00:05:29.000]  無古神宗跨越兩千年不只是對著當日的門徒說
[00:05:29.000 --> 00:05:32.000]  其實是直接對著我們說
[00:05:32.000 --> 00:05:37.000]  耶穌提醒我們眼所能見到的聖殿
[00:05:37.000 --> 00:05:41.000]  無論像這裡多麼的華美、多麼的堅固
[00:05:41.000 --> 00:05:45.000]  實在都會有崩塌的一天
[00:05:45.000 --> 00:05:52.000]  當我們生命裡面的聖殿開始動搖的時候
[00:05:52.000 --> 00:05:55.000]  當我們所倚仗的
[00:05:55.000 --> 00:05:59.000]  我們發現原來再不是那麼穩固的時候
