
[00:00:00.000 --> 00:00:04.540]  今日來到一起想你們經民愛我們的鄰舍
[00:00:04.540 --> 00:00:08.080]  我們知道在黃浮苑的事情
[00:00:08.080 --> 00:00:09.880]  大家都很沉重
[00:00:09.880 --> 00:00:11.480]  我們求主去帶領
[00:00:11.480 --> 00:00:14.360]  我們看看我們怎樣可以作為一個鄰舍
[00:00:14.360 --> 00:00:16.540]  怎樣可以關懷有需要的人
[00:00:16.540 --> 00:00:19.480]  我們一起禱告
[00:00:19.480 --> 00:00:20.600]  天父我們多謝你
[00:00:20.600 --> 00:00:24.240]  讓我們今天早上一起學習你的話語
[00:00:24.240 --> 00:00:27.540]  我們為到黃浮苑的災民
[00:00:27.540 --> 00:00:31.180]  我們再次交託求主你去憐憫
[00:00:31.180 --> 00:00:34.680]  知道他們有很多很多不同的需要
[00:00:34.680 --> 00:00:37.400]  主願意我們作為教會
[00:00:37.400 --> 00:00:39.400]  我們怎樣可以做好鄰舍
[00:00:39.400 --> 00:00:41.820]  求主你去帶領我們
[00:00:41.820 --> 00:00:43.940]  祈禱奉主耶穌基督的名
[00:00:43.940 --> 00:00:45.740]  阿門
[00:00:45.740 --> 00:00:47.980]  相信大家都經常看到
[00:00:47.980 --> 00:00:49.100]  近日的報章
[00:00:49.100 --> 00:00:52.860]  我們很留意進展怎樣
[00:00:52.860 --> 00:00:56.080]  我們會看到五級的大火
[00:00:56.080 --> 00:00:59.880]  是直至到四十三個小時
[00:00:59.880 --> 00:01:03.060]  然後才完全停止
[00:01:03.060 --> 00:01:08.100]  死亡人數最少是一百二十八人
[00:01:08.100 --> 00:01:12.440]  還有十九位是危殆的
[00:01:12.440 --> 00:01:15.600]  危殆即是求主保守
[00:01:15.600 --> 00:01:18.720]  若然繼續插下去
[00:01:18.720 --> 00:01:23.080]  可能死亡
[00:01:23.080 --> 00:01:25.160]  我們求主去保守
[00:01:25.160 --> 00:01:30.000]  還有約有一百五十人失了聯絡
[00:01:30.000 --> 00:01:33.220]  現在還未知道這些情況
[00:01:33.220 --> 00:01:36.000]  政府就這件事
[00:01:36.000 --> 00:01:40.440]  有特別的訓練組別的人
[00:01:40.440 --> 00:01:44.040]  專門到這些地方做搜殺的工作
[00:01:44.040 --> 00:01:47.140]  暫時有兩棟大廈做了這個工作
[00:01:47.140 --> 00:01:48.840]  還有其餘的大廈
[00:01:48.840 --> 00:01:53.160]  都要逐間逐座去看
[00:01:53.160 --> 00:01:55.440]  看看裏面有什麼情況
[00:01:55.440 --> 00:01:59.840]  可能會發現一些人的屍體
[00:01:59.840 --> 00:02:03.360]  可能是一些我們預計不到的事
[00:02:03.360 --> 00:02:06.020]  願意繼續進行
[00:02:06.020 --> 00:02:11.520]  現在大部分的家人
[00:02:11.520 --> 00:02:13.200]  都有一個臨時的
