
[00:00:00.000 --> 00:00:04.100]  各位弟兄姊妹 主律便平安
[00:00:04.100 --> 00:00:08.900]  代表秦道慧理學教會觀塘塘眾志體
[00:00:08.900 --> 00:00:12.700]  向中華基督教會梁法塘的弟兄姊妹問安
[00:00:12.700 --> 00:00:17.100]  願合一的靈常與我們眾人同在
[00:00:17.100 --> 00:00:18.600]  大家有沒有覺得
[00:00:18.600 --> 00:00:23.600]  我剛才的問安有些累贅 有些麻煩
[00:00:23.600 --> 00:00:29.000]  原因今天是基督徒合一主日
[00:00:29.000 --> 00:00:32.400]  香港的教會早於1957年
[00:00:32.400 --> 00:00:39.100]  已經將每年第一月的第三個星期
[00:00:39.100 --> 00:00:42.200]  定為基督徒合一祈禱週
[00:00:42.200 --> 00:00:45.600]  會特定有一日走在一起
[00:00:45.600 --> 00:00:50.200]  教會同屋一起崇拜 祈禱 領聖餐
[00:00:50.200 --> 00:00:52.500]  有團契的交流
[00:00:52.500 --> 00:00:55.500]  今年剛剛過了的星期四
[00:00:55.500 --> 00:00:59.400]  在灣仔的秦道慧理學教會香港塘
[00:00:59.400 --> 00:01:03.600]  那天有天主教 有政教
[00:01:03.600 --> 00:01:07.400]  以及基督教的同工弟兄姊妹一起
[00:01:07.400 --> 00:01:11.200]  相當有意義的一個合一的崇拜
[00:01:11.200 --> 00:01:15.300]  而今天大家的塘主任和牧師和我
[00:01:15.300 --> 00:01:20.400]  就響應基督教協進會的倡議
[00:01:20.400 --> 00:01:24.900]  在這一天 今天去交換講壇
[00:01:24.900 --> 00:01:28.500]  黃牧師比我辛苦兩倍
[00:01:28.500 --> 00:01:33.900]  因為他昨晚幫我在觀塘塘講周六晚堂
[00:01:33.900 --> 00:01:36.800]  今早八時半講了一堂
[00:01:36.800 --> 00:01:40.500]  現在十一點 大家一起都在講道
[00:01:40.500 --> 00:01:45.200]  他是一個肯付多一些代價
[00:01:45.200 --> 00:01:49.800]  去達成合一精神的好牧者
[00:01:49.800 --> 00:01:52.800]  講到要推動教會的合一
[00:01:52.800 --> 00:01:56.600]  不知道弟兄姊妹想到些甚麼呢
[00:01:56.600 --> 00:01:57.900]  要推動的合一
[00:01:57.900 --> 00:02:02.600]  即是現在教會是不夠合一
[00:02:02.600 --> 00:02:05.900]  的確由歷史
[00:02:05.900 --> 00:02:11.200]  不同人對聖經教義的理解
[00:02:11.200 --> 00:02:14.700]  還有很多人為的
[00:02:14.700 --> 00:02:17.600]  自我的 甚至是罪性
[00:02:17.600 --> 00:02:20.300]  將基督的教會分裂
[00:02:20.300 --> 00:02:23.900]  分裂了很久很久
[00:02:23.900 --> 00:02:28.300]  只說我們自己的宗派進入慧利聯盟教會
[00:02:28.300 --> 00:02:31.000]  一個這麼長的教會名
[00:02:31.000 --> 00:02:35.500]  皆因當年有兩個同宗
[00:02:35.500 --> 00:02:39.900]  卻是分別在英國 美國兩個國家
[00:02:39.900 --> 00:02:43.600]  的宣教士來到中國傳道
[00:02:43.600 --> 00:02:46.100]  分別去了不同的地方
[00:02:46.100 --> 00:02:48.700]  之後他們來到香港
[00:02:48.700 --> 00:02:51.700]  但都是各自發展
[00:02:51.700 --> 00:02:56.300]  沒有甚麼配搭
[00:02:56.300 --> 00:02:59.600]  經歷一段不短的時間
[00:02:59.600 --> 00:03:04.400]  當時兩個教會的先賢才坐在一起
[00:03:04.400 --> 00:03:07.200]  談談聯合的事
