
[00:00:00.000 --> 00:00:04.000]  有個地方住了兩個農夫
[00:00:04.000 --> 00:00:06.000]  兩個農夫都有一個田地
[00:00:06.000 --> 00:00:11.000]  他們準備用種子去播種
[00:00:11.000 --> 00:00:15.000]  去耕種一個麥田
[00:00:15.000 --> 00:00:17.000]  其中一個農夫
[00:00:17.000 --> 00:00:20.000]  願意用一些參雜了一些
[00:00:20.000 --> 00:00:23.000]  不是很純正的種子
[00:00:23.000 --> 00:00:27.000]  因為裏面可能有些雜草會出來
[00:00:27.000 --> 00:00:30.000]  去殺在一個田地裏面
[00:00:30.000 --> 00:00:33.000]  另一個農夫就不太想這樣做
[00:00:33.000 --> 00:00:37.000]  於是他就把這些參雜了
[00:00:37.000 --> 00:00:42.000]  一些不是很純正的種子去種植這個田
[00:00:42.000 --> 00:00:44.000]  講到這個時候
[00:00:44.000 --> 00:00:46.000]  如果換上你這個農夫
[00:00:46.000 --> 00:00:48.000]  你會做第一個農夫
[00:00:48.000 --> 00:00:50.000]  還是第二個農夫?請問
[00:00:50.000 --> 00:00:52.000]  即是說你第一個
[00:00:52.000 --> 00:00:56.000]  參雜了那些不是很純正的種子
[00:00:56.000 --> 00:00:59.000]  都會放下去叫種
[00:00:59.000 --> 00:01:03.000]  誰會做第一個農夫?
[00:01:03.000 --> 00:01:04.000]  不要多了
[00:01:04.000 --> 00:01:07.000]  不要緊,你舉手沒有一個標準答案
[00:01:07.000 --> 00:01:09.000]  第一個是誰?
[00:01:09.000 --> 00:01:12.000]  可以做第二個農夫的,不種了
[00:01:12.000 --> 00:01:16.000]  大家都想省下,不種了
[00:01:16.000 --> 00:01:18.000]  為甚麼呢?
[00:01:18.000 --> 00:01:21.000]  似乎第二個多些
[00:01:21.000 --> 00:01:23.000]  原因是甚麼?
[00:01:23.000 --> 00:01:26.000]  我希望有好的收成
[00:01:26.000 --> 00:01:28.000]  我希望收成是完美的
[00:01:28.000 --> 00:01:31.000]  全部的麥田都是很肥壯的
[00:01:31.000 --> 00:01:35.000]  種了出來的大麥小麥都是很好的
[00:01:35.000 --> 00:01:36.000]  這樣的想法
[00:01:36.000 --> 00:01:37.000]  如果有這樣的雜草
[00:01:37.000 --> 00:01:40.000]  我寧願不種
[00:01:40.000 --> 00:01:42.000]  但是問題是
[00:01:42.000 --> 00:01:46.000]  如果有一天發生了大饑荒
[00:01:46.000 --> 00:01:47.000]  你說這兩個農夫
[00:01:47.000 --> 00:01:53.000]  誰可以繼續存活下去呢?
[00:01:53.000 --> 00:01:54.000]  不願意去殺那些
