
[00:00:00.000 --> 00:00:04.540]  有一段聖經在馬太福音第二章第一到第十二節
[00:00:04.540 --> 00:00:05.760]  由我來唸
[00:00:05.760 --> 00:00:07.280]  這裏說當希律王的時候
[00:00:07.280 --> 00:00:09.120]  耶穌生在猶太的伯利恆
[00:00:09.120 --> 00:00:12.440]  有幾個博士從東方來到耶路撒冷說
[00:00:12.440 --> 00:00:15.160]  那生下來做猶太之王的在哪裏呢
[00:00:15.160 --> 00:00:19.040]  我們在東方看見他的心特來拜他
[00:00:19.040 --> 00:00:20.840]  希律王聽見就心裏不安
[00:00:20.840 --> 00:00:23.680]  耶路撒冷合成的人也都不安
[00:00:23.680 --> 00:00:27.200]  他就召集了祭司長和民間的文師
[00:00:27.200 --> 00:00:30.480]  問他們說基督當生在何處
[00:00:30.480 --> 00:00:32.680]  他們回答說在猶太的伯利恆
[00:00:32.680 --> 00:00:35.360]  因爲有先知記者說
[00:00:35.360 --> 00:00:36.680]  在猶太地的伯利恆
[00:00:36.680 --> 00:00:39.200]  你在猶大諸城中並不是最小的
[00:00:39.200 --> 00:00:42.200]  因爲將來有位君王要從你那裏出來
[00:00:42.200 --> 00:00:44.440]  牧養我以色列民
[00:00:44.440 --> 00:00:47.160]  當下希律暗暗地召了博士來
[00:00:47.160 --> 00:00:49.880]  細問那心是什麼時候出現的
[00:00:49.880 --> 00:00:52.520]  就猜他們往伯利恆去說
[00:00:52.520 --> 00:00:54.720]  你們去仔細尋訪那小孩子
[00:00:54.720 --> 00:00:56.680]  尋到了就來報信
[00:00:56.680 --> 00:00:58.600]  我也好去拜他
[00:00:58.600 --> 00:01:00.600]  他們聽見王的話就去了
[00:01:00.600 --> 00:01:04.480]  在東方所看見那心忽然在他們前頭行
[00:01:04.480 --> 00:01:08.760]  直行到小孩子的地方就在上頭停住了
[00:01:08.760 --> 00:01:11.360]  他們看見那心就大大的歡喜
[00:01:11.360 --> 00:01:14.600]  進了房子看見小孩子和他母親瑪利亞
[00:01:14.600 --> 00:01:16.920]  就服服拜那小孩子
[00:01:16.920 --> 00:01:18.360]  揭開寶盒
[00:01:18.360 --> 00:01:22.800]  拿黃金、滷香、墨藥爲禮物獻給他
[00:01:22.800 --> 00:01:27.080]  博士因爲在夢中被阻止是不要回去見希律
[00:01:27.080 --> 00:01:30.000]  就從別的路回本地去了
[00:01:30.000 --> 00:01:31.800]  我們就讀到這裏
[00:01:31.800 --> 00:01:33.760]  聖誕節馬上就要來到
[00:01:33.760 --> 00:01:35.600]  在這裏首先恭賀大家
[00:01:35.600 --> 00:01:37.640]  聖誕節非常非常快樂
[00:01:37.640 --> 00:01:38.640]  Amen
[00:01:38.640 --> 00:01:41.960]  Hallelujah
[00:01:41.960 --> 00:01:45.160]  聖誕節是一個充滿歡樂的一個節期
[00:01:45.160 --> 00:01:48.080]  我們看見到處充滿美麗的歌聲
[00:01:48.080 --> 00:01:50.560]  到處充滿美麗的裝飾
[00:01:50.560 --> 00:01:52.080]  你知道每當聖誕節的時候
[00:01:52.080 --> 00:01:55.240]  你都可以似乎在空氣裏面
[00:01:55.240 --> 00:01:59.920]  都感覺到有一種充滿期待的感覺不是嗎
[00:01:59.920 --> 00:02:02.400]  有些人期待能夠收到美好的禮物
[00:02:02.400 --> 00:02:04.920]  有人期待能夠與家人團聚
[00:02:04.920 --> 00:02:07.840]  有人期待能夠外出度假
[00:02:07.840 --> 00:02:09.480]  今天我不知道你心裏
[00:02:09.480 --> 00:02:11.400]  在準備過聖誕節的時候
[00:02:11.400 --> 00:02:14.360]  你期待些什麼呢
[00:02:14.360 --> 00:02:19.680]  你有沒有準備好來迎接這位大君王降臨呢
[00:02:19.680 --> 00:02:24.160]  畢竟主耶穌纔是我們慶祝聖誕真正的原因
[00:02:24.160 --> 00:02:25.680]  Amen
[00:02:25.680 --> 00:02:27.680]  如果我們仔細來看第一個聖誕節
[00:02:27.680 --> 00:02:33.840]  你會發現耶穌基督的確是所有聖誕活動的中心點
