
[00:00:00.000 --> 00:00:04.600]  今天我們會繼續來說小童傳的第十四章
[00:00:04.600 --> 00:00:09.200]  我給了一個題目叫做「攪亂天下的福音」
[00:00:09.200 --> 00:00:13.200]  其實和大家剛才我提到今晚的報道會
[00:00:13.200 --> 00:00:17.000]  「亂世佳音」都幾似的名字
[00:00:17.000 --> 00:00:23.600]  那個題目就比較可能不是那麼好
[00:00:23.600 --> 00:00:26.000]  「亂世佳音」就正向一點
[00:00:26.000 --> 00:00:30.600]  大家都要把握在亂世的時候
[00:00:30.600 --> 00:00:34.600]  將佳音即是福音傳講
[00:00:34.600 --> 00:00:38.000]  當然我相信「攪亂天下的福音」
[00:00:38.000 --> 00:00:40.600]  其實我們可以認識更多
[00:00:40.600 --> 00:00:42.800]  我們的福音就是神的大能
[00:00:42.800 --> 00:00:46.400]  我們怎樣可以成為一個全福音的基督徒
[00:00:46.400 --> 00:00:50.400]  可以讓福音來改變人的生命
[00:00:50.400 --> 00:00:52.600]  改變這個世界呢
[00:00:52.600 --> 00:00:56.000]  我想從保羅他們在不同的機會
[00:00:56.000 --> 00:00:57.400]  他們去傳福音的時候
[00:00:57.400 --> 00:00:59.200]  我們可以一起學習
[00:00:59.200 --> 00:01:01.200]  上次小童運轉的十三章
[00:01:01.200 --> 00:01:05.800]  開始就是講到保羅的第一次宣教旅程
[00:01:05.800 --> 00:01:07.600]  接獨理就在這個宣教旅程
[00:01:07.600 --> 00:01:10.600]  去到一個地方叫以哥廉
[00:01:10.600 --> 00:01:13.600]  我們會其實一路看下去
[00:01:13.600 --> 00:01:17.600]  保羅不同的幾個宣教的行程當中
[00:01:17.600 --> 00:01:20.600]  去到一個地方所發生的事件
[00:01:20.600 --> 00:01:22.600]  其實有一點就是第十三章
[00:01:22.600 --> 00:01:25.200]  講到在被洗禮安提屋的時候
[00:01:25.200 --> 00:01:28.000]  的一個重複的模式出現
[00:01:28.000 --> 00:01:29.800]  所以大家讀下去之後
[00:01:29.800 --> 00:01:31.800]  慢慢會看到也挺像的
[00:01:31.800 --> 00:01:33.600]  所以從這個模式裏面
[00:01:33.600 --> 00:01:35.200]  我想和大家一齊來看一下
[00:01:35.200 --> 00:01:39.600]  到底怎樣為之一個「攪亂天下的福音」
[00:01:39.600 --> 00:01:42.600]  我們先來看一下今天要看的經文
[00:01:42.600 --> 00:01:45.600]  大家都是回去可以慢慢再重溫
[00:01:45.600 --> 00:01:48.000]  其實我們只能夠讀部分的經文
[00:01:48.000 --> 00:01:50.400]  我會選擇十四章的一到七節
[00:01:50.400 --> 00:01:51.800]  和大家一齊來讀
[00:01:51.800 --> 00:01:54.000]  然後我們從這段經文來看一下
[00:01:54.000 --> 00:01:55.200]  門徒的工作
[00:01:55.200 --> 00:01:59.600]  他們特別在全方位上高所經歷的一些事情
[00:01:59.600 --> 00:02:02.000]  我們一齊來看完歌舞或者看你手上的聖經
[00:02:02.000 --> 00:02:04.000]  來讀完這七節的經文
[00:02:04.000 --> 00:02:05.600]  好,預備,起
[00:02:05.600 --> 00:02:09.800]  二人在以哥廉同進猶太人的會堂
[00:02:09.800 --> 00:02:11.400]  在那裡講的
[00:02:11.400 --> 00:02:15.200]  叫猶太人和希臘人信的很多
[00:02:15.200 --> 00:02:19.600]  但那不順從的猶太人送動外邦人
[00:02:19.600 --> 00:02:23.000]  叫他們心裡怒恨弟兄
[00:02:23.000 --> 00:02:25.800]  二人在那裡住了多日
