
[00:00:00.000 --> 00:00:08.480]  今日羅馬書講到飯局就唔係咁開心
[00:00:08.480 --> 00:00:13.200]  裏面提到兩班嘅人
[00:00:13.200 --> 00:00:15.560]  佢哋唔同嘅信仰背景
[00:00:15.560 --> 00:00:17.000]  唔同嘅成長背景
[00:00:17.000 --> 00:00:20.080]  亦都有唔同嘅信心嘅程度
[00:00:20.080 --> 00:00:24.480]  以至佢哋喺飲食同埋喺節期上嘅持久
[00:00:24.480 --> 00:00:26.800]  都發生咗一啲嘅問題一啲嘅爭拗
[00:00:26.800 --> 00:00:31.600]  甚至乎互相論斷互相嘅批評
[00:00:31.600 --> 00:00:33.600]  甚至乎去到壓迫
[00:00:33.600 --> 00:00:37.440]  彼此嘅壓迫
[00:00:37.440 --> 00:00:40.640]  第一班嘅信徒我相信主要應該係一啲嘅猶太人
[00:00:40.640 --> 00:00:43.040]  猶太嘅信徒
[00:00:43.040 --> 00:00:47.040]  佢哋由細到大都學習律法書裏面嘅律例典章
[00:00:47.040 --> 00:00:49.840]  知道飲食嘅規條特別係
[00:00:49.840 --> 00:00:53.840]  因為佢哋由細就學並且日日都守住
[00:00:53.840 --> 00:00:56.400]  日日都知道邊啲值得邊啲唔值得
[00:00:56.400 --> 00:00:58.960]  邊啲就潔淨邊啲就唔值得潔淨
[00:00:58.960 --> 00:01:03.520]  佢哋好清楚好知道
[00:01:03.520 --> 00:01:05.120]  喺呢一班嘅信徒呢
[00:01:05.120 --> 00:01:08.240]  保羅稱佢哋呢做信心軟弱嘅信徒喎
[00:01:08.240 --> 00:01:09.200]  點解呀
[00:01:09.200 --> 00:01:12.240]  持守神的律法唔係剛強咩點解軟弱嘅
[00:01:12.240 --> 00:01:13.760]  我一陣會講到
[00:01:13.760 --> 00:01:16.240]  佢哋係保羅稱佢哋為信心軟弱
[00:01:16.240 --> 00:01:19.280]  或者睇佢哋呢為信心軟弱嘅一班嘅信徒
[00:01:19.280 --> 00:01:21.360]  好啦呢班第一班咯第二班
[00:01:21.360 --> 00:01:24.000]  除咗猶太猶太信徒仲有咩信徒呀
[00:01:24.000 --> 00:01:26.800]  外邦信徒啦係咪呀
[00:01:26.800 --> 00:01:29.760]  佢哋相信百物都食得嘅
[00:01:29.760 --> 00:01:33.680]  所有嘅食物都係潔淨嘅
[00:01:33.680 --> 00:01:36.160]  可能係因為佢哋呢
[00:01:36.160 --> 00:01:38.720]  聽到啦耶穌嘅教導
[00:01:38.720 --> 00:01:42.240]  佢話凡係從外面進入裏面嘅
[00:01:42.240 --> 00:01:46.080]  東西都唔能夠使得人哋污穢喎
[00:01:46.080 --> 00:01:48.320]  因為呢啲嘢係入唔到人嘅咩呀
[00:01:48.320 --> 00:01:49.360]  心裏面
[00:01:49.360 --> 00:01:50.720]  入唔到人嘅心裏面
[00:01:50.720 --> 00:01:53.440]  而係吞入佢肚裏面跟住呢就排泄
[00:01:53.440 --> 00:01:55.520]  去咗廁所㗎啦
[00:01:55.520 --> 00:01:56.960]  跟住呢馬可之後呢
[00:01:56.960 --> 00:01:58.640]  耶穌講完呢句呢馬可就補充咗句啦
[00:01:58.640 --> 00:02:04.560]  佢話耶穌這樣說就潔淨咗一切嘅食物
[00:02:04.560 --> 00:02:06.080]  原來咁樣㗎喎
[00:02:06.080 --> 00:02:08.560]  保羅所以呢就睇呢一班嘅外邦信徒呢
[00:02:08.560 --> 00:02:11.360]  做信心堅固嘅信徒啦
[00:02:11.360 --> 00:02:13.520]  因為佢哋真係信神嘅說話喎
[00:02:13.520 --> 00:02:14.800]  唔係睇律法啦
[00:02:14.800 --> 00:02:17.440]  係睇神睇耶穌嘩好有信心
[00:02:17.440 --> 00:02:22.080]  原來呢耶穌已經潔淨咗一切嘅食物啦
[00:02:22.080 --> 00:02:23.920]  14章
[00:02:23.920 --> 00:02:26.720]  嚟到呢講到後面呢一卷
[00:02:26.720 --> 00:02:32.720]  好似保羅要解決啲關於飲食嘅問題
[00:02:32.720 --> 00:02:35.520]  但係其實保羅有更深層嘅意思
[00:02:35.520 --> 00:02:38.720]  係要去處理一啲呢一個呢合一嘅問題
[00:02:38.720 --> 00:02:41.280]  外邦嘅信徒同埋猶太嘅信徒
[00:02:41.280 --> 00:02:44.240]  講嘅係合一嘅信徒
[00:02:44.240 --> 00:02:45.840]  我哋望一望周圍嘅弟子妹
[00:02:45.840 --> 00:02:49.040]  同你應該都唔同日子信耶穌係咪呀
[00:02:49.040 --> 00:02:50.640]  我哋都有唔同嘅信心
[00:02:50.640 --> 00:02:53.680]  我哋都有唔同嘅背景唔同嘅信仰力情
[00:02:53.680 --> 00:02:57.200]  其實要做到合一好艱難
[00:02:57.200 --> 00:02:58.880]  但係今日呢一章嘅經文
[00:02:58.880 --> 00:03:01.040]  俾我哋好寶貴嘅提醒
[00:03:01.040 --> 00:03:03.280]  原來教會係可以
[00:03:03.280 --> 00:03:04.480]  教會到底點樣嘅
[00:03:04.480 --> 00:03:07.280]  嚟到成為一個合一嘅群體呢
[00:03:07.280 --> 00:03:11.920]  主我們呢渴望我哋嘅生命更常理
