
[00:00:00.000 --> 00:00:02.760]  天國人間的系列是甚麼呢?
[00:00:02.760 --> 00:00:06.000]  按財分銀 忠心快樂
[00:00:06.000 --> 00:00:08.960]  你和我都在我們的侍奉上
[00:00:08.960 --> 00:00:13.600]  神給我們有才幹 給我們有能力
[00:00:13.600 --> 00:00:17.160]  叫我們能夠忠心地去侍奉
[00:00:17.160 --> 00:00:20.240]  當主人將家業交給僕人的時候
[00:00:20.240 --> 00:00:22.440]  是帶著一個期望和要求
[00:00:22.440 --> 00:00:24.440]  在當時的環境
[00:00:24.440 --> 00:00:28.360]  主耶穌都是用一個很熟悉的處境
[00:00:28.360 --> 00:00:32.520]  家主去到一個環境
[00:00:32.520 --> 00:00:35.440]  他要和羅馬的政府交代
[00:00:35.440 --> 00:00:40.040]  他就要交下產業給僕人
[00:00:40.040 --> 00:00:42.040]  然後一段時間他回來
[00:00:42.040 --> 00:00:44.240]  主耶穌在這裡這個比喻
[00:00:44.240 --> 00:00:46.240]  祂不是提供一個答案
[00:00:46.240 --> 00:00:49.640]  但是給我們一個多角度的去思考
[00:00:49.640 --> 00:00:52.240]  一個更加廣闊的空間
[00:00:52.240 --> 00:00:56.240]  是禪釋我們怎樣去明白主的真理
[00:00:56.240 --> 00:00:59.240]  神藉著地上的教會
[00:00:59.240 --> 00:01:02.960]  就是你和我去拓展天過基業的時候
[00:01:02.960 --> 00:01:04.960]  你和我都是屬主的人
[00:01:04.960 --> 00:01:06.240]  你和我都是門徒
[00:01:06.240 --> 00:01:09.240]  我們就有份去參與和發揮
[00:01:09.240 --> 00:01:12.240]  弟子們 當我們去領受的時候
[00:01:12.240 --> 00:01:14.240]  我們怎樣去善用呢?
[00:01:14.240 --> 00:01:18.240]  聖經這裡就用五千 二千 一千
[00:01:18.240 --> 00:01:22.240]  英文就是One Talent
[00:01:22.240 --> 00:01:23.240]  一個的Talent
[00:01:23.240 --> 00:01:24.240]  Talent是甚麼呢?
[00:01:24.240 --> 00:01:27.240]  英文就是才幹
[00:01:27.240 --> 00:01:29.240]  現在我們中文的翻譯裡面
[00:01:29.240 --> 00:01:33.240]  就是五千 二千 一千
[00:01:33.240 --> 00:01:35.240]  就是五個Talent 兩個Talent
[00:01:35.240 --> 00:01:37.240]  然後是一個Talent
[00:01:37.240 --> 00:01:39.240]  弟子們
[00:01:39.240 --> 00:01:42.240]  在中文的翻譯就好像是五千 二千 一千
[00:01:42.240 --> 00:01:46.240]  說的是我們有五個的才幹
[00:01:46.240 --> 00:01:48.240]  有五樣的能力
[00:01:48.240 --> 00:01:50.240]  有五樣的恩賜
[00:01:50.240 --> 00:01:53.240]  或者是兩個 或者是一個
[00:01:53.240 --> 00:01:56.240]  但是我們都要負責
[00:01:56.240 --> 00:01:59.240]  別人去接納
[00:01:59.240 --> 00:02:02.240]  我們彼此之間的不同
[00:02:02.240 --> 00:02:05.240]  我們怎樣成為一個好的管家呢?
[00:02:05.240 --> 00:02:07.240]  在我們的生命裡面
[00:02:07.240 --> 00:02:11.240]  我們怎樣去運用神給我們的恩賜呢?
[00:02:11.240 --> 00:02:14.240]  在八月開始我就開始想多一點了
[00:02:14.240 --> 00:02:17.240]  要和大家去思想
[00:02:17.240 --> 00:02:20.240]  有兩件事
[00:02:20.240 --> 00:02:22.240]  去想明年的施工計劃
[00:02:22.240 --> 00:02:24.240]  八月我要開始去思想
[00:02:24.240 --> 00:02:25.240]  我和彤彤
[00:02:25.240 --> 00:02:30.240]  接下來我們會有我們的計劃營
[00:02:30.240 --> 00:02:32.240]  八月我就想
[00:02:32.240 --> 00:02:33.240]  弟子們
[00:02:33.240 --> 00:02:36.240]  我們要分堂崇拜了
[00:02:36.240 --> 00:02:41.240]  我們要分開時間敬拜了
[00:02:41.240 --> 00:02:45.240]  但是我們都是同屬一個教會
[00:02:45.240 --> 00:02:46.240]  我就去思想
[00:02:46.240 --> 00:02:47.240]  弟子們
[00:02:47.240 --> 00:02:51.240]  我們怎樣好好的去準備
[00:02:51.240 --> 00:02:52.240]  弟子們
[00:02:52.240 --> 00:02:54.240]  知不知道我們會眾裡面
[00:02:54.240 --> 00:02:58.240]  我們有哪一類不同的弟兄姊妹呢?
[00:02:58.240 --> 00:03:00.240]  在工作上
[00:03:00.240 --> 00:03:03.240]  三類人是最多的
[00:03:03.240 --> 00:03:06.240]  第一類是醫護人員
[00:03:06.240 --> 00:03:10.240]  第二類是社工
[00:03:10.240 --> 00:03:13.240]  我看到有很多社工
[00:03:13.240 --> 00:03:17.240]  第三類是老師
[00:03:17.240 --> 00:03:20.240]  最後這一類真的佔多數
[00:03:20.240 --> 00:03:26.240]  我猜是退休人員
[00:03:26.240 --> 00:03:28.240]  然後每一類人
[00:03:28.240 --> 00:03:31.240]  在我們教會裡面一起去侍奉
[00:03:31.240 --> 00:03:36.240]  其實你和我都有不同的才幹和恩賜
[00:03:36.240 --> 00:03:40.240]  原來主耶穌讓我們按照我們的才幹去領受
[00:03:40.240 --> 00:03:42.240]  原來主人很自主的決定
[00:03:42.240 --> 00:03:43.240]  讓我們有不同的人
[00:03:43.240 --> 00:03:44.240]  有不同的處境
[00:03:44.240 --> 00:03:46.240]  不同的恩賜和才幹
[00:03:46.240 --> 00:03:49.240]  然後我們需要忠心的去服侍
[00:03:49.240 --> 00:03:54.240]  忠心的是善用神給你這一刻的時間和才幹
[00:03:54.240 --> 00:03:56.240]  忠心是什麼呢?
[00:03:56.240 --> 00:04:00.240]  你接納你自己所得到的一切
[00:04:00.240 --> 00:04:02.240]  你不要去比較
[00:04:02.240 --> 00:04:04.240]  你不要比較別人有什麼
[00:04:04.240 --> 00:04:06.240]  別人多些什麼
[00:04:06.240 --> 00:04:11.240]  無謂比較就是窒礙了我們應該有的發揮和運用
[00:04:11.240 --> 00:04:15.240]  然後比較又帶來很多無奈
[00:04:15.240 --> 00:04:20.240]  不想去運用
[00:04:20.240 --> 00:04:22.240]  為什麼是這樣的問題
[00:04:22.240 --> 00:04:24.240]  很多負面的情緒
