
[00:00:00.000 --> 00:00:02.160]  今天這個題目
[00:00:02.160 --> 00:00:11.040]  其實原本我想用一個更聳動的用詞
[00:00:11.040 --> 00:00:15.000]  就是要 要殺死你
[00:00:15.000 --> 00:00:20.080]  但是我心裡想 這樣太聳動了
[00:00:20.080 --> 00:00:25.280]  所以這稍微比較含蓄一點
[00:00:25.280 --> 00:00:28.000]  要致死你的救人
[00:00:28.000 --> 00:00:32.520]  跟你媽咪說 致死你的救人
[00:00:32.520 --> 00:00:33.880]  你說怎麼搞的 牧師啊
[00:00:33.880 --> 00:00:36.240]  禮拜天來這邊就講死啊
[00:00:36.240 --> 00:00:38.960]  我們中國人最不喜歡聽死的對不對
[00:00:38.960 --> 00:00:42.600]  我不是說要你死 也不是咒詛你死
[00:00:42.600 --> 00:00:45.600]  但是聖經上裡面保羅在這個
[00:00:45.600 --> 00:00:49.840]  剛才我們讀的這個歌羅西書
[00:00:49.840 --> 00:00:52.200]  還記得上次我們講的歌羅西書裡面
[00:00:52.200 --> 00:00:54.000]  保羅一再的強調一件事
[00:00:54.000 --> 00:00:59.400]  就是說我們已經死了 是不是
[00:00:59.400 --> 00:01:01.680]  我們與基督一同同死了
[00:01:01.680 --> 00:01:05.760]  你們受洗就是已經與基督一同歸入死的名將
[00:01:05.760 --> 00:01:09.320]  然後呢 又跟他一起活過來
[00:01:09.320 --> 00:01:12.160]  並且我們將來
[00:01:12.160 --> 00:01:14.600]  當主耶穌基督再來的時候
[00:01:14.600 --> 00:01:20.520]  他顯現的時候 我們要向他
[00:01:20.520 --> 00:01:23.120]  所以這是我們的盼望
[00:01:23.120 --> 00:01:26.960]  這個地上 所有一切的人事物都會過去
[00:01:26.960 --> 00:01:28.880]  你今天所看中的很多東西
[00:01:28.880 --> 00:01:34.320]  在永恆裡面你會發現根本都不會存在
[00:01:34.320 --> 00:01:39.280]  請問你的Bank Account有多少錢
[00:01:39.280 --> 00:01:43.560]  我沒有要
[00:01:43.560 --> 00:01:48.800]  請問你銀行的存款有一天到天上去的時候
[00:01:48.800 --> 00:01:53.520]  或者確定你要到天上去
[00:01:53.520 --> 00:01:57.680]  你能夠帶得走嗎 帶不走
[00:01:57.680 --> 00:02:00.680]  所以這個世界很多的人想到
[00:02:00.680 --> 00:02:04.480]  死了以後到陰間去 到天國去
[00:02:04.480 --> 00:02:05.920]  不管你怎麼說
[00:02:05.920 --> 00:02:10.040]  很多人有不同的覺得自己可以到天國去
[00:02:10.040 --> 00:02:15.120]  我告訴你 你除非是信靠耶穌基督
[00:02:15.120 --> 00:02:21.080]  否則呢 你不可能進入天國
[00:02:21.080 --> 00:02:23.400]  因為聖經上講得非常清楚
[00:02:23.400 --> 00:02:29.520]  信子的人有永生 是不是
[00:02:29.520 --> 00:02:34.440]  信子 信子就是信耶穌的人有永生
[00:02:34.440 --> 00:02:40.120]  那有人說你們基督教好像太絕對了 是不是
[00:02:40.120 --> 00:02:41.600]  好像太排他性的
[00:02:41.600 --> 00:02:44.840]  現在你說什麼 真理一定是排他性的
[00:02:44.840 --> 00:02:46.080]  如果不是排他性
[00:02:46.080 --> 00:02:47.080]  他就不是絕對性
[00:02:47.080 --> 00:02:51.200]  他是相對性 懂這意思嗎
[00:02:51.200 --> 00:02:52.720]  所以有的人說
[00:02:52.720 --> 00:02:54.680]  甚至基督徒有時候也會覺得說
[00:02:54.680 --> 00:02:56.560]  我們不要講得這麼絕對
[00:02:56.560 --> 00:02:57.640]  請留步準備
[00:02:57.640 --> 00:02:59.880]  如果今天沒有這麼絕對
[00:02:59.880 --> 00:03:04.160]  你我信耶穌就跟剛才的什麼族
[00:03:04.160 --> 00:03:07.760]  阿媽的魯蛋 阿媽魯豬一樣
[00:03:07.760 --> 00:03:10.400]  很多就是掛名的基督徒
[00:03:10.400 --> 00:03:13.600]  信仰沒有真正的經歷到這位生命
[00:03:13.600 --> 00:03:16.080]  如果真正的你經歷到神的生命
[00:03:16.080 --> 00:03:18.120]  是這麼樣的寶貴的時候
[00:03:18.120 --> 00:03:23.400]  你就知道 是的
[00:03:23.400 --> 00:03:25.680]  這地上一切的人數都是短暫的
[00:03:25.680 --> 00:03:29.480]  都會過去 抓住永恆的
[00:03:29.480 --> 00:03:30.840]  所以聖經上告訴我們
[00:03:30.840 --> 00:03:32.600]  保羅在這裡一再強調
[00:03:32.600 --> 00:03:35.960]  他說你們已經死了
[00:03:35.960 --> 00:03:37.560]  他講的這個死
[00:03:37.560 --> 00:03:44.120]  是指著我們這個舊人死了
[00:03:44.120 --> 00:03:45.480]  保羅一再講 一再講
[00:03:45.480 --> 00:03:46.280]  講得還不夠
[00:03:46.280 --> 00:03:47.840]  到了第三章
[00:03:47.840 --> 00:03:49.720]  一開始 第一節到第四節
[00:03:49.720 --> 00:03:51.360]  上次我們信息講完之後
[00:03:51.360 --> 00:03:52.400]  講的說
[00:03:52.400 --> 00:03:55.080]  他把我們整個的一個追求的盼望給我們看
[00:03:55.080 --> 00:03:58.080]  還記得我跟大家列的那張表嗎
[00:03:58.080 --> 00:04:02.760]  還記不記得
[00:04:02.760 --> 00:04:04.920]  我不知道有沒有放在這裡
[00:04:04.920 --> 00:04:06.080]  再看一下 好不好
[00:04:06.080 --> 00:04:07.480]  這張表看到了嗎
[00:04:07.480 --> 00:04:09.440]  請記得
[00:04:09.440 --> 00:04:10.520]  請凌涼堂的弟兄姊妹
[00:04:10.520 --> 00:04:12.160]  你一定要記得
[00:04:12.160 --> 00:04:14.440]  這是版權所有 歡迎倒映
[00:04:14.440 --> 00:04:18.120]  不是 歡迎轉發
[00:04:18.120 --> 00:04:22.320]  我們從一清祖這個叫得救 對不對
[00:04:22.320 --> 00:04:24.480]  得救了之後就怎麼樣了
[00:04:24.480 --> 00:04:27.480]  就來凌涼堂禮拜天做禮拜
[00:04:27.480 --> 00:04:29.560]  有空就來 沒空就不來
[00:04:29.560 --> 00:04:30.440]  親愛的弟兄姊妹
[00:04:30.440 --> 00:04:31.880]  這樣子的人
[00:04:31.880 --> 00:04:36.920]  我懷疑他到底有沒有重生得救
[00:04:36.920 --> 00:04:38.200]  或者是說
[00:04:38.200 --> 00:04:39.760]  我們的信主的時候
[00:04:39.760 --> 00:04:42.320]  也許跟他講的時候沒有講清楚
[00:04:42.320 --> 00:04:43.640]  他信得不清楚
[00:04:43.640 --> 00:04:47.960]  就是對信仰把它當作是一個廉價品
[00:04:47.960 --> 00:04:49.640]  不是的
[00:04:49.640 --> 00:04:51.400]  我們信了耶穌之後
[00:04:51.400 --> 00:04:53.840]  神在我們身上有一個目標的
[00:04:53.840 --> 00:04:55.240]  有一個目的的
