
[00:00:00.000 --> 00:00:05.000]  今年教會的主題就是做門徒訓練
[00:00:05.000 --> 00:00:10.000]  做門徒除了有些既定的課程
[00:00:10.000 --> 00:00:13.000]  一般會學之外
[00:00:13.000 --> 00:00:17.000]  其實最重要的一樣東西就是我們學習主耶穌的視野
[00:00:17.000 --> 00:00:20.000]  怎樣去看生活上每一樣東西
[00:00:20.000 --> 00:00:25.000]  所以今天作為2015年的開始
[00:00:25.000 --> 00:00:27.000]  我們中國人有一句話
[00:00:27.000 --> 00:00:29.000]  一年之計在於春
[00:00:29.000 --> 00:00:31.000]  所以在年初的時候
[00:00:31.000 --> 00:00:34.000]  我們對時間的認識
[00:00:34.000 --> 00:00:37.000]  掌握和實踐去計劃
[00:00:37.000 --> 00:00:39.000]  非常重要
[00:00:39.000 --> 00:00:41.000]  今天的經文
[00:00:41.000 --> 00:00:44.000]  路加福音第十四章這段經文
[00:00:44.000 --> 00:00:47.000]  其實提了兩個的向度
[00:00:47.000 --> 00:00:50.000]  一個就是跟在主的後面
[00:00:50.000 --> 00:00:54.000]  一個就是坐下來事先計劃
[00:00:54.000 --> 00:00:58.000]  你要跟在耶穌的後面
[00:00:58.000 --> 00:01:02.000]  但是你要走在時間之先
[00:01:02.000 --> 00:01:03.000]  為什麼呢
[00:01:03.000 --> 00:01:05.000]  原來時間是很重要
[00:01:05.000 --> 00:01:07.000]  而且是生命
[00:01:07.000 --> 00:01:11.000]  我們俗語說一寸光陰一寸金
[00:01:11.000 --> 00:01:13.000]  寸金難買寸光陰
[00:01:13.000 --> 00:01:16.000]  其實生命是什麼呢
[00:01:16.000 --> 00:01:18.000]  生命就是時間
[00:01:18.000 --> 00:01:20.000]  如果你沒有時間的話
[00:01:20.000 --> 00:01:22.000]  就是沒有生命
[00:01:22.000 --> 00:01:28.000]  你沒有辦法去講時間裡面的關係
[00:01:28.000 --> 00:01:31.000]  工作成就甚至享樂
[00:01:31.000 --> 00:01:33.000]  只要你有時間
[00:01:33.000 --> 00:01:37.000]  你才能夠講時間裡面生命人生
[00:01:37.000 --> 00:01:39.000]  可以發生的東西
[00:01:39.000 --> 00:01:42.000]  2014年過去
[00:01:42.000 --> 00:01:45.000]  我們在12月31號那一晚
[00:01:45.000 --> 00:01:46.000]  提到說
[00:01:46.000 --> 00:01:50.000]  其實我們可以在時間的交接裡面
[00:01:50.000 --> 00:01:53.000]  去學習怎樣去總算
[00:01:53.000 --> 00:01:57.000]  我們走過的時間經歷
[00:01:57.000 --> 00:01:59.000]  去總結我們的人生
[00:01:59.000 --> 00:02:02.000]  2014年非常之顛簸
[00:02:02.000 --> 00:02:07.000]  我們那晚完了我回家看新聞
[00:02:07.000 --> 00:02:11.000]  才發現到在2014年最後那半個小時
[00:02:11.000 --> 00:02:15.000]  都在上海帶走了三十多條生命
[00:02:15.000 --> 00:02:18.000]  2014年真是很顛簸的一年
[00:02:18.000 --> 00:02:22.000]  在31號那晚我就提到有兩個觀念
[00:02:22.000 --> 00:02:27.000]  幫助我們去總結過往的時間和人生經歷
[00:02:27.000 --> 00:02:30.000]  第一就是個人的信仰
[00:02:30.000 --> 00:02:33.000]  你別人怎樣看
[00:02:33.000 --> 00:02:36.000]  或者客觀外在的世界怎樣
[00:02:36.000 --> 00:02:40.000]  別人眾人跟你一樣在時間的歷程當中
[00:02:40.000 --> 00:02:45.000]  信仰就是幫助你對時間歷程當中你的經歷
[00:02:45.000 --> 00:02:47.000]  有一個獨特的領受和觀念
[00:02:47.000 --> 00:02:50.000]  然後他約伯就是一個例子
[00:02:50.000 --> 00:02:53.000]  別人認為約伯很慘 慘到不得了
[00:02:53.000 --> 00:02:55.000]  但約伯基就說
[00:02:55.000 --> 00:03:00.000]  他在信仰裡面重新去演繹他生命的故事
[00:03:00.000 --> 00:03:04.000]  真是悲盡然後起來
[00:03:04.000 --> 00:03:06.000]  在他那麼多慘況之後
[00:03:06.000 --> 00:03:08.000]  最後上帝的祝福
[00:03:08.000 --> 00:03:12.000]  人生如果你只是切片來看
[00:03:12.000 --> 00:03:15.000]  有些地方 有些階段是多慘
[00:03:15.000 --> 00:03:19.000]  但如果你人生是連貫來看
[00:03:19.000 --> 00:03:24.000]  你就發現到某一個階段是補足了另外一個階段
[00:03:24.000 --> 00:03:27.000]  而且令到另外一個階段
[00:03:27.000 --> 00:03:31.000]  你所經歷不明苦難的事是有意義
[00:03:31.000 --> 00:03:34.000]  除了這樣之外
[00:03:34.000 --> 00:03:40.000]  人生也要從好處和有趣來著眼
[00:03:40.000 --> 00:03:45.000]  中國人也有句話 人生不如意事十常八九
[00:03:45.000 --> 00:03:49.000]  你想想 如果這句話是普遍原則的話
[00:03:49.000 --> 00:03:53.000]  你昨天應該有85%的時間不開心
[00:03:53.000 --> 00:03:55.000]  是不是呀 不是呀
[00:03:55.000 --> 00:03:58.000]  至少有一半時間開心
[00:03:58.000 --> 00:04:02.000]  這個你就是贊助了 是不是
[00:04:02.000 --> 00:04:07.000]  這句話就是讓你的人生或底線低一點的時候
[00:04:07.000 --> 00:04:10.000]  當你覺得開心的時候
[00:04:10.000 --> 00:04:12.000]  就額外賺
[00:04:12.000 --> 00:04:16.000]  我以前在神學院要教科文間信仰
[00:04:16.000 --> 00:04:20.000]  特意去研究一下紫微斗數
[00:04:20.000 --> 00:04:24.000]  看它的推算程序
[00:04:24.000 --> 00:04:28.000]  然後去看一下它背後的世界觀道理
[00:04:28.000 --> 00:04:30.000]  來做一些批判
[00:04:30.000 --> 00:04:41.000]  用了一百元買了一本當時很有名的紫微斗數家所寫的一本書
[00:04:41.000 --> 00:04:45.000]  一百元幾十年前都很貴
[00:04:45.000 --> 00:04:48.000]  看到最後才慎文
[00:04:48.000 --> 00:04:50.000]  結論是怎樣呢
[00:04:50.000 --> 00:04:53.000]  他說其實人生的際遇是平衡
[00:04:53.000 --> 00:04:58.000]  吉星裏面有缺點 煞星裏面有轉機
[00:04:58.000 --> 00:05:01.000]  全在乎你怎樣去掌握
[00:05:01.000 --> 00:05:03.000]  看來要抹
[00:05:03.000 --> 00:05:06.000]  這個呢 蝕了一百元就學過功課
[00:05:06.000 --> 00:05:09.000]  我以後買書就不看封面
