
[00:00:00.000 --> 00:00:02.760]  好,緊接著讓我們先聽神的禱語
[00:00:02.760 --> 00:00:04.360]  我們同心的禱告
[00:00:04.360 --> 00:00:07.420]  好的,怎麼樣?我們聽神的禱告之前先同心禱告
[00:00:07.420 --> 00:00:10.440]  慈悲的父神,多謝禰
[00:00:10.440 --> 00:00:13.400]  讓我們能夠再次打開禰的說話
[00:00:13.400 --> 00:00:17.920]  去明白怎樣去侍奉禰
[00:00:17.920 --> 00:00:22.080]  不過當我們打開禰的說話的時候
[00:00:22.080 --> 00:00:24.360]  看見一幅圖畫
[00:00:25.640 --> 00:00:31.120]  實在是與今天的教會非常之類似
[00:00:31.120 --> 00:00:35.880]  類似的地方是,不是教會做得好
[00:00:35.880 --> 00:00:41.400]  而是教會裏面充滿許多虛假的事情
[00:00:41.400 --> 00:00:44.720]  因此我求禰的幫助
[00:00:44.720 --> 00:00:47.440]  讓我們藉著這段經文
[00:00:47.440 --> 00:00:53.080]  再次學會怎樣拿起這些挑戰
[00:00:54.080 --> 00:00:59.280]  面對一個這麼扭曲的教會觀
[00:00:59.280 --> 00:01:02.720]  讓我們能夠好好的去面對
[00:01:02.720 --> 00:01:04.960]  面對這一切的挑戰
[00:01:04.960 --> 00:01:06.760]  求禰的幫助
[00:01:06.760 --> 00:01:08.640]  現在天父感謝禰
[00:01:08.640 --> 00:01:11.160]  讓我們能夠再次打開禰的說話
[00:01:11.160 --> 00:01:13.440]  讓我們看到聖經裏面
[00:01:13.440 --> 00:01:16.400]  我們所面對的真相是怎麼樣
[00:01:16.400 --> 00:01:19.320]  裏面所提到的教會
[00:01:19.320 --> 00:01:23.600]  實際上跟今天的教會非常相似
[00:01:24.520 --> 00:01:25.600]  因為在當中
[00:01:25.600 --> 00:01:29.480]  教會埋藏很多虛假的戲
[00:01:29.480 --> 00:01:33.360]  使我們在當中面對更多的挑戰
[00:01:33.360 --> 00:01:39.880]  就要勇敢地來面對這些假象
[00:01:39.880 --> 00:01:44.960]  使我們能夠不離不棄地跟隨主
[00:01:44.960 --> 00:01:46.400]  來到我們面前
[00:01:46.400 --> 00:01:50.200]  充滿好挑戰的一個時空遠徵
[00:01:50.200 --> 00:01:52.400]  禱告奉主耶穌的名求
[00:01:52.400 --> 00:01:53.400]  阿們
[00:01:55.080 --> 00:01:59.440]  施奉神其實只有一個目的
[00:01:59.440 --> 00:02:02.080]  施奉神實際上只有一個目的
[00:02:02.080 --> 00:02:02.960]  不過很可惜
[00:02:02.960 --> 00:02:07.200]  今天教會將施奉神變成很多種不同的目的
[00:02:07.200 --> 00:02:11.280]  很可惜今天教會將施奉神變成很多不同的目的
[00:02:11.280 --> 00:02:18.480]  根據在耶穌基督在施奉的最初的第一個信息
[00:02:18.480 --> 00:02:22.400]  就根據耶穌基督施奉的第一個信息
[00:02:22.600 --> 00:02:25.200]  在馬太福音的第四章裏面
[00:02:25.200 --> 00:02:27.480]  在馬太福音第四章裏面
[00:02:27.480 --> 00:02:29.200]  耶穌說
[00:02:29.200 --> 00:02:32.920]  你們應當悔改
[00:02:32.920 --> 00:02:36.640]  因為天國已經來了
[00:02:36.640 --> 00:02:37.840]  Repent
[00:02:37.840 --> 00:02:41.360]  The kingdom of God is coming
[00:02:41.360 --> 00:02:47.680]  很多時候我們對這個信息很不懂得去掌握
[00:02:47.680 --> 00:02:50.840]  因為很多時候我們對這個信息不知道怎麼去掌握
[00:02:50.840 --> 00:02:52.480]  結果就變成怎樣呢
[00:02:52.520 --> 00:02:53.680]  結果變成怎麼樣呢
[00:02:53.680 --> 00:02:55.440]  結果我們在教會裏面
[00:02:55.440 --> 00:02:59.360]  就形成了很多別樣的福音走出來
[00:02:59.360 --> 00:03:01.360]  就形成了很多別樣的福音走出來
[00:03:01.360 --> 00:03:05.400]  因為叫人悔改不是一件容易的事
[00:03:05.400 --> 00:03:06.520]  不是一件容易的事
[00:03:06.520 --> 00:03:09.120]  如果叫人去將他自己的本性
[00:03:09.120 --> 00:03:13.040]  習慣去扭轉過來的話
[00:03:13.040 --> 00:03:20.080]  是非常困難的事
[00:03:20.080 --> 00:03:24.720]  我記得以前當我去讀性格研究的時候
[00:03:24.720 --> 00:03:26.720]  Personality test的時候
[00:03:26.720 --> 00:03:30.280]  當我以前最多性格認識的時候
[00:03:30.280 --> 00:03:33.600]  當時的教授講得很清楚
