
[00:00:00.000 --> 00:00:06.200]  讓我們一同去擁抱神的話語來禱告
[00:00:06.200 --> 00:00:10.700]  天主上帝我們為著能夠一同去中讀祢的話語
[00:00:10.700 --> 00:00:12.500]  一同去聆聽
[00:00:12.500 --> 00:00:15.200]  一同去將祢的話語放在心上
[00:00:15.200 --> 00:00:16.900]  我們獻上感謝
[00:00:16.900 --> 00:00:19.300]  我們知道這個都是祢給我們的福分
[00:00:19.300 --> 00:00:20.700]  因為祢藉著祢的話語
[00:00:20.700 --> 00:00:23.700]  讓我們認識到祢是怎樣的上帝
[00:00:23.700 --> 00:00:25.300]  求祢開我們的眼
[00:00:25.300 --> 00:00:28.500]  看見祢是那位配得我們尊崇
[00:00:28.500 --> 00:00:32.200]  配得我們將一切榮耀重讚歸於祢的神
[00:00:32.200 --> 00:00:34.800]  讓我們看見祢是怎樣的上帝
[00:00:34.800 --> 00:00:37.800]  好叫我們懂得我們怎樣去回應
[00:00:37.800 --> 00:00:42.200]  怎樣去忠於我們在祢當中有恩的約
[00:00:42.200 --> 00:00:47.400]  也叫我們懂得怎樣去成為一個合乎你心意的子民
[00:00:47.400 --> 00:00:50.700]  將以下時間恭敬在你手中
[00:00:50.700 --> 00:00:52.400]  和你觸動我們的心靈
[00:00:52.400 --> 00:00:54.000]  改變我們的生命
[00:00:54.000 --> 00:00:55.400]  聽我們的祈禱
[00:00:55.400 --> 00:00:58.300]  奉靠耶穌基督得勝的明智祈求
[00:00:58.300 --> 00:00:58.800]  阿門
[00:01:28.300 --> 00:01:29.500]  現在已經好很多了
[00:01:29.500 --> 00:01:31.700]  市政府很刻意去翻身
[00:01:31.700 --> 00:01:33.100]  去清除了很多
[00:01:33.100 --> 00:01:35.600]  但舊時我讀書的年代
[00:01:35.600 --> 00:01:37.100]  我住在宿舍
[00:01:37.100 --> 00:01:38.600]  我宿舍斜對面
[00:01:38.600 --> 00:01:42.900]  有一個很便宜的Motel
[00:01:42.900 --> 00:01:45.400]  即是那些小酒店
[00:01:45.400 --> 00:01:48.100]  那些很多不知道什麼人在那裡
[00:01:48.100 --> 00:01:51.500]  包括有些人在那裡吸毒、販毒
[00:01:51.500 --> 00:01:53.400]  我正對面
[00:01:53.400 --> 00:01:54.700]  我的窗對著
[00:01:54.700 --> 00:01:57.800]  試過有一天早上我起來發現很多警察
[00:01:57.800 --> 00:01:59.200]  原來那裡發生命案
[00:01:59.200 --> 00:02:00.800]  有人衝進去
[00:02:00.800 --> 00:02:02.900]  插了十幾刀
[00:02:02.900 --> 00:02:04.500]  我頭三個月
