
[00:00:00.000 --> 00:00:02.540]  多謝梓甯、田啟用詩歌提醒我們
[00:00:02.540 --> 00:00:03.720]  耶穌基督愛我們
[00:00:03.720 --> 00:00:06.200]  讓我們面向聖誕節的時候
[00:00:06.200 --> 00:00:09.260]  我們記得神在我們生命當中的恩典
[00:00:09.260 --> 00:00:12.780]  今天繼續逆流選擇系列
[00:00:12.780 --> 00:00:18.000]  仍然是宗教改革五百年的一些內容
[00:00:18.000 --> 00:00:23.360]  當馬丁路德在1517年10月31日
[00:00:23.360 --> 00:00:25.940]  在威丁堡教堂的北門
[00:00:27.240 --> 00:00:31.880]  寫了九十五條他對當時教會的一些問題
[00:00:31.880 --> 00:00:36.060]  他的想法是希望能夠引起人們的一些討論
[00:00:36.060 --> 00:00:39.220]  從而帶來教會一些生命上的改變
[00:00:39.220 --> 00:00:41.560]  不過很可惜
[00:00:41.560 --> 00:00:43.720]  他這九十五條
[00:00:43.720 --> 00:00:46.040]  優印冊述的原因全部都很廣
[00:00:46.040 --> 00:00:49.280]  引起了當時很大的討論
[00:00:49.280 --> 00:00:51.560]  也因為這樣的緣故
[00:00:51.560 --> 00:00:54.800]  於是在1520年
[00:00:54.800 --> 00:00:57.540]  大約三年後的過程中經過一些經歷之後
[00:00:57.540 --> 00:01:01.140]  三年後教廷給他一個命令
[00:01:01.140 --> 00:01:02.960]  告訴馬丁路德
[00:01:02.960 --> 00:01:06.600]  六十天內要求他認錯
[00:01:06.600 --> 00:01:10.480]  就是說貼出的那九十五條貼錯了
[00:01:10.480 --> 00:01:12.360]  然後悔改
[00:01:12.360 --> 00:01:16.660]  然後歸回當時大公教會的系統
[00:01:16.660 --> 00:01:20.700]  面對著教宗的要求
[00:01:20.700 --> 00:01:23.280]  面對教廷這麼龐大的壓力
[00:01:24.160 --> 00:01:26.720]  馬丁路德寫了三本書
[00:01:26.720 --> 00:01:28.640]  寫了三個宣告
[00:01:28.640 --> 00:01:32.280]  第一個叫做《至德國基督徒貴族書》
[00:01:32.280 --> 00:01:34.680]  教宗就說
[00:01:34.680 --> 00:01:36.160]  馬丁路德你很認錯了
[00:01:36.160 --> 00:01:37.420]  你很回來了
[00:01:37.420 --> 00:01:40.100]  馬丁路德就寫了這本書
[00:01:40.100 --> 00:01:45.060]  就公告教宗制度是一個錯誤
[00:01:45.060 --> 00:01:47.800]  就是明顯開始跟他打仗
[00:01:47.800 --> 00:01:49.740]  教宗就說你錯了
[00:01:49.740 --> 00:01:51.480]  然後馬丁路德又說你錯了
[00:01:53.080 --> 00:01:56.100]  然後再寫第二本《教會·秘魯巴比倫》
[00:01:56.100 --> 00:02:02.000]  就指出當時大公教會在救贖神學上的勝利謬誤
[00:02:02.000 --> 00:02:05.000]  就在說他七勝利的錯誤
[00:02:05.000 --> 00:02:06.200]  問題在哪裡
[00:02:06.200 --> 00:02:10.120]  然後第三個就是《基督徒的自由論》
[00:02:10.120 --> 00:02:13.440]  就是否定了當時的教會
[00:02:13.440 --> 00:02:16.480]  在強調人的善行
[00:02:16.480 --> 00:02:19.360]  能夠在得救上有作用
[00:02:19.360 --> 00:02:21.240]  我們記得馬丁路德
[00:02:21.840 --> 00:02:23.960]  讓他來做這個行動
[00:02:23.960 --> 00:02:26.200]  其中一個很大的原因就是當時因為
[00:02:26.200 --> 00:02:29.520]  教會需要來重修聖彼得大教堂
[00:02:29.520 --> 00:02:32.120]  於是就派人到他的教區
