
[00:00:00.000 --> 00:00:03.520]  在一月份的講道當中,我是提及
[00:00:03.520 --> 00:00:09.200]  我們每個人都是經歷著不同種類的創傷
[00:00:09.200 --> 00:00:13.600]  我們患病,我們家人患病,離世
[00:00:13.600 --> 00:00:16.800]  人的心靈患病
[00:00:16.800 --> 00:00:19.000]  人在傷害人
[00:00:19.000 --> 00:00:23.800]  人用言語暴力,是彼此的傷害
[00:00:23.800 --> 00:00:28.000]  當你面對這樣的傷害的時候
[00:00:28.600 --> 00:00:33.800]  你能不能夠寬恕那些曾經傷害你的人呢?
[00:00:33.800 --> 00:00:36.000]  我們跟心禱告
[00:00:36.000 --> 00:00:41.600]  親愛的主,我們感恩因為
[00:00:41.600 --> 00:00:46.800]  我們眾弟兄姊妹能夠來到聖所當中
[00:00:46.800 --> 00:00:49.200]  去朝見祢,敬拜祢
[00:00:49.200 --> 00:00:52.600]  我們如今,我們是預備
[00:00:52.600 --> 00:00:54.200]  是拳手主餐
[00:00:54.200 --> 00:00:58.000]  在主餐之前,我們一同聽祢的話語
[00:00:59.000 --> 00:01:02.600]  我們又知道在這個月,是我們的關顧月
[00:01:02.600 --> 00:01:05.600]  我們是要去關心
[00:01:05.600 --> 00:01:10.000]  在我們的家人,承浸家的家人
[00:01:10.000 --> 00:01:13.800]  不同地方我們淪捨的朋友
[00:01:13.800 --> 00:01:18.400]  我們又知道當我們要關心其他人的時候
[00:01:18.400 --> 00:01:21.400]  我們的心靈需要健康
[00:01:21.400 --> 00:01:26.400]  主,我們今天就求祢幫助我們
[00:01:27.800 --> 00:01:30.400]  用祢的話語來醫治我們
[00:01:30.400 --> 00:01:34.400]  讓我們能夠進入祢的話語的奧秘當中
[00:01:34.400 --> 00:01:36.800]  在祢的能力當中
[00:01:36.800 --> 00:01:40.400]  得蒙醫治,得蒙釋放
[00:01:40.400 --> 00:01:44.400]  主,我們仰望祢,我們愛祢
[00:01:44.400 --> 00:01:49.400]  我們的禱告,是奉主耶穌基督名字求,阿們
[00:01:49.400 --> 00:01:56.200]  今天我會跟大家讀耶穌基督的比喻
[00:01:57.800 --> 00:01:59.400]  什麼叫做比喻呢?
[00:01:59.400 --> 00:02:06.400]  比喻的希臘文的基本字根就是
[00:02:06.400 --> 00:02:09.400]  Para-Polay
[00:02:09.400 --> 00:02:15.400]  Para就是旁邊,Polay就是頭窄
[00:02:15.400 --> 00:02:22.400]  意思就是說,將一樣的東西放在另外一樣的東西旁邊
[00:02:22.400 --> 00:02:26.400]  我們看到耶穌基督在祂說比喻的當中
[00:02:27.400 --> 00:02:30.400]  祂將兩件事情放在一起
[00:02:30.400 --> 00:02:34.400]  好像拋在半空中一樣,讓人看見
[00:02:34.400 --> 00:02:40.400]  一方面,祂拋出重要的真理和概念
[00:02:40.400 --> 00:02:44.400]  是關乎神國道的願景
[00:02:44.400 --> 00:02:50.400]  另一方面,祂拋出一些人物,一些日常的事情
[00:02:50.400 --> 00:02:53.400]  祂拋出的人物是什麼人物呢?
[00:02:54.400 --> 00:02:57.400]  男人、農夫、牧羊人、麵包師傅
[00:02:57.400 --> 00:03:02.400]  父親、兒子、新娘、伴娘、銀行家等等
[00:03:02.400 --> 00:03:07.400]  這些人都是從事著很平凡的事務
[00:03:07.400 --> 00:03:10.400]  他們都有家庭的糾紛
[00:03:10.400 --> 00:03:13.400]  有些人在尋找迷失的羊
[00:03:13.400 --> 00:03:16.400]  有些人在計算工錢
[00:03:16.400 --> 00:03:19.400]  這些都是比喻的方式
[00:03:19.400 --> 00:03:22.400]  為什麼耶穌基督要用比喻呢?
[00:03:23.400 --> 00:03:27.400]  因為當我們談論神,我們認識神的時候
[00:03:27.400 --> 00:03:32.400]  我們會發覺有相當的限制,有相當的困難
[00:03:32.400 --> 00:03:36.400]  保羅告訴我們,人類是有限的
[00:03:36.400 --> 00:03:42.400]  我們只可以透過模模糊糊的鏡子去看見神
[00:03:42.400 --> 00:03:48.400]  再者,我們又常常忘記了我們的有限
[00:03:48.400 --> 00:03:51.400]  我們傾向以為我們能夠把握神
[00:03:52.400 --> 00:03:55.400]  甚至完全地明白神
[00:03:55.400 --> 00:03:59.400]  所以當我們開始談論神的時候
[00:03:59.400 --> 00:04:06.400]  我們會想像一個神明能夠滿足我們的需求
[00:04:06.400 --> 00:04:09.400]  我們的慾望、我們的喜好
[00:04:09.400 --> 00:04:14.400]  這些神明的形象就是偶像
[00:04:15.400 --> 00:04:22.400]  所以比喻是提供我們一些對抗偶像崇拜的解藥
[00:04:22.400 --> 00:04:26.400]  叫我們不要以為自己這麼厲害,知道神的一切
[00:04:26.400 --> 00:04:35.400]  另一方面,叫我們能夠進入神的奧秘、神奇妙的因典當中
[00:04:35.400 --> 00:04:38.400]  所以不少時候我們看見耶穌基督
[00:04:38.400 --> 00:04:42.400]  是會透過比喻打開我們有限的智慧
[00:04:43.400 --> 00:04:45.400]  讓我們進入一個不同的世界
[00:04:45.400 --> 00:04:51.400]  經歷一個受天國之道所塑造的奇妙世界
[00:04:51.400 --> 00:04:53.400]  耶穌基督又指出
[00:04:53.400 --> 00:05:00.400]  這個世界的角度、神的角度、神的角度裏面的真理
[00:05:00.400 --> 00:05:03.400]  它的規則是和這個世界不同的
[00:05:03.400 --> 00:05:10.400]  門徒要採取一種別的方式、不同的方式去看世界
[00:05:11.400 --> 00:05:20.400]  是能夠經歷這種由天國的道理、真理所塑造的奇妙的世界
[00:05:20.400 --> 00:05:24.400]  要明白神的智慧和奧秘
[00:05:24.400 --> 00:05:34.400]  我們今天中午看《馬太福音》18章21至35節
[00:05:35.400 --> 00:05:41.400]  那時彼得進前來對耶穌說:主啊,我弟兄得罪我
[00:05:41.400 --> 00:05:45.400]  我當饒恕他幾次呢?到七次可以嗎?
[00:05:45.400 --> 00:05:53.400]  耶穌說:我對你說,不是到七次,乃是到七十個七次
[00:05:53.400 --> 00:05:59.400]  天國好像一個王要和他的僕人算帳
[00:05:59.400 --> 00:06:04.400]  才算的時候有人帶了一個欠一千萬銀子的來
[00:06:05.400 --> 00:06:07.400]  因為他沒有什麼償還之物
[00:06:07.400 --> 00:06:14.400]  主人吩咐把他和他妻子兒女並一切所有的都賣了償還
[00:06:14.400 --> 00:06:21.400]  那僕人就服服拜他說:主啊,寬容我,將來我都要還清
[00:06:21.400 --> 00:06:29.400]  那僕人的主人就動了持心把他釋放了,並且免了他的債
[00:06:29.400 --> 00:06:34.400]  那僕人出來遇見一個同伴欠他十兩銀子
[00:06:35.400 --> 00:06:42.400]  便抽著他,合著他的喉嚨說:你把所欠的還我
[00:06:42.400 --> 00:06:51.400]  他的同伴就服服央求他說:寬容我吧,將來我必還清
[00:06:51.400 --> 00:06:59.400]  他不肯,竟去把他下在監裡,讓他還了所欠的債
[00:07:00.400 --> 00:07:06.400]  那同伴看見他所做的就甚憂愁,去把這事都告訴了主人
[00:07:06.400 --> 00:07:12.400]  於是主人叫了他來,對他說:你這惡奴才
[00:07:12.400 --> 00:07:16.400]  你央求我,我就把你所欠的都免了
[00:07:16.400 --> 00:07:22.400]  你不應當連恤你的同伴,像我連恤你嗎?
[00:07:22.400 --> 00:07:29.400]  主人就大怒把他交給掌刑的,讓他還清了所欠的債
[00:07:30.400 --> 00:07:39.400]  你們各人若不從心裡饒恕你的弟兄,我天父也要這樣待你們了
[00:07:39.400 --> 00:07:48.400]  對我來說,人類的歷史一直以來似乎有一個鮮明的主題
[00:07:48.400 --> 00:07:53.400]  這個鮮明的主題就是復仇
[00:07:54.400 --> 00:08:03.400]  它在我們的文化當中,在我們的政治當中,在我們的社會當中,在教會當中
[00:08:03.400 --> 00:08:08.400]  我們每一個人都是在一場復仇的旅程當中
[00:08:08.400 --> 00:08:15.400]  不少時候我們跟別人辯論爭執,然後生氣,然後憤怒
[00:08:16.400 --> 00:08:27.400]  在我們周圍我們聽見報復配偶,員工報復上司,學生報復老師
[00:08:27.400 --> 00:08:34.400]  孩子報復爸爸媽媽,鄰居報復鄰居的故事
[00:08:34.400 --> 00:08:38.400]  為什麼人會報復呢?
[00:08:39.400 --> 00:08:47.400]  心理學家就說,當我們受苦的時候,我們當然要找出造成我們痛苦的原因
[00:08:47.400 --> 00:08:54.400]  所以我們要找出誰搶我們的生意,誰在工作上羞辱我
[00:08:54.400 --> 00:08:59.400]  誰詆毀我的人格,誰在網上抹黑我
[00:08:59.400 --> 00:09:04.400]  誰在霸凌我,誰在霸凌我的孩子
[00:09:04.400 --> 00:09:08.400]  誰讓我受苦,誰讓我受創傷
[00:09:09.400 --> 00:09:15.400]  我們要找出那些害我們的人,要他們付出代價
[00:09:15.400 --> 00:09:21.400]  所以我們會紅遍滔滔地說,如果你冒犯我,我怎會不報復呢?
[00:09:21.400 --> 00:09:28.400]  你可以讓我惡行,我又要還給你,而且是更勝一籌
[00:09:28.400 --> 00:09:33.400]  你可以叫我受苦,我會讓你受更多的苦
[00:09:34.400 --> 00:09:39.400]  意思就是說,作為一個人,有人性的
[00:09:39.400 --> 00:09:47.400]  報復是天經地義,甚至要加碼報復和償還
[00:09:47.400 --> 00:09:54.400]  要讓對方承受更多的痛苦,以致能夠彌補我的痛苦
[00:09:54.400 --> 00:09:59.400]  相對世界的方式,耶穌基督就指出
[00:10:00.400 --> 00:10:05.400]  在神的國度裏,我們以一種與社會不同的方式來生活
[00:10:05.400 --> 00:10:13.400]  可以經歷一個受天國的真理所塑造的奇妙的世界
[00:10:13.400 --> 00:10:18.400]  耶穌基督就指出,你們不應該復仇
[00:10:18.400 --> 00:10:25.400]  神是向那些不配的罪人施恩典和憐憫
[00:10:26.400 --> 00:10:30.400]  神是不會報復的
[00:10:30.400 --> 00:10:38.400]  所以今天我們再進入《馬達福音》十八章二十一至三十五節的經文
[00:10:38.400 --> 00:10:45.400]  這段經文的比喻是講出無限寬恕的真理
[00:10:45.400 --> 00:10:48.400]  耶穌基督就這樣說
[00:10:49.400 --> 00:10:58.400]  好象一個王要和他的僕人算帳,僕人的希臘文叫doulos,是解釋甚麼?是奴隸
[00:10:58.400 --> 00:11:03.400]  這位王要和他的僕人結清所有的債項
[00:11:03.400 --> 00:11:08.400]  這個僕人,這個奴隸是欠了一千萬的銀子
[00:11:08.400 --> 00:11:12.400]  一千萬等於國王的身家
[00:11:12.400 --> 00:11:16.400]  所以意思是不可能償還
[00:11:17.400 --> 00:11:21.400]  這位奴僕就向王乞求廉恤和寬恕
[00:11:21.400 --> 00:11:28.400]  俯伏在地就說主啊,寬容我,我一切都還你
[00:11:28.400 --> 00:11:36.400]  但是面對這麼大的巨債,這條數是不可能還清的
[00:11:36.400 --> 00:11:44.400]  但是那個僕人的主人就動了持心,將他釋放了,免他一切的罪債
[00:11:45.400 --> 00:12:00.400]  其實我們突然間看到,巨債,王的廉恤,這個不是關於金錢的問題,這個是關於罪的問題
[00:12:00.400 --> 00:12:10.400]  這個就是比喻的重點,就是說人剛犯神,人對神的得罪是無法計算的
[00:12:11.400 --> 00:12:16.400]  所以這個比喻不是單單說一個慷慨的主人能夠寬容他的奴僕
[00:12:16.400 --> 00:12:22.400]  而是在說神赦免我們莫大的罪惡
[00:12:22.400 --> 00:12:32.400]  而王廉恤這個僕人的一個要求,一個心願,一個願景是什麼呢?
[00:12:33.400 --> 00:12:41.400]  就是希望這個僕人饒恕寬容那些虧負了這個僕人的人
[00:12:41.400 --> 00:12:51.400]  因為王的憐憫和寬恕,這個僕人很開心,邊走邊大聲謝謝
[00:12:51.400 --> 00:12:56.400]  王啊,謝謝,謝謝,很開心
[00:12:57.400 --> 00:13:07.400]  不過在路上,他就碰到一位欠他十兩銀子的同事,十兩銀子就等於一個工人一百天的工資
[00:13:07.400 --> 00:13:17.400]  十兩銀子其實都不是一個小的數目,不過比起一千萬這個天文數字就算不得什麼
[00:13:18.400 --> 00:13:28.400]  這條數是可以還清的,這個欠債的同事就懇求這個僕人寬容他
