
[00:00:00.000 --> 00:00:03.000]  這個節目講到心靈的生活
[00:00:03.000 --> 00:00:09.000]  作者一開始就說到要有弟兄相愛的心
[00:00:09.000 --> 00:00:12.000]  剛才我們唱的那首詩歌
[00:00:12.000 --> 00:00:16.000]  第二首是《不再愛的捆綁》
[00:00:16.000 --> 00:00:21.000]  這首詩歌我是很喜歡的
[00:00:21.000 --> 00:00:24.000]  因為這首詩歌它的背景
[00:00:24.000 --> 00:00:27.000]  就是有個英國的一個傳道人
[00:00:27.000 --> 00:00:29.000]  他在英國一個農村裡頭
[00:00:29.000 --> 00:00:35.000]  一個很小的教會服侍了很多年
[00:00:35.000 --> 00:00:38.000]  所以看到這個詩歌的背景是什麼
[00:00:38.000 --> 00:00:41.000]  是一個小禮拜堂
[00:00:41.000 --> 00:00:44.000]  等他幾十年服侍了以後
[00:00:44.000 --> 00:00:46.000]  身體也慢慢軟弱了
[00:00:46.000 --> 00:00:51.000]  有人就說希望他可以到倫敦
[00:00:51.000 --> 00:00:55.000]  一個大的地方可以休息
[00:00:55.000 --> 00:00:59.000]  可以在晚年的時候身體力量不夠的時候
[00:00:59.000 --> 00:01:00.000]  可以來休息
[00:01:00.000 --> 00:01:04.000]  他很捨不得離開這個教會
[00:01:04.000 --> 00:01:06.000]  捨不得離開弟兄姊妹
[00:01:06.000 --> 00:01:10.000]  但是各種情況的限制
[00:01:10.000 --> 00:01:15.000]  所以他還是跟他的妻子商量以後
[00:01:15.000 --> 00:01:17.000]  還是要離開
[00:01:17.000 --> 00:01:19.000]  所以在離開的那一天
[00:01:19.000 --> 00:01:21.000]  最後這一天的話
[00:01:21.000 --> 00:01:28.000]  他已經有一個馬車把他的行李都已經裝上車了
[00:01:28.000 --> 00:01:31.000]  停在教會的門口
[00:01:31.000 --> 00:01:35.000]  他還繼續最後一堂講道
[00:01:35.000 --> 00:01:36.000]  在講完道以後
[00:01:36.000 --> 00:01:40.000]  他就要跟他妻子離開這個小教會
[00:01:40.000 --> 00:01:44.000]  農村的教會到倫敦去了
[00:01:44.000 --> 00:01:47.000]  等到他講完道出來的時候
[00:01:47.000 --> 00:01:53.000]  就看見弟兄姊妹都在門口排著隊等著
[00:01:53.000 --> 00:01:55.000]  大家都很捨不得
[00:01:55.000 --> 00:01:59.000]  捨不得他離開他們
[00:01:59.000 --> 00:02:02.000]  那麼他看到這種情形
[00:02:02.000 --> 00:02:05.000]  他也覺得很難過
[00:02:05.000 --> 00:02:09.000]  想到幾十年在一起相聚的話
[00:02:09.000 --> 00:02:11.000]  弟兄姊妹彼此的相愛
[00:02:11.000 --> 00:02:13.000]  現在就要分開了
[00:02:13.000 --> 00:02:14.000]  所以他很捨不得
[00:02:14.000 --> 00:02:18.000]  看到弟兄姊妹這樣流著淚在等他
[00:02:18.000 --> 00:02:20.000]  他也流下淚了
[00:02:20.000 --> 00:02:23.000]  所以他就跟他妻子商量一下
[00:02:23.000 --> 00:02:24.000]  我們不能走
[00:02:24.000 --> 00:02:28.000]  所以就叫大家把行李再卸下來
[00:02:28.000 --> 00:02:29.000]  又到教會
[00:02:29.000 --> 00:02:32.000]  繼續在教會的同時
[00:02:32.000 --> 00:02:34.000]  直到他離開世界那一天
[00:02:34.000 --> 00:02:41.000]  什麼情況使他能夠把他們綁在一起
[00:02:41.000 --> 00:02:44.000]  就是因為有基督的愛在裡頭
[00:02:44.000 --> 00:02:48.000]  所以基督徒中間一個很寶貴的
[00:02:48.000 --> 00:02:53.000]  就是弟兄姊妹彼此相愛
[00:02:53.000 --> 00:02:55.000]  當你彼此相愛的時候
[00:02:55.000 --> 00:03:00.000]  你就看見基督 耶穌基督 神就在中間
[00:03:00.000 --> 00:03:04.000]  雖然我們不是同一個父母生的
[00:03:04.000 --> 00:03:08.000]  但是在主裡頭我們都是一個天父
[00:03:08.000 --> 00:03:11.000]  一位天父
[00:03:11.000 --> 00:03:12.000]  這樣的話
[00:03:12.000 --> 00:03:15.000]  愛把我們連接在一起
[00:03:15.000 --> 00:03:18.000]  所以有難處的時候彼此代表
[00:03:18.000 --> 00:03:20.000]  有榮耀的時候
[00:03:20.000 --> 00:03:22.000]  弟兄姊妹什麼好的地方
[00:03:22.000 --> 00:03:24.000]  我們一起一同的喜樂
[00:03:24.000 --> 00:03:26.000]  這是在世界上的人
[00:03:26.000 --> 00:03:28.000]  他享受不到的
[00:03:28.000 --> 00:03:30.000]  所以這個歷屆就說
[00:03:30.000 --> 00:03:33.000]  我們要彼此相愛
[00:03:33.000 --> 00:03:38.000]  希伯來書到了最後十三章最後一章
[00:03:38.000 --> 00:03:44.000]  就是要講到在基督徒生活上的實行
[00:03:44.000 --> 00:03:46.000]  因為在前面講到信心
[00:03:46.000 --> 00:03:48.000]  講到信心的榜樣
[00:03:48.000 --> 00:03:50.000]  講到信心的道路
[00:03:50.000 --> 00:03:53.000]  最後就要怎麼實行
[00:03:53.000 --> 00:03:55.000]  聖經常常這樣的
[00:03:55.000 --> 00:03:58.000]  有教訓 先有教訓
[00:03:58.000 --> 00:04:00.000]  然後有實行
[00:04:00.000 --> 00:04:02.000]  沒有教訓的實行的話
[00:04:02.000 --> 00:04:04.000]  是盲目的實行
[00:04:04.000 --> 00:04:05.000]  你沒有一個目標
