
[00:00:00.000 --> 00:00:04.800]  弟子們,接續著上三日,過去的三日
[00:00:04.800 --> 00:00:09.400]  《生命傳書教》網絡帶給大家的聖經人、聖經時人物與故事
[00:00:09.400 --> 00:00:12.600]  看背後的主耶穌上帝做些什麼
[00:00:12.600 --> 00:00:16.200]  今次講的字是「兄弟訴諾」
[00:00:16.200 --> 00:00:19.800]  你會不會見到兄弟兩個字是紅色呢?
[00:00:19.800 --> 00:00:21.600]  我主要講「兄弟」這個字
[00:00:21.600 --> 00:00:24.400]  還有呢,誰講「兄弟」這樣
[00:00:24.400 --> 00:00:27.600]  「兄弟」,他稱呼「訴諾」做「兄弟」
[00:00:27.600 --> 00:00:29.800]  那有沒有人叫你做「兄弟」?
[00:00:29.800 --> 00:00:33.600]  「兄弟」,說這些像不像這麼黑社會的
[00:00:33.600 --> 00:00:36.400]  或者是這麼士兵的
[00:00:36.400 --> 00:00:40.400]  「兄弟」,兄弟如手足
[00:00:40.400 --> 00:00:44.200]  我們各個兄弟,我們一起做一鋪東西
[00:00:44.200 --> 00:00:45.600]  「兄弟」
[00:00:45.600 --> 00:00:49.200]  其實「兄弟」,我們主流在教會叫「弟兄」
[00:00:49.200 --> 00:00:51.800]  各位弟兄姊妹
[00:00:51.800 --> 00:00:55.000]  「弟兄」是指男性,「姊妹」是指女性
[00:00:55.000 --> 00:00:56.200]  「弟兄」、「姊妹」
[00:00:56.200 --> 00:00:59.000]  但是講「兄」,各位弟兄,我們是兄弟
[00:00:59.000 --> 00:01:00.200]  這樣就不同了
[00:01:00.200 --> 00:01:07.400]  「兄弟」是指家裡的兄弟
[00:01:07.400 --> 00:01:09.600]  看看經文
[00:01:09.600 --> 00:01:12.600]  《斯坦傳》第九章第八節
[00:01:12.600 --> 00:01:15.600]  蘇羅從地上起來
[00:01:15.600 --> 00:01:19.000]  睜開眼睛,竟不能看見什麼
[00:01:19.000 --> 00:01:22.800]  有人就拉著他的手,領他進了大馬士革
