
[00:00:00.000 --> 00:00:04.020]  經文第一章第八節 主神說
[00:00:04.020 --> 00:00:08.700]  這是天父神說 我用了這個分別
[00:00:08.700 --> 00:00:10.700]  聖父 聖子 聖靈
[00:00:10.700 --> 00:00:13.600]  聖父是神 聖子是神 聖靈是神
[00:00:13.600 --> 00:00:16.200]  三位一體的神
[00:00:16.200 --> 00:00:18.800]  所以耶穌基督是神
[00:00:18.800 --> 00:00:20.400]  聖靈是神
[00:00:20.400 --> 00:00:22.200]  聖父當然是神
[00:00:22.200 --> 00:00:23.500]  不過只有一個神
[00:00:23.500 --> 00:00:28.500]  這就是我們信仰裏一個核心的教義
[00:00:28.500 --> 00:00:30.400]  定理是否異端呢
[00:00:30.400 --> 00:00:32.600]  其中就拿這個來做試驗就可以了
[00:00:32.600 --> 00:00:34.600]  所以摩門教不接受的
[00:00:34.600 --> 00:00:37.300]  這個耶和華見證人也不會接受的
[00:00:37.300 --> 00:00:39.400]  但是所有其他的基督教
[00:00:39.400 --> 00:00:41.400]  甚至天主教 東正教
[00:00:41.400 --> 00:00:43.900]  都是同樣的接受聖父 聖子 聖靈
[00:00:43.900 --> 00:00:45.500]  三位一體的神
[00:00:45.500 --> 00:00:47.700]  第一章第八節有什麼特別呢
[00:00:47.700 --> 00:00:52.000]  大家手裏要拿一個白色的副頁
[00:00:52.000 --> 00:00:55.500]  你們那張是A5紙底面印的
[00:00:55.500 --> 00:00:59.300]  你那張是小一點的 省一點紙
[00:00:59.300 --> 00:01:06.100]  我是長者 長者當然要A4紙底印大一點的字
[00:01:06.100 --> 00:01:08.700]  我這次和大家看這段經文
[00:01:08.700 --> 00:01:11.400]  我是由尾端倒過來看的
[00:01:11.400 --> 00:01:14.800]  大家有這個A5紙的副頁
[00:01:14.800 --> 00:01:17.600]  你看到最後那裏是不是有一個圖表
[00:01:17.600 --> 00:01:21.700]  看到那個圖表嗎
[00:01:21.700 --> 00:01:26.400]  我想和大家看看第一章第八節這段經文
[00:01:26.400 --> 00:01:30.900]  主神說 我是阿拉伯 我是俄媒
[00:01:30.900 --> 00:01:33.800]  有人讀俄媒+ 有人讀俄媒+
[00:01:33.800 --> 00:01:38.200]  我也不知道 坦白說我沒有研究過怎樣讀這個字
[00:01:38.200 --> 00:01:41.500]  或者遲些永利可以幫我找找也說不定
[00:01:41.500 --> 00:01:43.100]  這個其實是Omega
[00:01:43.100 --> 00:01:46.700]  Alpha and Omega是希臘文的第一個字母
[00:01:46.700 --> 00:01:47.700]  和最後一個字母
[00:01:47.700 --> 00:01:51.900]  我是Alpha 我是Omega 就是我由頭到尾
[00:01:51.900 --> 00:01:56.400]  然後神就說我是今在 昔在 以後永在
[00:01:56.400 --> 00:02:00.500]  今在 現在在 昔在 以前在 以後永在
[00:02:00.500 --> 00:02:01.900]  不就是由頭到尾
[00:02:01.900 --> 00:02:06.300]  如果以時間來說 神是由頭到尾都在的
[00:02:06.300 --> 00:02:09.300]  以前在 現在在 將來都在
[00:02:09.300 --> 00:02:13.300]  當然如果是神的時候 祂一定是永恆在的
[00:02:13.300 --> 00:02:16.600]  如果祂有一個開始的時候 祂不是神
[00:02:16.600 --> 00:02:19.800]  因為神是從永遠到永遠的
[00:02:19.800 --> 00:02:24.100]  所以這裡是用來形容了這位天賦神
[00:02:24.100 --> 00:02:30.800]  我是Alpha 我是Omega 我是今在 昔在 以後永在的全能者
[00:02:30.800 --> 00:02:33.100]  他再加多一個全能者進去
[00:02:33.100 --> 00:02:37.000]  全能者簡單說 當然是說能力
[00:02:37.000 --> 00:02:40.000]  但是在聖經裡面說到全能者的時候
[00:02:40.000 --> 00:02:41.900]  其實它的重點是說什麼
[00:02:41.900 --> 00:02:43.900]  祂是統管萬有的
[00:02:43.900 --> 00:02:46.100]  如果祂沒有這樣的能力
[00:02:46.100 --> 00:02:47.900]  祂怎麼去統管萬有呢
[00:02:47.900 --> 00:02:50.200]  所以重點當然是指神的能力
[00:02:50.200 --> 00:02:54.700]  但是重點就是說祂是統管萬有者
[00:02:54.700 --> 00:02:57.900]  那麼這次經文有什麼難呢 有什麼特別呢
[00:02:57.900 --> 00:03:00.300]  其實如果我們就這樣看沒有什麼難度的
[00:03:00.300 --> 00:03:02.700]  但是特別的地方就是要看
[00:03:02.700 --> 00:03:08.200]  我給大家看那個白色的A5紙的副頁
[00:03:08.200 --> 00:03:12.000]  在最後的段落裡面 A5紙最後的段落
[00:03:12.000 --> 00:03:14.300]  大家會看到有一個表的
[00:03:14.300 --> 00:03:16.100]  那麼我們看看這個表的時候
[00:03:16.100 --> 00:03:19.800]  你會看到就是經文一章第八節
[00:03:19.800 --> 00:03:22.600]  看到嗎 列了進去一章第八節
[00:03:22.600 --> 00:03:25.200]  那麼說話者是誰 就是神自己
[00:03:25.200 --> 00:03:26.800]  是說到關於神
[00:03:26.800 --> 00:03:31.400]  那麼那裡就形容了祂是Alpha和Omega
[00:03:31.400 --> 00:03:33.300]  原來我們有這個表
[00:03:33.300 --> 00:03:39.200]  因為這次我忘記了請幹事放這個表進去
[00:03:39.200 --> 00:03:41.400]  他們放了進去 這樣挺好的
[00:03:41.400 --> 00:03:43.900]  沒有叫他做 他都做了給我 非常好
[00:03:43.900 --> 00:03:46.600]  所以第一章的第八節就是說到神
[00:03:46.600 --> 00:03:49.400]  就是形容祂是Alpha和Omega
[00:03:49.400 --> 00:03:52.400]  當然是釋在今在 以後永在那個沒有放出來
[00:03:52.400 --> 00:03:54.800]  但是你看到這個第一章的第十七節
