
[00:00:00.000 --> 00:00:05.180]  今天是母親節,所以今天講的訊息一定是跟母親有關的
[00:00:05.180 --> 00:00:07.840]  當然不會只是跟母親有關
[00:00:07.840 --> 00:00:10.240]  做爸爸的都應該要去聽的
[00:00:10.240 --> 00:00:14.720]  但不得不承認母親的辛勞是大很多
[00:00:14.720 --> 00:00:18.560]  但不知為何這個世代真的有很多逆轉
[00:00:18.560 --> 00:00:21.920]  我第一次聽到,在今年裏面有些人說
[00:00:21.920 --> 00:00:25.560]  我問一個年青人,你怎樣跟你媽媽慶祝母親節呢?
[00:00:25.560 --> 00:00:26.960]  甚麼?
[00:00:26.960 --> 00:00:28.960]  為何要我跟媽媽慶祝母親節呢?
[00:00:28.960 --> 00:00:31.320]  應該是媽媽跟我慶祝母親節
[00:00:31.320 --> 00:00:34.120]  應該是媽媽請我喝茶,媽媽多謝我
[00:00:34.120 --> 00:00:36.840]  我們講甚麼?我們聽不明白嗎?
[00:00:36.840 --> 00:00:40.400]  如果沒有我,她就不是母親
[00:00:40.400 --> 00:00:45.600]  所以母親節她可以慶祝,是因為有我的存在
[00:00:45.600 --> 00:00:48.080]  所以問題不是我去跟她慶祝
[00:00:48.080 --> 00:00:50.960]  而是她來多謝我,你知不知道這是甚麼世界?
[00:00:50.960 --> 00:00:54.600]  即是沒有天莊,這些是上一代罵的那些人
[00:00:54.600 --> 00:00:57.520]  沒有天莊就說你不孝,不知怎麼搞的
[00:00:57.520 --> 00:01:02.040]  但不得不承認,原來有時這個世代的人已經逆轉了
[00:01:02.040 --> 00:01:04.520]  不懂得如何孝順父母
[00:01:04.520 --> 00:01:08.240]  我們不得不承認做父母,其實他們很辛苦,特別是做母親
[00:01:08.240 --> 00:01:11.960]  不單單懷孕的時候是很辛苦
[00:01:11.960 --> 00:01:15.160]  還要綿乾碎濕來照顧他們
[00:01:15.160 --> 00:01:17.800]  我們又要承認一件事,就是怎樣呢?
[00:01:17.800 --> 00:01:20.320]  我們是重視母親多於重視父親
