
[00:00:00.000 --> 00:00:02.720]  我今天的題目是「職場理我他」
[00:00:02.720 --> 00:00:05.320]  講到職場可能在座有些弟兄姊妹說
[00:00:05.320 --> 00:00:07.440]  「我已經退休了」
[00:00:07.440 --> 00:00:10.640]  或者「我一直都是家庭主婦」
[00:00:10.640 --> 00:00:13.680]  又或者有些可能是在學的
[00:00:13.680 --> 00:00:16.640]  但其實我們在神的面前
[00:00:16.640 --> 00:00:18.640]  我們都有不同的職份
[00:00:18.640 --> 00:00:21.840]  今天的教導其實對我們都是合適的
[00:00:21.840 --> 00:00:23.200]  又或者你聽了
[00:00:23.200 --> 00:00:28.760]  可以和你那些仍然在職場掙扎的朋友分享一下
[00:00:28.760 --> 00:00:30.680]  今天的訊息也可以
[00:00:30.680 --> 00:00:35.320]  講到職場,大家不知道有沒有遇過
[00:00:35.320 --> 00:00:39.400]  或者你見過有職場欺凌的事?
[00:00:39.400 --> 00:00:41.400]  有沒有?你們有沒有欺凌過人?
[00:00:41.400 --> 00:00:44.400]  沒有?或者你被欺凌?
[00:00:44.400 --> 00:00:48.360]  原來美國有一個叫做「職場欺凌協會」
[00:00:48.360 --> 00:00:50.120]  你們有沒有加入?
[00:00:50.120 --> 00:00:53.680]  這個「Workplace Bullying Institute」
[00:00:53.680 --> 00:00:56.840]  這個協會其實如果你上去它的網站
[00:00:56.840 --> 00:00:58.120]  是有很多東西可以看到的
[00:00:58.120 --> 00:01:02.600]  有些的調查都很新的,直到2021年
[00:01:02.600 --> 00:01:05.160]  我看到有些資料
[00:01:05.160 --> 00:01:10.120]  原來美國有30%的美國人
[00:01:10.120 --> 00:01:13.400]  是有被欺凌的,在職場那裡
[00:01:13.400 --> 00:01:16.040]  大家知不知道
[00:01:16.040 --> 00:01:18.560]  你覺得在職場裡面
[00:01:18.560 --> 00:01:23.400]  男性被欺凌多還是女性被欺凌多?
[00:01:23.400 --> 00:01:25.440]  女的,有些是男的
[00:01:25.440 --> 00:01:29.400]  其實差不多,比例是男性多一點
[00:01:29.400 --> 00:01:31.360]  男性被欺凌的多一點
[00:01:31.360 --> 00:01:34.760]  男性上司欺凌人的也多一點
[00:01:34.760 --> 00:01:38.480]  還有一個數字挺有趣的
[00:01:38.480 --> 00:01:42.320]  被同性的上司欺凌是多的
[00:01:42.320 --> 00:01:44.800]  男人喜歡欺凌男人
[00:01:44.800 --> 00:01:46.480]  女人又喜歡欺凌女人
[00:01:46.480 --> 00:01:51.200]  可能是同性相斥的
[00:01:51.200 --> 00:01:53.960]  根據這個機構的定義
[00:01:53.960 --> 00:01:57.760]  職場欺凌,怎樣才算是職場欺凌呢?
[00:01:57.760 --> 00:01:59.720]  就是指在職場裡面有一個
[00:01:59.720 --> 00:02:04.720]  或者多過一個人對人進行重複的
[00:02:04.720 --> 00:02:07.560]  有害健康的虐待
[00:02:07.560 --> 00:02:09.880]  包括言語、行為上
[00:02:09.880 --> 00:02:13.720]  令人感到恐嚇、威逼、羞辱
[00:02:13.720 --> 00:02:19.080]  或者蓄意破壞、阻止人完成工作等等
[00:02:19.080 --> 00:02:22.120]  即是阻礙他人前進
[00:02:22.120 --> 00:02:24.000]  具體情況是怎樣呢?
[00:02:24.000 --> 00:02:26.480]  我又在網上找到另一篇文章
[00:02:26.480 --> 00:02:28.760]  那篇文章列出了17項
[00:02:28.760 --> 00:02:31.800]  我就將它撤要
[00:02:31.800 --> 00:02:34.240]  變成10項具體
[00:02:34.240 --> 00:02:35.760]  我不是叫你們學的
[00:02:35.760 --> 00:02:37.320]  只是讓你們參考一下
[00:02:37.320 --> 00:02:39.360]  看看怎樣才算是欺凌
[00:02:39.360 --> 00:02:45.120]  第一就是不斷對被欺凌者吹毛求疵
[00:02:45.120 --> 00:02:48.400]  把小錯放大扭曲
[00:02:48.400 --> 00:02:50.440]  即是把他挫死
[00:02:50.440 --> 00:02:54.760]  即是把小小的錯處放大
[00:02:54.760 --> 00:02:58.400]  批評或者否定他的貢獻或者努力
[00:02:58.400 --> 00:03:00.120]  否定他的存在價值
[00:03:00.120 --> 00:03:02.880]  即是當他沒有了
[00:03:02.880 --> 00:03:06.120]  鼓勵同時孤立被欺凌者
[00:03:06.120 --> 00:03:10.240]  將之邊緣化、忽視、打壓、排擠、冷凍
[00:03:10.240 --> 00:03:11.520]  即是雪藏他
[00:03:11.520 --> 00:03:13.000]  去吃飯、去吃午飯
[00:03:13.000 --> 00:03:14.920]  又不叫他一起
[00:03:14.920 --> 00:03:19.120]  出去玩又不侵他玩
[00:03:19.120 --> 00:03:26.280]  私下或者在眾人的面前輕視、貶抑、咆哮、羞辱
[00:03:26.280 --> 00:03:30.920]  或者是威脅被欺凌者
[00:03:30.920 --> 00:03:33.640]  第五就是給他過重的工作
[00:03:33.640 --> 00:03:36.160]  或者是要他做一些無聊的瑣事
[00:03:36.160 --> 00:03:38.960]  甚至完全不准他做的事
[00:03:38.960 --> 00:03:42.000]  多事做是辛苦的
[00:03:42.000 --> 00:03:43.600]  但你們有沒有試過
[00:03:43.600 --> 00:03:44.520]  不准你做的事
[00:03:44.520 --> 00:03:46.360]  那份工作是沒有事做的
[00:03:46.360 --> 00:03:49.200]  即是每天左手打右手
[00:03:49.200 --> 00:03:51.040]  數完手指數腳趾
[00:03:51.040 --> 00:03:53.960]  其實是更辛苦的
[00:03:53.960 --> 00:03:57.120]  第六就是讓被欺凌者的責任增加
[00:03:57.120 --> 00:03:59.280]  但就降低他的權力地位
[00:03:59.280 --> 00:04:00.960]  即是有事可以做
[00:04:00.960 --> 00:04:03.000]  財就不能拿
[00:04:03.000 --> 00:04:06.160]  即是拍照拿獎那些就沒有了
[00:04:06.160 --> 00:04:08.600]  第七就是不准請假
[00:04:08.600 --> 00:04:10.720]  這簡直是酷刑
[00:04:10.720 --> 00:04:12.560]  不准接受必要的訓練
[00:04:12.560 --> 00:04:17.240]  導致工作業績不佳
[00:04:17.240 --> 00:04:19.240]  第八就是縮短交檢期
[00:04:19.240 --> 00:04:23.360]  即是提早的日期提前
[00:04:23.360 --> 00:04:24.840]  還不告訴他
[00:04:24.840 --> 00:04:26.560]  故意不通知他的時限
[00:04:26.560 --> 00:04:29.320]  害其誤事而受處分
[00:04:29.320 --> 00:04:31.920]  第九就是將被欺凌者所說的做的
[00:04:31.920 --> 00:04:34.120]  加以扭曲和誤解
[00:04:34.120 --> 00:04:35.680]  即是誣陷他
[00:04:35.680 --> 00:04:36.320]  無理
[00:04:36.320 --> 00:04:37.640]  甚至是未加調查
[00:04:37.640 --> 00:04:40.160]  施以沉重的處分
[00:04:40.160 --> 00:04:42.120]  即是莫須有
[00:04:42.120 --> 00:04:44.120]  有沒有遇過這些情況
[00:04:44.120 --> 00:04:45.360]  有沒有見過
[00:04:45.360 --> 00:04:48.560]  我相信普遍或多或少都會有
[00:04:48.560 --> 00:04:51.680]  但就會因應程度的嚴重性
[00:04:51.680 --> 00:04:53.600]  頻密性持久性
[00:04:53.600 --> 00:04:56.800]  就有不同的影響
[00:04:56.800 --> 00:05:00.560]  我就想我們除了檢視一下
[00:05:00.560 --> 00:05:03.320]  我們有沒有受到這些形式的欺凌之外
[00:05:03.320 --> 00:05:07.000]  也都檢視一下我們自己有沒有這樣對待人
[00:05:07.000 --> 00:05:09.160]  或者在職場上面
[00:05:09.160 --> 00:05:11.280]  我們應該有怎樣的操守呢
[00:05:11.280 --> 00:05:14.880]  其實這段聖經是可以教導到我們
[00:05:14.880 --> 00:05:16.680]  幫助到我們
[00:05:16.680 --> 00:05:18.000]  以忽所書
[00:05:18.000 --> 00:05:21.600]  我們這下半年一直都在講以忽所書
[00:05:21.600 --> 00:05:25.720]  以忽所書的頭三章其實都是一些教義
[00:05:25.720 --> 00:05:28.600]  由第四章開始到第六章尾
[00:05:28.600 --> 00:05:33.680]  就是講怎樣將教義應用在生活上
[00:05:33.680 --> 00:05:36.720]  來到第五章二十一節
[00:05:36.720 --> 00:05:39.280]  到六章九節這一段
[00:05:39.280 --> 00:05:43.400]  就講到怎樣將教義實踐在人際關係裏面
[00:05:43.400 --> 00:05:45.440]  當中提到有三種關係
[00:05:45.440 --> 00:05:47.920]  一種是夫妻的關係
[00:05:47.920 --> 00:05:50.320]  第二種是父母和子女的關係
[00:05:50.320 --> 00:05:53.840]  也是上次Wilson傳道跟我們講的
[00:05:53.840 --> 00:05:55.640]  今天是講主僕關係
[00:05:55.640 --> 00:05:57.600]  這個主僕關係
[00:05:57.600 --> 00:06:01.520]  正正可以應用在我們今天的職場上面
[00:06:01.520 --> 00:06:03.680]  我們怎樣跟上司下屬相處
[00:06:03.680 --> 00:06:06.760]  怎樣跟同事相處
[00:06:06.760 --> 00:06:11.040]  在講教導之前
[00:06:11.040 --> 00:06:14.840]  我們都要先了解一下經文當時的背景
[00:06:14.840 --> 00:06:20.640]  這樣我們就能夠更正確地理解聖經的教導
[00:06:20.640 --> 00:06:23.920]  新約時代的以色列其實是一個殖民地
[00:06:23.920 --> 00:06:25.840]  是誰的殖民地
[00:06:25.840 --> 00:06:27.840]  羅馬帝國的殖民地
[00:06:27.840 --> 00:06:30.920]  羅馬人是非常重視權力
[00:06:30.920 --> 00:06:34.480]  他們的階級觀念亦是相當重的
[00:06:34.480 --> 00:06:39.120]  羅馬人是用三種身份來界定一個人的地位
[00:06:39.120 --> 00:06:42.040]  第一種身份就是你是否一個公民
[00:06:42.040 --> 00:06:43.920]  你是否羅馬籍的公民
[00:06:43.920 --> 00:06:45.480]  還是你不是公民
[00:06:45.480 --> 00:06:48.360]  如果你是羅馬人或羅馬國的人
[00:06:48.360 --> 00:06:51.360]  你自然有國籍
[00:06:51.360 --> 00:06:52.440]  如果你不是的話
[00:06:52.440 --> 00:06:56.040]  其實都可以有其他的方法來入籍
[00:06:56.040 --> 00:06:58.720]  其中一個方法就是有公職
[00:06:58.720 --> 00:07:00.360]  例如打仗
[00:07:00.360 --> 00:07:02.200]  有公分
[00:07:02.200 --> 00:07:06.920]  你就可以得以入籍成為羅馬的公民
[00:07:06.920 --> 00:07:11.280]  或者大家是否記得在《仕途行傳》第22章
[00:07:11.280 --> 00:07:13.280]  保羅接受審訊
[00:07:13.280 --> 00:07:15.200]  審他的官員說
[00:07:15.200 --> 00:07:17.520]  「你為何是羅馬公民」
[00:07:17.520 --> 00:07:21.760]  保羅說「我生來就是羅馬的公民」
[00:07:21.760 --> 00:07:24.600]  即是他父母是羅馬籍的
[00:07:24.600 --> 00:07:26.400]  父母早已入籍
[00:07:26.400 --> 00:07:29.480]  所以他生來是羅馬籍的
[00:07:29.480 --> 00:07:35.840]  還有那個官員說「我花了很多錢才買到羅馬籍回來」
[00:07:35.840 --> 00:07:38.320]  原來可以花錢的
[00:07:38.320 --> 00:07:43.760]  當時是用黑錢來買回來的
[00:07:43.760 --> 00:07:46.160]  這就是公民和非公民
[00:07:46.160 --> 00:07:52.000]  我們看到原來有羅馬的公民籍都是重要的
[00:07:52.000 --> 00:07:55.040]  對一個人的地位都有所提升
[00:07:55.040 --> 00:07:57.240]  第二就是你在家中的地位
[00:07:57.240 --> 00:08:01.240]  你是家中的主、一家之主、一個家族之主
[00:08:01.240 --> 00:08:03.400]  還是你是家中的成員
[00:08:03.400 --> 00:08:08.360]  其實在我們今天說的經文之前的兩段
[00:08:08.360 --> 00:08:09.800]  其實就是處理這個問題
[00:08:09.800 --> 00:08:13.000]  即是夫妻的關係和父母子女的關係
[00:08:13.000 --> 00:08:17.880]  正正是與家族中的地位有關
[00:08:17.880 --> 00:08:24.880]  當時其實是一個父權的社會
[00:08:24.880 --> 00:08:29.480]  家族中的一家之主自然是男人
[00:08:29.480 --> 00:08:33.040]  他們是有無上權威的
[00:08:33.040 --> 00:08:40.480]  第三個身分就是你是自由人還是奴隸
[00:08:40.480 --> 00:08:45.880]  奴隸其實在當時的社會是相當普遍
[00:08:45.880 --> 00:08:49.640]  奴隸制度可以說是他們生活的一部份
[00:08:49.640 --> 00:08:55.920]  據一些學者研究在當時的希臘和羅馬
[00:08:55.920 --> 00:08:59.960]  有三分一的人口是奴隸
[00:08:59.960 --> 00:09:04.160]  即是說每三個人裡面有一個是奴隸
