
[00:00:00.000 --> 00:00:01.920]  讓我一起來讀一段神的話語
[00:00:01.920 --> 00:00:06.120]  是在提摩太后書二章一到二節
[00:00:06.120 --> 00:00:07.720]  我們可以一起來唸 來
[00:00:07.720 --> 00:00:08.640]  我兒啊
[00:00:08.640 --> 00:00:12.720]  你要在基督耶穌的恩典上剛搶起來
[00:00:12.720 --> 00:00:16.560]  你在許多見證人面前聽見我所教訓的
[00:00:16.560 --> 00:00:21.520]  也要交託那忠心能教導別人的人
[00:00:21.520 --> 00:00:22.680]  今天暑假兩個半月
[00:00:22.680 --> 00:00:24.440]  我飛了17趟的飛機
[00:00:24.440 --> 00:00:26.480]  再加上三個road trip
[00:00:26.480 --> 00:00:28.120]  總共20趟旅程
[00:00:28.120 --> 00:00:31.280]  很感恩有機會到了四個揚州
[00:00:31.280 --> 00:00:33.280]  八個國家
[00:00:33.280 --> 00:00:36.200]  在這不同文化語言地區的團體當中
[00:00:36.200 --> 00:00:38.240]  我竟然不約而同的
[00:00:38.240 --> 00:00:42.240]  聽見了相同的關鍵字重複的出現
[00:00:42.240 --> 00:00:47.400]  就是傳承以及興起年輕人的復興運動
[00:00:47.400 --> 00:00:51.360]  因此我覺得的確這是神在後疫情時代
[00:00:51.360 --> 00:00:54.960]  所要做的重點項目之一
[00:00:54.960 --> 00:00:58.840]  我非常認同貝南生命和聯陽堂主任牧師
[00:00:58.840 --> 00:01:02.320]  Pastor Corneli在八月中
[00:01:02.320 --> 00:01:07.040]  也就是兩週前在非洲青年特會時所說的話
[00:01:07.040 --> 00:01:09.040]  他說With young people
[00:01:09.040 --> 00:01:12.000]  Church has a future
[00:01:12.000 --> 00:01:14.720]  But if we don't work on the youth today
[00:01:14.720 --> 00:01:18.000]  The church will miss tomorrow
[00:01:18.000 --> 00:01:20.640]  有年輕人教會就有未來
[00:01:20.640 --> 00:01:22.680]  但如果我們今天不著重青年
[00:01:22.680 --> 00:01:25.920]  教會將錯過明天
[00:01:25.920 --> 00:01:30.200]  所以今天我想在這樣的一個逐日的機會
[00:01:30.200 --> 00:01:32.240]  願意透過巴拿巴
