
[00:00:00.000 --> 00:00:04.120]  這個是最後一個題目
[00:00:04.120 --> 00:00:07.340]  主要我想和大家思想
[00:00:07.340 --> 00:00:12.040]  耶穌基督和教會之間的關係
[00:00:12.040 --> 00:00:15.420]  有時候 聖經提到教會的時候
[00:00:15.420 --> 00:00:20.360]  它是指一個地方的信徒組成的教會
[00:00:20.360 --> 00:00:22.400]  信徒彼此認識
[00:00:22.400 --> 00:00:24.000]  在一起
[00:00:24.000 --> 00:00:28.360]  譬如說 當保羅寫信給哥倫多教會
[00:00:28.360 --> 00:00:30.280]  寫給羅馬教會的時候
[00:00:30.280 --> 00:00:34.000]  他就是寫信給一個地方的信徒群體
[00:00:34.000 --> 00:00:38.240]  他們不是每個星期或每晚都在同一個地方聚會
[00:00:38.240 --> 00:00:41.880]  但是他們很可能都是互相認識的
[00:00:41.880 --> 00:00:46.240]  有時候在聖經裡面說到教會這個字的時候
[00:00:46.240 --> 00:00:48.360]  就不只是指一個地方教會
[00:00:48.360 --> 00:00:50.480]  是指普世的教會
[00:00:50.480 --> 00:00:52.020]  什麼是一個普世教會
[00:00:52.020 --> 00:00:53.760]  Universal Church
[00:00:53.760 --> 00:00:58.440]  就是一個無形的 跨越時間 空間 語言
[00:00:58.440 --> 00:01:01.640]  和不同的傳統的一個屬靈身體
[00:01:01.640 --> 00:01:05.240]  雖然這個屬靈的身體是無形的 是看不到的
[00:01:05.240 --> 00:01:07.520]  但是它和看得見的
[00:01:07.520 --> 00:01:11.000]  像我們今天這樣一個地方教會是同樣真實的
[00:01:11.000 --> 00:01:13.160]  是一個屬靈的存在
[00:01:13.160 --> 00:01:15.000]  在我們的傳統裡面
[00:01:15.000 --> 00:01:16.680]  方派 尤其是真信會
[00:01:16.680 --> 00:01:19.800]  我們很強調這個獨立教會的傳統
[00:01:19.800 --> 00:01:23.200]  傾向多說一些關於地方教會聚會
[00:01:23.200 --> 00:01:24.760]  地方教會的事情
[00:01:24.760 --> 00:01:26.480]  但是我們要記住
[00:01:26.480 --> 00:01:30.280]  當我們思想教會和基督的關係的時候
[00:01:30.280 --> 00:01:32.160]  無論是地方教會
[00:01:32.160 --> 00:01:33.680]  或者是普世
[00:01:33.680 --> 00:01:36.640]  看不到的這個屬靈的身體
[00:01:36.640 --> 00:01:39.640]  都在基督的領導之下
[00:01:39.640 --> 00:01:40.480]  所以當我們讀到
[00:01:40.480 --> 00:01:42.360]  好像今天我和大家準備研究
[00:01:42.360 --> 00:01:44.600]  《經文彼得前書》第二章
[00:01:44.600 --> 00:01:46.840]  第四節 十一節的時候
[00:01:46.840 --> 00:01:51.760]  當我們看到基督和教會之間的關係的時候
[00:01:51.760 --> 00:01:54.520]  我們要有一個認知就是
[00:01:54.520 --> 00:01:59.880]  雖然彼得的確是寫信給散居在今天的土耳其
[00:01:59.880 --> 00:02:03.360]  就是那時候叫做小亞細亞的一班的基督徒
[00:02:03.360 --> 00:02:05.720]  不同的基督徒
[00:02:05.720 --> 00:02:08.760]  但是他也都意識到
[00:02:08.760 --> 00:02:10.400]  當他寫這封信的時候
[00:02:10.400 --> 00:02:12.480]  這封信 看到這封信的可能
[00:02:12.480 --> 00:02:16.760]  有機會是不止這一班最初收信的人
[00:02:16.760 --> 00:02:21.360]  而是寫信給普世教會的成員
[00:02:21.360 --> 00:02:23.040]  彼得其實可能是知道
[00:02:23.040 --> 00:02:27.360]  他是直接跟你和我這樣說話
[00:02:27.360 --> 00:02:29.360]  所以當我們看這些信的時候
[00:02:29.360 --> 00:02:31.640]  我們就不是好像只在旁邊
[00:02:31.640 --> 00:02:34.920]  聽作者和讀者之間的對話
[00:02:34.920 --> 00:02:39.880]  我們可以想像作者彼得是非常有意識的
[00:02:39.880 --> 00:02:44.040]  是要將這班話跟我們每一個人說的
[00:02:44.040 --> 00:02:45.000]  彼得講什麼呢
[00:02:45.000 --> 00:02:49.240]  《彼得前書》第二章裡面第四 第六節
[00:02:49.240 --> 00:02:52.720]  他說:你們來到那活石面前
[00:02:52.720 --> 00:02:54.200]  基督是活石
[00:02:54.200 --> 00:02:56.040]  它雖然被人棄絕
[00:02:56.040 --> 00:02:58.880]  卻是神所揀選所珍貴的
