
[00:00:00.000 --> 00:00:06.300]  上禮拜三,在台北參加了我的岳母梅媽媽的追思禮拜。
[00:00:06.300 --> 00:00:11.900]  感謝主雖然我們的心中因為她的離去而感傷,
[00:00:11.900 --> 00:00:18.600]  但我們真的看見她的一生已經在神的手中成為那榮美的見證。
[00:00:18.600 --> 00:00:23.800]  回想她的生命,其實有一件事情是蠻有意思的,
[00:00:23.800 --> 00:00:28.300]  也看見神在我們的家庭當中的工作。
[00:00:28.300 --> 00:00:33.500]  那就是有一次當我在翻我小時候的照片的時候,
[00:00:33.500 --> 00:00:42.200]  很偶然的發現我跟我岳母竟然是同一天在台北琳瑯堂受洗的。
[00:00:42.200 --> 00:00:47.300]  當然那時候我才十二歲,那個時候我也不認識她,
[00:00:47.300 --> 00:00:52.700]  也不知道有一天她竟然會成為我的岳母。
[00:00:52.700 --> 00:00:58.700]  好像在神的命令當中,神就早已經把我們連結在一起。
[00:00:58.700 --> 00:01:01.200]  雖然是同一天受洗,
[00:01:01.200 --> 00:01:08.300]  但這些年我真的看見她對主的追求跟認識是遠遠超過於我的。
[00:01:08.300 --> 00:01:14.200]  在侍奉的每一個方面,我都看見她是我的好榜樣。
[00:01:14.200 --> 00:01:16.300]  雖然她沒有讀過神學,
[00:01:16.300 --> 00:01:22.700]  但她卻是一位能講道、能教導、能牧養、能輔導協談、
[00:01:22.700 --> 00:01:28.700]  能帶聖靈充滿、能做醫治四方、能夠宣教、能夠執堂、
[00:01:28.700 --> 00:01:34.600]  又能做行政管理,再加上能做一手好菜的好牧師。
[00:01:34.600 --> 00:01:40.400]  隨便一數就十項全能。
[00:01:40.400 --> 00:01:48.000]  這些年我在她身上真的看見什麼叫做溫柔跟能力的一個平衡,
[00:01:48.000 --> 00:01:52.500]  智慧跟勇敢的一個平衡,
[00:01:52.500 --> 00:01:57.700]  一個慈愛跟法規的一個平衡。
[00:01:57.700 --> 00:02:03.800]  你知道每一次我看到她,我心中常想一個問題,
[00:02:03.800 --> 00:02:09.600]  就是她到底是怎麼做到的?
[00:02:09.600 --> 00:02:15.500]  這些年她所遇到的環境並不見得都是很容易的環境,
[00:02:15.500 --> 00:02:22.700]  特別是我的岳父是在很晚的時候才信主受洗的。
[00:02:22.700 --> 00:02:25.800]  想想看一個全職的傳道人,
[00:02:25.800 --> 00:02:29.500]  你的另一半還不是基督徒,
[00:02:29.500 --> 00:02:34.500]  那一種的壓力跟挑戰有多大?
[00:02:34.500 --> 00:02:37.600]  他的秘訣在哪裡呢?
[00:02:37.600 --> 00:02:42.200]  這些年我跟她相處,我得到一個結論,
[00:02:42.200 --> 00:02:49.300]  那個結論就是神是她心中永遠的依靠,
[00:02:49.300 --> 00:02:52.500]  神是她心中永遠的依靠。
[00:02:52.500 --> 00:02:57.900]  無論在任何的環境當中,她的心總是緊緊的依靠神,
[00:02:57.900 --> 00:03:05.500]  神就在她一生當中成為她的智慧、力量以及幫助。
[00:03:05.500 --> 00:03:11.200]  就覺得今天當你在面對人生各樣的衝擊跟困境的時候,
[00:03:11.200 --> 00:03:14.900]  你的心中有所依靠嗎?
[00:03:14.900 --> 00:03:20.300]  你可知道神是你一生永遠的依靠嗎?
[00:03:20.300 --> 00:03:25.600]  你說牧師我怎麼樣才能夠經歷神是我的依靠呢?
[00:03:25.600 --> 00:03:28.900]  今天早上跟大家分享三方面,
[00:03:28.900 --> 00:03:35.600]  怎麼樣能夠經歷神是你生命當中永遠的依靠。
[00:03:35.600 --> 00:03:40.000]  第一方面,你一定要確信父神的信實,
[00:03:40.000 --> 00:03:44.700]  跟你旁邊說確信父神的信實。
