
[00:00:00.000 --> 00:00:03.560]  帶領姊妹平安,讓我們先一同同心禱告
[00:00:03.560 --> 00:00:11.780]  天父上帝,多謝祢赤下祢自己寶貴的話語
[00:00:11.780 --> 00:00:14.780]  向我們啟示祢自己,讓我們可以認識祢
[00:00:14.780 --> 00:00:18.840]  祢都將我們每一個都交託仰望祢
[00:00:18.840 --> 00:00:23.280]  願祢幫助我們被祢自己的話語去建立
[00:00:23.280 --> 00:00:26.960]  讓我們生命被造就得幫助
[00:00:27.320 --> 00:00:32.540]  讓祢自己的話語去提醒,亦都教導我們活出祢自己的道
[00:00:32.540 --> 00:00:37.500]  我們的同心禱告,奉耶穌基督的名求,阿們
[00:00:37.500 --> 00:00:44.040]  帶領姊妹,不知道你們會不會都看新聞那些
[00:00:44.040 --> 00:00:48.720]  其實我看新聞的時候,我自己心底裏面都有很多感受
[00:00:48.720 --> 00:00:54.720]  覺得很多好像很無能為力的事在發生
[00:00:56.660 --> 00:01:00.660]  今天我們會繼續說《路加福音》的講道系列
[00:01:00.660 --> 00:01:07.420]  上一次K傳道就和我們宣講了《路加福音》22章39至46節的經文
[00:01:07.420 --> 00:01:10.740]  說到主耶穌和門徒去到下西瑪利園那裏
[00:01:10.740 --> 00:01:13.820]  耶穌很狠切地去禱告
[00:01:13.820 --> 00:01:17.860]  但門徒因為憂愁和困忽都睡著了
[00:01:17.860 --> 00:01:24.240]  主耶穌就提醒門徒要精醒,起來禱告,免得入了試探
[00:01:25.480 --> 00:01:30.120]  而就在主耶穌和門徒這番對話的時間
[00:01:30.120 --> 00:01:33.340]  但我們進入了下一個場景
[00:01:33.340 --> 00:01:38.560]  就是主耶穌被一大幫人圍著,要捉拿祂
[00:01:38.560 --> 00:01:42.280]  主耶穌他自己形容這個行動
[00:01:42.280 --> 00:01:44.520]  經文53節
[00:01:44.520 --> 00:01:49.480]  現在是你們的時候,是黑暗掌管的時候
[00:01:49.480 --> 00:01:54.400]  現在是當時這幫捉拿主耶穌的權貴
[00:01:54.640 --> 00:01:57.760]  當時猶太人的宗教領袖的時候
[00:01:57.760 --> 00:02:00.080]  黑暗掌權了
[00:02:00.080 --> 00:02:06.080]  當大家看的時候,會不會和我一樣都有疑問
[00:02:06.080 --> 00:02:10.760]  疑問是,現在是你們的時候,究竟說的是什麼呢
[00:02:10.760 --> 00:02:13.760]  黑暗掌權又是怎麼一回事
[00:02:13.760 --> 00:02:19.760]  《路加福音》的作者,將這兩句說話放在一起
[00:02:20.200 --> 00:02:26.320]  就是要指出,當時猶太的領袖,這是他們的時候
[00:02:26.320 --> 00:02:31.840]  而當他們一起去參與這個行動的時候
[00:02:31.840 --> 00:02:37.560]  他們成為了撒旦對抗耶穌的工具
[00:02:37.560 --> 00:02:41.360]  成為了黑暗權勢的工具
[00:02:41.360 --> 00:02:46.680]  其實由《路加福音》22章的開始
[00:02:46.680 --> 00:02:50.440]  已經講到撒旦在猶太心中的工作
[00:02:50.440 --> 00:02:53.040]  而來到今天的經文
[00:02:53.040 --> 00:02:56.800]  作者路加更加清楚地說
[00:02:56.800 --> 00:02:58.680]  現在就是黑暗的日子
[00:02:58.680 --> 00:03:01.840]  就是撒旦迷惑人的時候
[00:03:01.840 --> 00:03:08.400]  面對著主耶穌在剛才主席幫我們讀的整個經文
[00:03:08.400 --> 00:03:11.960]  或者我們會覺得很疑惑
[00:03:13.480 --> 00:03:17.040]  因為主耶穌面對著邪惡的力量
[00:03:17.040 --> 00:03:19.480]  他好像就是這樣
[00:03:19.480 --> 00:03:23.000]  而更令人難以相信的是
[00:03:23.000 --> 00:03:26.840]  曾經行過無數神職歧視的耶穌
[00:03:26.840 --> 00:03:30.920]  現在面對著一群捉拿祂的人
[00:03:30.920 --> 00:03:33.640]  顯得好像沒有了符一樣
[00:03:33.640 --> 00:03:38.680]  今天很想藉著《路加福音》22章
[00:03:38.680 --> 00:03:40.560]  47至53節的經文
[00:03:40.560 --> 00:03:43.280]  和大家一起看,有兩個層面
[00:03:44.280 --> 00:03:48.640]  第一個就是看當黑暗掌權的時候
[00:03:48.640 --> 00:03:51.680]  我們可以看到的一些行為和特徵
[00:03:51.680 --> 00:03:54.120]  我稱之為被黑暗的眾生上
[00:03:54.120 --> 00:03:56.920]  另一方面也很想和大家一起看看
[00:03:56.920 --> 00:03:59.600]  主耶穌面對著黑暗權勢的時候
[00:03:59.600 --> 00:04:01.240]  他是怎樣回應
[00:04:01.240 --> 00:04:04.600]  我們先一起從經文看看
[00:04:04.600 --> 00:04:08.080]  當黑暗權勢掌權的時候
[00:04:08.080 --> 00:04:09.480]  一些行為的特徵
[00:04:12.200 --> 00:04:15.120]  被撒旦進入了心的猶大
[00:04:15.120 --> 00:04:18.640]  帶領著一群當時猶太的領袖
[00:04:18.640 --> 00:04:20.240]  來捉拿耶穌
[00:04:20.240 --> 00:04:24.480]  而且以靠近耶穌和祂親嘴
[00:04:24.480 --> 00:04:27.200]  成為賣主耶穌的記號
[00:04:27.200 --> 00:04:33.280]  親嘴本來是一個親密和友誼的舉動
[00:04:33.280 --> 00:04:37.040]  是表達對對方的尊敬和友好
[00:04:37.800 --> 00:04:42.680]  但來到這裡卻成為了虛偽背叛的象徵
[00:04:42.680 --> 00:04:47.840]  而且還要是主耶穌最親近
[00:04:47.840 --> 00:04:52.360]  可以稱之為十二位入室弟子之一的猶大
[00:04:52.360 --> 00:04:56.920]  這份虛假表面的親近
[00:04:56.920 --> 00:04:58.360]  實質的出賣
[00:04:58.360 --> 00:05:02.520]  對耶穌來說真的很痛
[00:05:02.520 --> 00:05:06.360]  可能在現實的生活裡
[00:05:06.680 --> 00:05:11.440]  我們對這些很偽善虛假的嘴臉一點也不陌生
[00:05:11.440 --> 00:05:15.560]  當黑暗掌管的時候
[00:05:15.560 --> 00:05:20.880]  人和人之間的信任和關係就是這樣被破壞
[00:05:20.880 --> 00:05:24.880]  虛假、出賣、背叛
[00:05:24.880 --> 00:05:29.560]  成為了黑暗掌權時候的其中一個記號
[00:05:29.560 --> 00:05:33.120]  經文47節
[00:05:33.440 --> 00:05:39.160]  描述到這位出賣主和這些捉拿的行動
[00:05:39.160 --> 00:05:41.480]  其實是由一群人組成的
[00:05:41.480 --> 00:05:44.520]  而猶大就是帶領著這群人
[00:05:44.520 --> 00:05:47.280]  經文52節更加讓我們知道
