
[00:00:00.000 --> 00:00:06.000]  今日和大家分享的題目叫「充滿神恩典的群體」
[00:00:06.000 --> 00:00:09.000]  選擇這個題目是因為
[00:00:09.000 --> 00:00:12.000]  對聖經裏面記載的其中一間教會群體
[00:00:12.000 --> 00:00:16.000]  有些很特別的觸動 想分享
[00:00:16.000 --> 00:00:21.000]  聖經裏面記載了很多教會 特別是書信
[00:00:21.000 --> 00:00:30.000]  例如羅馬教會 哥倫多教會 伊弗所 菲律賓等等
[00:00:30.000 --> 00:00:33.000]  我不知道你在看聖經的時候
[00:00:33.000 --> 00:00:37.000]  你對哪些教會有最深的印象
[00:00:37.000 --> 00:00:41.000]  或者這樣說 如果讓你選擇
[00:00:41.000 --> 00:00:46.000]  你希望自己在哪一間教會群體中是 這樣就好了
[00:00:46.000 --> 00:00:49.000]  不知道你有沒有想過這個問題
[00:00:51.000 --> 00:00:58.000]  我們的同學 可能大家沒有想過
[00:00:58.000 --> 00:01:00.000]  我的同學是有想過的
[00:01:00.000 --> 00:01:03.000]  當出來預備工場工作的時候
[00:01:03.000 --> 00:01:06.000]  就想這間教會去就好了
[00:01:06.000 --> 00:01:08.000]  這間教會千萬不要去
[00:01:08.000 --> 00:01:13.000]  例如有一間教會叫哥倫多教會
[00:01:13.000 --> 00:01:15.000]  千萬不要派我去那裏
[00:01:15.000 --> 00:01:18.000]  很多問題 很難處理那些人
[00:01:18.000 --> 00:01:22.000]  所以今天和大家看的
[00:01:22.000 --> 00:01:25.000]  不是在書信裏面記載的教會
[00:01:25.000 --> 00:01:29.000]  而是在一間寫作行傳裏面 曾經記錄過的歷史記載
[00:01:29.000 --> 00:01:31.000]  一間教會叫安提柯教會
[00:01:31.000 --> 00:01:33.000]  或者叫安提亞教會
[00:01:33.000 --> 00:01:36.000]  這個名字有兩個讀法都可以
[00:01:36.000 --> 00:01:38.000]  這間是一間充滿神恩典的教會
[00:01:38.000 --> 00:01:40.000]  大家看看好嗎
[00:01:40.000 --> 00:01:41.000]  我看看你讀的時候
[00:01:41.000 --> 00:01:45.000]  你會不會覺得如果我在這間教會裏面就好了
[00:01:45.000 --> 00:01:47.000]  不知道你有沒有這種感動
[00:01:47.000 --> 00:01:50.000]  第十一章十九到三十節
[00:01:50.000 --> 00:01:51.000]  還有後面還有一點
[00:01:51.000 --> 00:01:55.000]  我想最後那三節大家會有更多印象
[00:01:55.000 --> 00:01:58.000]  那個差派的記錄
[00:01:58.000 --> 00:02:02.000]  這間教會有什麼地方這麼特別
[00:02:02.000 --> 00:02:06.000]  為什麼我要選這間教會和大家分享呢
[00:02:06.000 --> 00:02:08.000]  我想大家留意一下
[00:02:08.000 --> 00:02:10.000]  聖經形容描述這間教會
[00:02:10.000 --> 00:02:13.000]  有什麼地方是很特別的
[00:02:13.000 --> 00:02:16.000]  二十一節 即是十一章的二十一節
[00:02:16.000 --> 00:02:17.000]  有一個記載
[00:02:17.000 --> 00:02:20.000]  主與他們同在
[00:02:20.000 --> 00:02:23.000]  信而歸主的人就很多了
[00:02:23.000 --> 00:02:25.000]  原來文字是差了一個字
[00:02:25.000 --> 00:02:28.000]  主的手與他們同在
[00:02:28.000 --> 00:02:30.000]  如果你看其他譯本應該看到這個翻譯
[00:02:30.000 --> 00:02:32.000]  主的手和他們一起
[00:02:32.000 --> 00:02:35.000]  結果就是信而歸主的人就很多了
[00:02:35.000 --> 00:02:38.000]  通常他們說主的手和他們一起
[00:02:38.000 --> 00:02:39.000]  在小童傳裏面
[00:02:39.000 --> 00:02:41.000]  大多數的意思都是說
[00:02:41.000 --> 00:02:44.000]  那個群體出現了很多醫治的事件
[00:02:44.000 --> 00:02:47.000]  即是神的手在中間做了很多醫治的工作
[00:02:47.000 --> 00:02:48.000]  很多人康復了
[00:02:48.000 --> 00:02:51.000]  患病甚至癱瘓裏面康復了
[00:02:51.000 --> 00:02:52.000]  不單止這樣
[00:02:52.000 --> 00:02:54.000]  有些神蹟奇事發生了
[00:02:54.000 --> 00:02:57.000]  其中在第四章有一個記載
[00:02:57.000 --> 00:03:01.000]  當時彼得被人抓去坐牢
[00:03:01.000 --> 00:03:03.000]  他自己也覺得不知道怎麼辦
[00:03:03.000 --> 00:03:06.000]  教會裏面有很多人去祈禱
[00:03:06.000 --> 00:03:08.000]  在當晚裏面
[00:03:08.000 --> 00:03:12.000]  彼得發現有一個天使來找他
[00:03:12.000 --> 00:03:15.000]  帶他離開監牢
[00:03:15.000 --> 00:03:16.000]  出了一條馬路
[00:03:16.000 --> 00:03:17.000]  他還以為在做夢
[00:03:17.000 --> 00:03:19.000]  以為是夢中見到天使
[00:03:19.000 --> 00:03:21.000]  後來發現真的在街上
[00:03:21.000 --> 00:03:23.000]  於是他自己也嚇了一跳
[00:03:23.000 --> 00:03:27.000]  走回去找他的門徒弟兄
[00:03:27.000 --> 00:03:28.000]  記載了這些事件發生
[00:03:28.000 --> 00:03:30.000]  還有很多很多事件發生
[00:03:30.000 --> 00:03:31.000]  即是說
[00:03:31.000 --> 00:03:32.000]  這裏記載了一件事
[00:03:32.000 --> 00:03:34.000]  這間教會群體出現的事
[00:03:34.000 --> 00:03:36.000]  就是主的手和他們在一起
[00:03:36.000 --> 00:03:37.000]  很多的神蹟
[00:03:37.000 --> 00:03:39.000]  很多的奇事發生
[00:03:39.000 --> 00:03:43.000]  然後他就說信而歸主的人很多了
[00:03:43.000 --> 00:03:46.000]  這個記載不單止說很多人信耶穌
[00:03:46.000 --> 00:03:49.000]  他說信而歸主
[00:03:49.000 --> 00:03:51.000]  這個雙重的說法
[00:03:51.000 --> 00:03:53.000]  是說那些人的信
[00:03:53.000 --> 00:03:56.000]  不是一種信多過神的意思
[00:03:56.000 --> 00:03:59.000]  是真的離棄了他們以前扮的偶像
[00:03:59.000 --> 00:04:00.000]  真的歸向神
[00:04:00.000 --> 00:04:02.000]  歸向主的意思
[00:04:02.000 --> 00:04:03.000]  所以這種信是一種認真的
[00:04:03.000 --> 00:04:06.000]  是一種拋棄以前所信的
[00:04:06.000 --> 00:04:07.000]  專心歸向神
[00:04:07.000 --> 00:04:09.000]  這個人很多
[00:04:09.000 --> 00:04:10.000]  我們知道傳呼音
[00:04:10.000 --> 00:04:13.000]  我們很多人傳呼音都很厲害
[00:04:13.000 --> 00:04:14.000]  或者很有經驗
[00:04:14.000 --> 00:04:15.000]  要那些人信耶穌
[00:04:15.000 --> 00:04:17.000]  似乎不是太難
[00:04:17.000 --> 00:04:19.000]  如果他願意的話
[00:04:19.000 --> 00:04:22.000]  但是要他專心跟隨歸服給主
[00:04:22.000 --> 00:04:24.000]  是一件難度高一點的事
[00:04:24.000 --> 00:04:27.000]  這裏就說主和他們在一起
[00:04:27.000 --> 00:04:29.000]  很多的奇事發生
[00:04:29.000 --> 00:04:30.000]  信的人很多
[00:04:30.000 --> 00:04:32.000]  歸向主的人同樣是很多
[00:04:32.000 --> 00:04:34.000]  這是第一個形容我看到的
[00:04:34.000 --> 00:04:36.000]  第二個就是二十二節
[00:04:36.000 --> 00:04:38.000]  那裏就說
[00:04:38.000 --> 00:04:42.000]  這個風聲傳到耶路撒冷教會的人的耳中
[00:04:42.000 --> 00:04:47.000]  安提拉這個城市離開耶路撒冷教會
[00:04:47.000 --> 00:04:49.000]  其實是相當遠的
[00:04:49.000 --> 00:04:51.000]  當日的路程
[00:04:51.000 --> 00:04:54.000]  當日沒有車沒有火車沒有飛機
[00:04:54.000 --> 00:04:55.000]  人們走路
[00:04:55.000 --> 00:04:57.000]  旅程就走路
[00:04:57.000 --> 00:04:58.000]  大部份都是
[00:04:58.000 --> 00:04:59.000]  一是坐船
[00:04:59.000 --> 00:05:00.000]  一是最有錢的人騎馬
[00:05:00.000 --> 00:05:01.000]  軍隊的人騎馬
[00:05:01.000 --> 00:05:03.000]  但是普通人都是走路的
[00:05:03.000 --> 00:05:08.000]  安提拉和耶路撒冷相距大概五百公里
