
[00:00:00.000 --> 00:00:05.120]  其中一個保羅寫信給鐵薩羅尼加信徒的原因
[00:00:05.120 --> 00:00:09.860]  是在他們當時面對眾多的困難、挑戰與苦難當中
[00:00:09.860 --> 00:00:11.920]  仍然持守著信望外
[00:00:11.920 --> 00:00:15.300]  來去站穩
[00:00:15.300 --> 00:00:17.860]  上星期我們提到這班信徒
[00:00:17.860 --> 00:00:19.420]  當他們面對苦難
[00:00:19.420 --> 00:00:21.380]  和在信心的時候
[00:00:21.380 --> 00:00:23.540]  他們如何挑選信心
[00:00:23.540 --> 00:00:27.660]  來去持守他們信徒的道路
[00:00:27.660 --> 00:00:31.660]  所以保羅就稱這班信徒
[00:00:31.660 --> 00:00:36.460]  稱這個教會為一個配授神恩典的教會
[00:00:36.460 --> 00:00:40.460]  今天我們會講到鐵薩羅尼加教會
[00:00:40.460 --> 00:00:44.100]  在那個時候面對的另一個挑戰
[00:00:44.100 --> 00:00:48.100]  這個挑戰就是假的教師、假的教導
[00:00:48.100 --> 00:00:51.820]  我們可以想像一個假的教導
[00:00:51.820 --> 00:00:53.660]  似是而非的道理
[00:00:53.660 --> 00:00:56.980]  可以說比起我們肉身的痛苦
[00:00:56.980 --> 00:00:59.020]  攻擊、迫害
[00:00:59.020 --> 00:01:02.360]  那個傷害性是更加的嚴重
[00:01:02.360 --> 00:01:06.340]  保羅就在寫了第一封信
[00:01:06.340 --> 00:01:09.380]  關於主耶穌再回來的事實
[00:01:09.380 --> 00:01:12.680]  很快有另一個教導就出來了
[00:01:12.680 --> 00:01:16.180]  這個教導就說主耶穌其實已經回來了
[00:01:16.180 --> 00:01:18.940]  更加可怕的是
[00:01:18.940 --> 00:01:21.100]  這個假的教導
[00:01:21.100 --> 00:01:23.620]  似乎甚至是出自保羅自己
[00:01:23.620 --> 00:01:25.940]  保羅知道了這個事實之後
[00:01:25.940 --> 00:01:28.340]  他就馬上來作澄清
[00:01:28.340 --> 00:01:31.420]  所以在開始第二章的時候
[00:01:31.420 --> 00:01:35.500]  他就說無論是靈、是言語
[00:01:35.500 --> 00:01:38.420]  總之是無我名的書信
[00:01:38.420 --> 00:01:40.980]  講到主耶穌的日子已經來到
[00:01:40.980 --> 00:01:42.660]  你們千萬不要動心
[00:01:42.660 --> 00:01:45.460]  也不要因此而驚慌
[00:01:45.460 --> 00:01:46.740]  首先
[00:01:46.740 --> 00:01:49.700]  這個教導並不是來自保羅
[00:01:49.700 --> 00:01:50.780]  其次
[00:01:50.780 --> 00:01:53.380]  這個教導也是錯的
[00:01:53.380 --> 00:01:56.340]  沒錯,主耶穌講得很清楚
[00:01:56.340 --> 00:02:01.220]  承諾有一天主耶穌是會回來的
[00:02:01.220 --> 00:02:04.740]  對於當時第一代的信徒來說
[00:02:04.740 --> 00:02:07.140]  這一班信徒很警醒
[00:02:07.140 --> 00:02:08.820]  是很熱切的
[00:02:08.820 --> 00:02:11.340]  等候著主耶穌的再回來
[00:02:11.340 --> 00:02:13.620]  但是
[00:02:13.620 --> 00:02:17.020]  在我們這個不信的世代
[00:02:17.020 --> 00:02:19.100]  你跟一些不信的人說
[00:02:19.100 --> 00:02:23.620]  我們有一天主耶穌會駕著雲彩從天而降的時候
[00:02:23.620 --> 00:02:28.020]  這班不信的世代覺得這個說法是荒謬的
[00:02:28.020 --> 00:02:31.060]  說我們是傻的
[00:02:31.060 --> 00:02:32.380]  不過
[00:02:32.380 --> 00:02:33.500]  更加
[00:02:33.500 --> 00:02:35.380]  我覺得是可惜
[00:02:35.380 --> 00:02:38.100]  甚至是傷感的事實就是說
[00:02:38.100 --> 00:02:39.500]  這些說法
[00:02:39.500 --> 00:02:42.980]  有時候甚至是來自我們的基督徒
[00:02:42.980 --> 00:02:43.940]  或者是這樣說
[00:02:43.940 --> 00:02:44.940]  我們基督徒自己之間
[00:02:44.940 --> 00:02:48.420]  都不經常提到主耶穌再回來的事
[00:02:48.420 --> 00:02:50.700]  如果我這樣問大家
[00:02:50.700 --> 00:02:53.940]  你上一次跟你周圍的弟兄姊妹
[00:02:53.940 --> 00:02:56.380]  有沒有說過主耶穌再回來的事?
[00:02:56.380 --> 00:02:59.220]  有沒有討論過?
[00:02:59.220 --> 00:03:00.460]  又或者
[00:03:00.460 --> 00:03:02.580]  你覺得你再生的年日
[00:03:02.580 --> 00:03:05.020]  會不會主耶穌再回來的時候
[00:03:05.020 --> 00:03:07.180]  是在你再生的年日?
[00:03:07.180 --> 00:03:08.740]  大家覺不覺得
[00:03:08.740 --> 00:03:11.060]  你會親眼看到主耶穌回來?
