
[00:00:00.000 --> 00:00:05.240]  什麼反應呢 我們的腦裏面就會開始發放一些訊息
[00:00:05.240 --> 00:00:08.220]  這些訊息是什麼呢 是一些危急的訊息來的
[00:00:08.220 --> 00:00:11.700]  好像是要打仗 即是一個戰爭
[00:00:11.700 --> 00:00:16.620]  又或者要逃避一些大難的那個警覺的這樣的心
[00:00:16.620 --> 00:00:21.280]  你不要以為很簡單 就是我們在家裏等
[00:00:21.280 --> 00:00:23.020]  看看什麼時候過疫情
[00:00:23.020 --> 00:00:26.640]  原來我們裏面很多的衝突我們都不知道
[00:00:26.640 --> 00:00:28.680]  裏面很多的壓力我們都不知道
[00:00:28.680 --> 00:00:32.460]  原來我們身體很緊張 好像要打仗那樣
[00:00:32.460 --> 00:00:37.160]  這個就是我們承受了一些壓力 不自覺的
[00:00:37.160 --> 00:00:40.100]  我聽到有些電影節目說 在家裏
[00:00:40.100 --> 00:00:44.820]  現在疫情慢慢的放寬 我們社交的活動越來越多了
[00:00:44.820 --> 00:00:49.240]  但我們仍然有一個社交的距離 我們要去小心
[00:00:49.240 --> 00:00:53.480]  又或者在一些疫情更加嚴峻的地方
[00:00:53.480 --> 00:00:56.640]  仍然有一些的居家令這些的措施
[00:00:56.640 --> 00:01:02.200]  或者我們香港現在仍然有這個的限聚令等等
[00:01:02.200 --> 00:01:05.780]  有些弟兄只會跟我說
[00:01:05.780 --> 00:01:09.380]  好像都要小心點 不要外出的時候
[00:01:09.380 --> 00:01:14.700]  人很悶在家裏 有一位就很生動的告訴我
[00:01:14.700 --> 00:01:20.140]  我在這裏正在勾 即是勾這樣
[00:01:20.140 --> 00:01:25.660]  這個字都很不容易 我自己都很感覺
[00:01:25.660 --> 00:01:31.540]  有時我們同工有時會在家裏 Home office等等
[00:01:31.540 --> 00:01:35.460]  少見人 我發覺我自己口齒都沒有那麼伶俐
[00:01:35.460 --> 00:01:40.700]  有時我回來教會 我見到我平時面對許多的弟兄姊妹
[00:01:40.700 --> 00:01:45.720]  我的默會的方式 習慣了 突然間亂了
[00:01:45.720 --> 00:01:50.660]  我再見不到那個模樣的弟兄姊妹 是見到在我身邊
[00:01:50.660 --> 00:01:55.020]  有很多的方式 網上聚會 怎樣應對這個疫情
[00:01:55.020 --> 00:01:59.020]  我發覺我自己都緊張很多 我不知道大家怎樣
[00:01:59.020 --> 00:02:03.300]  當然還有很多這個疫情帶來很多的困境
[00:02:03.300 --> 00:02:08.540]  工作或者很多不方便 甚至我們有些損失
[00:02:08.540 --> 00:02:13.860]  甚至有些工都成為一個失去
[00:02:13.860 --> 00:02:16.480]  我們都會失去很多的東西
[00:02:16.480 --> 00:02:19.820]  這個疫情其實給我們很多的衝擊
[00:02:19.820 --> 00:02:23.300]  在教會來講就更加一個大的衝擊
[00:02:23.300 --> 00:02:28.480]  一方面我們看教會一直是一個支持群體信仰的地方
[00:02:28.480 --> 00:02:32.500]  我們互相學習聖經 我們互相獻面的地方
[00:02:32.500 --> 00:02:36.800]  突然間要停了 這個支持的系統
[00:02:36.800 --> 00:02:40.720]  是否在發揮一個作用呢 第一個問題我們會問
[00:02:40.720 --> 00:02:45.560]  第二就是信徒在家裏 我們不需要回來教會
[00:02:45.560 --> 00:02:48.300]  我們又不需要崇拜 回到這個地方
[00:02:48.300 --> 00:02:50.440]  我們知道我們有網上直播
[00:02:50.440 --> 00:02:53.600]  有時我們的團契我們都用了網上
[00:02:53.600 --> 00:02:59.160]  但是有時我們可以 又要搞這麼多事
[00:02:59.160 --> 00:03:01.680]  可能我那個時間 聚會的時間
[00:03:01.680 --> 00:03:05.360]  我在做其他事 很不方便
[00:03:05.360 --> 00:03:08.680]  我們就這樣可能失去了這些聚會的時候
[00:03:08.680 --> 00:03:12.980]  我們信徒裏面會不會對教會疏離了呢
[00:03:12.980 --> 00:03:16.800]  甚至再遠一層對神都疏離了呢
[00:03:16.800 --> 00:03:19.620]  這個是我們的一個危機
[00:03:19.620 --> 00:03:22.060]  但是我們看看怎樣在這個危機當中
[00:03:22.060 --> 00:03:26.960]  我們應變的時候 我們怎樣轉化它成為一個轉機
[00:03:26.960 --> 00:03:29.960]  今天我和大家看一段很重要的經文
[00:03:29.960 --> 00:03:32.740]  其實我們平時都應該要好好留意
[00:03:32.740 --> 00:03:35.360]  特別在疫情裏面 我覺得更加重要
[00:03:35.360 --> 00:03:41.000]  就講到教會一個群體非常重要 我們要聚會
[00:03:41.000 --> 00:03:43.300]  他說這裏不可停止聚會
[00:03:43.300 --> 00:03:46.300]  這句話等一下我們會慢慢去看
[00:03:46.300 --> 00:03:50.180]  但是你會發覺聚會是非常重要的
[00:03:50.180 --> 00:03:53.700]  在希伯來書的背景就是
[00:03:53.700 --> 00:03:55.700]  他們在一些逆境當中
[00:03:55.700 --> 00:03:58.440]  當然他們不是在面對一個疫症
[00:03:58.440 --> 00:04:01.280]  當時他們面對很多的迫害 迫拍
[00:04:01.280 --> 00:04:06.000]  你會發覺很多信徒信心不是很堅固
[00:04:06.000 --> 00:04:08.860]  不是很成長的基督徒
[00:04:08.860 --> 00:04:10.860]  如果你看希伯來書的時候
[00:04:10.860 --> 00:04:13.820]  當有這些禍患來到的時候
[00:04:13.820 --> 00:04:17.180]  信仰成為一個非常大的危機
[00:04:17.180 --> 00:04:20.920]  希伯來書的作者就是要和這些信徒講
[00:04:20.920 --> 00:04:23.540]  你們要持守你們的信仰
[00:04:23.540 --> 00:04:26.740]  一直講了很多 就是我們的信仰非常之真確
[00:04:26.740 --> 00:04:29.920]  耶穌基督成為了我們的大祭司
[00:04:29.920 --> 00:04:31.920]  祂建立了這個救恩
[00:04:31.920 --> 00:04:34.420]  以致我們來到這一段非常重要
[00:04:34.420 --> 00:04:36.420]  這段經文就是要勸勉信徒
[00:04:36.420 --> 00:04:39.660]  怎樣去好好守住這個信仰
[00:04:39.660 --> 00:04:41.200]  千萬不要甩
[00:04:41.200 --> 00:04:44.800]  我們要穩穩陣陣的在這個信仰裏面
[00:04:44.800 --> 00:04:51.780]  還有就是我們還要持守這個信仰
[00:04:51.780 --> 00:04:55.120]  還要有一個盼望
[00:04:55.120 --> 00:04:57.540]  所以這是一個很重要的一段經文
[00:04:57.540 --> 00:04:59.540]  以致我們這個疫症來到
[00:04:59.540 --> 00:05:02.640]  究竟是一個危機
[00:05:02.640 --> 00:05:05.020]  能不能成為一個轉機呢?
[00:05:05.020 --> 00:05:07.380]  這個是非常重要的
[00:05:07.380 --> 00:05:09.380]  或者我們先看看這段經文
[00:05:09.380 --> 00:05:13.420]  就是說這個作者首先講了
[00:05:13.420 --> 00:05:16.600]  我們信徒有很大很大的福分
[00:05:16.600 --> 00:05:19.100]  就是之前一路一章
