
[00:00:00.000 --> 00:00:02.000]  各位大英姊妹平安
[00:00:02.000 --> 00:00:04.000]  很開心是吧
[00:00:04.000 --> 00:00:07.000]  我們站在後面看到這班小孩子
[00:00:07.000 --> 00:00:09.000]  我想有些真的只有兩三歲
[00:00:09.000 --> 00:00:11.000]  比前面還小
[00:00:11.000 --> 00:00:14.000]  你會看到什麼呢
[00:00:14.000 --> 00:00:16.000]  當他們看到這班小孩子
[00:00:16.000 --> 00:00:18.000]  聽到他們唱歌
[00:00:18.000 --> 00:00:20.000]  有獨唱 有合唱 是吧
[00:00:20.000 --> 00:00:22.000]  你想到什麼
[00:00:22.000 --> 00:00:23.000]  很有趣
[00:00:23.000 --> 00:00:25.000]  只是很有趣
[00:00:25.000 --> 00:00:27.000]  想到什麼
[00:00:28.000 --> 00:00:30.000]  將來 是吧
[00:00:30.000 --> 00:00:32.000]  我們站在後面的人一看到
[00:00:32.000 --> 00:00:34.000]  大家都笑著說
[00:00:34.000 --> 00:00:36.000]  嘩 這麼多小孩子
[00:00:36.000 --> 00:00:39.000]  是否代表我們教會的將來 是吧
[00:00:39.000 --> 00:00:41.000]  所以現在我們真的要
[00:00:41.000 --> 00:00:45.000]  為兒童事工 青少年事工的傳道人
[00:00:45.000 --> 00:00:47.000]  即是負責人
[00:00:47.000 --> 00:00:49.000]  義工 很多義工
[00:00:49.000 --> 00:00:50.000]  來祈禱
[00:00:50.000 --> 00:00:53.000]  因為他們真的身負一個重任
[00:00:53.000 --> 00:00:55.000]  還有他們的擺上
[00:00:55.000 --> 00:00:57.000]  是你想不到的
[00:00:57.000 --> 00:00:59.000]  想想 做爸爸媽媽
[00:00:59.000 --> 00:01:01.000]  做公公婆婆 爺爺奶奶
[00:01:01.000 --> 00:01:03.000]  可以坐在這裡這麼舒服聚會
[00:01:03.000 --> 00:01:05.000]  誰幫了我們
[00:01:05.000 --> 00:01:07.000]  真的有一班幕後的英雄
[00:01:07.000 --> 00:01:08.000]  你知道嗎
[00:01:08.000 --> 00:01:10.000]  真的一個星期接一個星期
[00:01:10.000 --> 00:01:12.000]  一個月接一個月
[00:01:12.000 --> 00:01:13.000]  一年伏一年
[00:01:13.000 --> 00:01:14.000]  做很多年
[00:01:14.000 --> 00:01:15.000]  做十幾二十年
[00:01:15.000 --> 00:01:18.000]  都還在這些事工上面
[00:01:18.000 --> 00:01:20.000]  默默的支持
[00:01:20.000 --> 00:01:22.000]  所以接下來
[00:01:22.000 --> 00:01:23.000]  Easter 嬸嬸仔
[00:01:23.000 --> 00:01:24.000]  即是父母節
[00:01:24.000 --> 00:01:26.000]  嬸嬸仔也有很多節目
[00:01:26.000 --> 00:01:28.000]  加上現在這次有人問我
[00:01:28.000 --> 00:01:30.000]  關於「基緊三十」
[00:01:30.000 --> 00:01:32.000]  即是年青人未要
[00:01:32.000 --> 00:01:35.000]  即是為了主的緣故
[00:01:35.000 --> 00:01:37.000]  去籌款
[00:01:37.000 --> 00:01:40.000]  就是自己三十個小時
[00:01:40.000 --> 00:01:44.000]  不是注意在飲食上面
[00:01:44.000 --> 00:01:48.000]  而是真的為機構
[00:01:48.000 --> 00:01:50.000]  這些宣明會來籌款
[00:01:50.000 --> 00:01:52.000]  所以如果你有感動
[00:01:52.000 --> 00:01:54.000]  要支持這些年青人
[00:01:54.000 --> 00:01:55.000]  他們為了主
[00:01:55.000 --> 00:01:57.000]  你知道年青人最喜歡吃
[00:01:57.000 --> 00:01:58.000]  不吃就不行了
[00:01:58.000 --> 00:02:00.000]  但他們也要在那三十個小時
[00:02:00.000 --> 00:02:03.000]  禁止自己
[00:02:03.000 --> 00:02:04.000]  不要大吃
[00:02:04.000 --> 00:02:05.000]  當然你要飲食
[00:02:05.000 --> 00:02:08.000]  你一定要維持你身體健康
[00:02:08.000 --> 00:02:09.000]  為他們祈禱
[00:02:09.000 --> 00:02:11.000]  每一個兒童的事工
[00:02:11.000 --> 00:02:14.000]  每一個青少年的活動
[00:02:14.000 --> 00:02:16.000]  我們都應該要為他們祈禱
[00:02:16.000 --> 00:02:18.000]  以及支持他們
[00:02:18.000 --> 00:02:19.000]  Summer 又來了
[00:02:19.000 --> 00:02:22.000]  七月 八月 六月都有了
[00:02:22.000 --> 00:02:25.000]  孫教 短孫隊
[00:02:25.000 --> 00:02:28.000]  我真的很欣賞 很感恩
[00:02:28.000 --> 00:02:30.000]  教會提供這些機會給我們
[00:02:30.000 --> 00:02:32.000]  我最興奮的就是
[00:02:32.000 --> 00:02:34.000]  最初是自己去
[00:02:34.000 --> 00:02:36.000]  後來你會和一些年青人去
[00:02:36.000 --> 00:02:38.000]  最後你會發覺
[00:02:38.000 --> 00:02:40.000]  我最感恩的一年就是
[00:02:40.000 --> 00:02:42.000]  我可以和我的女兒
[00:02:42.000 --> 00:02:45.000]  和我的孫女一起去
[00:02:45.000 --> 00:02:48.000]  那種感覺你會覺得
[00:02:48.000 --> 00:02:51.000]  真的是一個全家的侍奉
[00:02:51.000 --> 00:02:53.000]  那你去到台灣也好
[00:02:53.000 --> 00:02:54.000]  去到香港也好
[00:02:54.000 --> 00:02:55.000]  去到哪裡也好
[00:02:55.000 --> 00:02:56.000]  你會發覺
[00:02:56.000 --> 00:02:57.000]  那些小孩子最喜歡的
[00:02:57.000 --> 00:02:58.000]  不是我們大人
[00:02:58.000 --> 00:03:00.000]  是喜歡Summer仔
[00:03:00.000 --> 00:03:02.000]  就是喜歡那些青少年人
[00:03:02.000 --> 00:03:03.000]  他們幫忙那些
[00:03:03.000 --> 00:03:05.000]  他們英文又準確
[00:03:05.000 --> 00:03:07.000]  我們說做VBS
[00:03:07.000 --> 00:03:08.000]  教暑期聖經班
[00:03:08.000 --> 00:03:09.000]  教一些英文
[00:03:09.000 --> 00:03:11.000]  他們一出聲
[00:03:11.000 --> 00:03:12.000]  出來領唱歌
[00:03:12.000 --> 00:03:14.000]  那些小孩子就很聰明
[00:03:14.000 --> 00:03:16.000]  很喜歡跟著他們
[00:03:16.000 --> 00:03:17.000]  所以其實如果
[00:03:17.000 --> 00:03:19.000]  我們能夠帶頭
[00:03:19.000 --> 00:03:21.000]  我們其實是去協助
[00:03:21.000 --> 00:03:22.000]  去輔助的
[00:03:22.000 --> 00:03:24.000]  我們做帶領的
[00:03:24.000 --> 00:03:26.000]  給這些十幾歲的
[00:03:26.000 --> 00:03:29.000]  甚至是十歲八歲的
[00:03:29.000 --> 00:03:30.000]  去經歷一下
[00:03:30.000 --> 00:03:33.000]  怎樣去傳福音
[00:03:33.000 --> 00:03:34.000]  特別看到別人的物質
[00:03:34.000 --> 00:03:36.000]  沒有我們那麼豐富
[00:03:36.000 --> 00:03:38.000]  但是別人那種學習精神
[00:03:38.000 --> 00:03:40.000]  那種禮貌
[00:03:40.000 --> 00:03:41.000]  你知道嗎
[00:03:41.000 --> 00:03:42.000]  我去過不同的地方
[00:03:42.000 --> 00:03:43.000]  你會發覺
[00:03:43.000 --> 00:03:44.000]  最有禮貌的地方
[00:03:44.000 --> 00:03:46.000]  你知道是哪裡嗎
[00:03:46.000 --> 00:03:47.000]  台灣
[00:03:47.000 --> 00:03:50.000]  台灣無論你在台北也好
[00:03:50.000 --> 00:03:51.000]  台中也好
[00:03:51.000 --> 00:03:53.000]  或者去到台南也好
[00:03:53.000 --> 00:03:54.000]  那些小孩子
[00:03:54.000 --> 00:03:57.000]  他們真的很有禮貌
[00:03:57.000 --> 00:03:59.000]  一定稱呼老師
[00:03:59.000 --> 00:04:00.000]  接著呢
[00:04:00.000 --> 00:04:01.000]  懂得說謝謝
[00:04:01.000 --> 00:04:05.000]  懂得說請你幫我
[00:04:05.000 --> 00:04:06.000]  那些家長
[00:04:06.000 --> 00:04:08.000]  真的熱烈到怎樣
[00:04:08.000 --> 00:04:09.000]  一輛電單車
[00:04:09.000 --> 00:04:11.000]  那些小綿羊
[00:04:11.000 --> 00:04:12.000]  前面站兩個
[00:04:12.000 --> 00:04:13.000]  後面坐一個
[00:04:13.000 --> 00:04:16.000]  一家這樣接他來參加
[00:04:16.000 --> 00:04:17.000]  我也怕過他
[00:04:17.000 --> 00:04:20.000]  因為你知道那些綿羊很輕
[00:04:20.000 --> 00:04:21.000]  一轉彎
[00:04:21.000 --> 00:04:22.000]  全部滾下去
[00:04:22.000 --> 00:04:23.000]  他又不會的
[00:04:23.000 --> 00:04:25.000]  他們真的很厲害
[00:04:25.000 --> 00:04:26.000]  紮馬什麼的
[00:04:26.000 --> 00:04:27.000]  所以每一次
[00:04:27.000 --> 00:04:29.000]  那個書奇聖經班
[00:04:29.000 --> 00:04:31.000]  放學的時候就很厲害
[00:04:31.000 --> 00:04:34.000]  停了那些小綿羊
[00:04:34.000 --> 00:04:36.000]  那些小孩子很開心
[00:04:36.000 --> 00:04:37.000]  所以其實你真的很想
[00:04:37.000 --> 00:04:39.000]  你自己提升你那個
[00:04:39.000 --> 00:04:41.000]  傳福音的那種心
[00:04:41.000 --> 00:04:43.000]  和那個靈
[00:04:43.000 --> 00:04:45.000]  你要去一下斷線
[00:04:45.000 --> 00:04:46.000]  真的要去一下
[00:04:46.000 --> 00:04:48.000]  萬一你回香港
[00:04:48.000 --> 00:04:50.000]  早一個星期先去台灣
[00:04:50.000 --> 00:04:51.000]  或者說
[00:04:51.000 --> 00:04:54.000]  晚一個星期走先去台灣
[00:04:54.000 --> 00:04:55.000]  或者去其他地方
[00:04:55.000 --> 00:04:58.000]  我們其實都提供很多地方
[00:04:58.000 --> 00:05:00.000]  甚至我不去那麼遠
[00:05:00.000 --> 00:05:01.000]  我去一天他行不行
[00:05:01.000 --> 00:05:02.000]  行
[00:05:02.000 --> 00:05:03.000]  去墨西哥
[00:05:03.000 --> 00:05:04.000]  初期我們教會
[00:05:04.000 --> 00:05:07.000]  剛剛有這個時光的時候
[00:05:07.000 --> 00:05:09.000]  多少一家家人去
[00:05:09.000 --> 00:05:10.000]  你知不知道
[00:05:10.000 --> 00:05:12.000]  爸爸媽媽還開車
[00:05:12.000 --> 00:05:14.000]  帶著子女去
[00:05:14.000 --> 00:05:15.000]  做什麼的
