
[00:00:00.000 --> 00:00:05.840]  今天我們要繼續講《使徒行傳》第十章和第十一章
[00:00:05.840 --> 00:00:09.320]  就是講福音傳到外邦人那裡
[00:00:09.320 --> 00:00:11.780]  我給了他一個很有趣的題目
[00:00:11.780 --> 00:00:15.660]  叫他做「打開天國門的弱士」
[00:00:15.660 --> 00:00:18.920]  為什麼我會給他一個這樣的題目呢?
[00:00:18.920 --> 00:00:22.880]  就是耶穌基督和彼則所講的一句話
[00:00:22.880 --> 00:00:26.160]  在《馬太福音》十六章十九節
[00:00:26.160 --> 00:00:29.360]  「我要把天國的弱士給你」
[00:00:29.360 --> 00:00:32.800]  在結束的時候我們會回來看一下這一點
[00:00:32.800 --> 00:00:39.160]  為什麼叫這個講到叫做「打開天國門的弱士」
[00:00:39.160 --> 00:00:44.400]  《使徒行傳》的第十章其實是一個轉捩點
[00:00:44.400 --> 00:00:48.460]  記載福音是傳到外邦人那裡
[00:00:48.460 --> 00:00:51.640]  如果我們記得《使徒行傳》的一章八節
[00:00:51.640 --> 00:00:56.440]  說福音是要由耶路撒冷傳到猶大傳地
[00:00:56.440 --> 00:01:00.640]  撒瑪利亞傳到地極傳到外邦人那裡
[00:01:00.640 --> 00:01:05.240]  《使徒行傳》的第二章講到猶太人信主
[00:01:05.240 --> 00:01:08.920]  有聖靈降臨教會被建立
[00:01:08.920 --> 00:01:12.280]  就是《使徒行傳》的第二章
[00:01:12.280 --> 00:01:17.800]  第八章講到撒瑪利亞人信主一樣有聖靈降臨
[00:01:17.800 --> 00:01:21.680]  今天我們要講的是《使徒行傳》的第十章
[00:01:21.680 --> 00:01:25.400]  福音是傳到外邦人那裡
[00:01:25.400 --> 00:01:29.960]  在《使徒行傳》裡面一共有三個篇幅很長的故事
[00:01:29.960 --> 00:01:32.280]  第一個就是我們今天的經文
[00:01:32.280 --> 00:01:34.240]  《歌利樓信主》
[00:01:34.240 --> 00:01:36.840]  一共是七十七節的經文
[00:01:36.840 --> 00:01:40.360]  在《使徒行傳》的十章和第十一章
[00:01:40.360 --> 00:01:44.440]  三次重複敘述這件事
[00:01:44.440 --> 00:01:47.280]  第二章的故事
[00:01:47.280 --> 00:01:49.320]  六十七節的經文
[00:01:49.320 --> 00:01:52.840]  是在《使徒行傳》的第六章和第七章
[00:01:52.840 --> 00:01:55.920]  講到使提反的遇害
[00:01:55.920 --> 00:01:58.680]  第三個篇幅長的故事
[00:01:58.680 --> 00:02:00.280]  六十一節的經文
[00:02:00.280 --> 00:02:05.080]  是在《使徒行傳》的九章、二十二章和二十六章
[00:02:05.080 --> 00:02:07.400]  亦都是三次提到
[00:02:07.400 --> 00:02:09.640]  掃羅是怎樣改變
[00:02:09.640 --> 00:02:13.560]  掃羅是怎樣接受耶穌基督
[00:02:13.560 --> 00:02:15.600]  如果我們留意的話
