
[00:00:00.000 --> 00:00:04.600]  每次來都懷著感恩的心
[00:00:04.600 --> 00:00:08.600]  當一路在唱詩的時候
[00:00:08.600 --> 00:00:11.500]  就看見這個十字架
[00:00:11.500 --> 00:00:14.900]  這個十字架是人類的盼望
[00:00:14.900 --> 00:00:17.200]  是我們的安慰
[00:00:17.200 --> 00:00:20.000]  同樣是我們的力量
[00:00:20.000 --> 00:00:22.200]  所以無論在詩歌當中
[00:00:22.200 --> 00:00:24.300]  常常都有些詩人會講
[00:00:24.300 --> 00:00:27.300]  當我們瞻望這個十架的時間
[00:00:27.300 --> 00:00:32.500]  就能夠充分著一種盼望
[00:00:32.500 --> 00:00:34.900]  是盼望上帝的能力
[00:00:34.900 --> 00:00:36.700]  耶穌的同在
[00:00:36.700 --> 00:00:40.200]  去使我們在現今的生活裏面
[00:00:40.200 --> 00:00:44.000]  充滿著信心、勇氣和力量
[00:00:44.000 --> 00:00:46.300]  瞻望十架
[00:00:46.300 --> 00:00:48.800]  是我們的生命的更新
[00:00:48.800 --> 00:00:50.500]  也是我們的力量
[00:00:50.500 --> 00:00:54.400]  讓我們一起祷告
[00:00:54.400 --> 00:00:57.700]  此後的天父,多謝你
[00:00:57.700 --> 00:01:01.600]  是因為你能夠改變了我們
[00:01:01.600 --> 00:01:04.600]  讓我們在今天這個世代裏面
[00:01:04.600 --> 00:01:08.300]  充滿著艱難、苦困
[00:01:08.300 --> 00:01:10.900]  但是你的同在
[00:01:10.900 --> 00:01:17.900]  是使我們充滿著能力、信心和勇氣
[00:01:17.900 --> 00:01:21.000]  天父讓我們每瞻望十字架
[00:01:21.000 --> 00:01:24.000]  都能夠看見你的恩仇的拖大
[00:01:24.000 --> 00:01:28.100]  你的同在這種盼望和喜悅
[00:01:28.100 --> 00:01:32.300]  讓我們就充滿能力走前面的路
[00:01:32.300 --> 00:01:35.200]  感謝你給我們這個崇拜的時間
[00:01:35.200 --> 00:01:36.800]  願你讓我們同在
[00:01:36.800 --> 00:01:39.400]  願聖靈成王我們的感動
[00:01:39.400 --> 00:01:44.000]  禱告奉耶穌的名
[00:01:44.000 --> 00:01:47.000]  這段經文是每個人都非常熟習的
[00:01:47.000 --> 00:01:50.800]  每個基督徒都非常熟習的一段經文
[00:01:50.800 --> 00:01:53.900]  但是這段經文常常能夠幫助我
[00:01:53.900 --> 00:01:56.500]  是怎樣會看今天這個世界
[00:01:56.500 --> 00:01:59.500]  看怎樣去對待他人
[00:01:59.500 --> 00:02:01.000]  在這個世界裏面
[00:02:01.000 --> 00:02:03.900]  讓我們怎樣能夠護葬耶穌
[00:02:03.900 --> 00:02:07.900]  去成為炎、成為光
[00:02:07.900 --> 00:02:10.000]  當我準備的時候就想起
[00:02:10.000 --> 00:02:11.200]  我第一次
[00:02:11.200 --> 00:02:14.800]  我最早期去做傳道人
