
[00:00:00.000 --> 00:00:03.000]  我們再次低頭祈禱
[00:00:03.000 --> 00:00:08.000]  天父感謝祢藉著在聖經上的記載
[00:00:08.000 --> 00:00:12.000]  讓我們看到昔日祢如何帶領祢自己的百姓
[00:00:12.000 --> 00:00:14.000]  讓他們進入迦南美地
[00:00:14.000 --> 00:00:18.000]  求主今日都藉著祢自己的話語揮劃在我們眼前
[00:00:18.000 --> 00:00:21.000]  承認下祢在我們心中
[00:00:21.000 --> 00:00:23.000]  讓我們不單得著信心
[00:00:23.000 --> 00:00:25.000]  更加能得著盼望
[00:00:25.000 --> 00:00:28.000]  讓我們知道我們當週的路
[00:00:28.000 --> 00:00:30.000]  求主恩待
[00:00:30.000 --> 00:00:33.000]  使每一個人照著祢的應許
[00:00:33.000 --> 00:00:36.000]  凡尋求祢的就能尋見
[00:00:36.000 --> 00:00:38.000]  凡等候祢的人可以重新得力
[00:00:38.000 --> 00:00:40.000]  就聽我們的禱告
[00:00:40.000 --> 00:00:42.000]  奉耶穌名字祈求
[00:00:42.000 --> 00:00:46.000]  當週的路
[00:00:46.000 --> 00:00:49.000]  剛才大家看了一段經文
[00:00:49.000 --> 00:00:51.000]  在歷史上的記載
[00:00:51.000 --> 00:00:55.000]  當然這一段的記載
[00:00:55.000 --> 00:00:59.000]  不是所有人都相信
[00:00:59.000 --> 00:01:00.000]  就算基督徒
[00:01:00.000 --> 00:01:03.000]  很多時候都參信叛逆
[00:01:03.000 --> 00:01:04.000]  是不是這樣?
[00:01:04.000 --> 00:01:05.000]  可不可以這樣?
[00:01:05.000 --> 00:01:07.000]  當然在歷史上
[00:01:07.000 --> 00:01:08.000]  有些歷史學家
[00:01:08.000 --> 00:01:09.000]  有些考古學家
[00:01:09.000 --> 00:01:12.000]  都嘗試去找一些證據
[00:01:12.000 --> 00:01:16.000]  其實大自然發生很多事案
[00:01:16.000 --> 00:01:18.000]  我想單憑我們的腦袋
[00:01:18.000 --> 00:01:20.000]  能夠明白了解的
[00:01:20.000 --> 00:01:22.000]  是很有限的
[00:01:22.000 --> 00:01:25.000]  而這一段的記載裡面
[00:01:25.000 --> 00:01:26.000]  讓我們看到
[00:01:26.000 --> 00:01:30.000]  約書亞如何帶領神的百姓
[00:01:30.000 --> 00:01:31.000]  進入迦南庇
[00:01:31.000 --> 00:01:33.000]  這個記載
[00:01:33.000 --> 00:01:34.000]  其中有一句說話
[00:01:34.000 --> 00:01:35.000]  就是說
[00:01:35.000 --> 00:01:37.000]  當行的路
[00:01:37.000 --> 00:01:39.000]  不可
[00:01:39.000 --> 00:01:41.000]  吩咐你們要知道
[00:01:41.000 --> 00:01:44.000]  使你們知道所當走的路
[00:01:44.000 --> 00:01:45.000]  因為這條路
[00:01:45.000 --> 00:01:47.000]  你們向來沒有走過
[00:01:47.000 --> 00:01:49.000]  今天在我們中間聚會
[00:01:49.000 --> 00:01:51.000]  無論你們年紀是長
