
[00:00:00.000 --> 00:00:06.840]  今天我們一起看的經文是馬太福音第9章35-10章一節幾節的經文
[00:00:06.840 --> 00:00:10.640]  今天我們的題目是一起收莊稼
[00:00:10.640 --> 00:00:14.720]  我深深感受到聖經裡所說
[00:00:14.720 --> 00:00:16.960]  要收的莊稼多
[00:00:16.960 --> 00:00:19.800]  但是作供的人少
[00:00:19.800 --> 00:00:26.320]  在馬太福音第4章23節開始記載著耶穌出來傳道
[00:00:26.320 --> 00:00:28.440]  在馬太福音第4章這樣說
[00:00:28.440 --> 00:00:31.960]  加利利是主要一帶傳道的地方
[00:00:31.960 --> 00:00:33.400]  耶穌走遍了加利利
[00:00:33.400 --> 00:00:35.840]  在各堂會裡面教訓人
[00:00:35.840 --> 00:00:37.080]  傳天國的福音
[00:00:37.080 --> 00:00:39.400]  醫治百姓各樣的疾病
[00:00:39.400 --> 00:00:42.840]  後來有很多人
[00:00:42.840 --> 00:00:45.920]  聽到耶穌很厲害
[00:00:45.920 --> 00:00:48.320]  說的話和做的神蹟奇事
[00:00:48.320 --> 00:00:49.560]  醫病很厲害
[00:00:49.560 --> 00:00:52.480]  有很多人跟著耶穌一起走
[00:00:52.480 --> 00:00:54.120]  耶穌走到哪裡就去哪裡
[00:00:54.120 --> 00:00:57.960]  所以在第5第6第7章
[00:00:57.960 --> 00:00:59.160]  有很出名的
[00:00:59.160 --> 00:01:01.160]  耶穌去到一個地方
[00:01:01.160 --> 00:01:05.440]  上一個山在平原上對著會眾
[00:01:05.440 --> 00:01:07.320]  在那裡教導他們
[00:01:07.320 --> 00:01:09.320]  這個是登山補訓
[00:01:09.320 --> 00:01:11.880]  第8第9章主要是說
[00:01:11.880 --> 00:01:14.040]  耶穌實際做了很多神蹟
[00:01:14.040 --> 00:01:16.560]  趕鬼治病
[00:01:16.560 --> 00:01:18.400]  很忙很忙很忙
[00:01:18.400 --> 00:01:22.360]  而今天主席和大家一起讀這段經文
[00:01:22.360 --> 00:01:23.680]  告訴我們
[00:01:23.680 --> 00:01:27.600]  主耶穌同樣繼續走遍加利利各城各鄉
[00:01:27.600 --> 00:01:29.720]  好像做了一個短的總結
[00:01:29.720 --> 00:01:31.920]  對前面的工作做一個短的總結
[00:01:31.920 --> 00:01:33.520]  耶穌做了很多事
[00:01:33.520 --> 00:01:34.840]  走了很多的路
[00:01:34.840 --> 00:01:38.760]  那時候加利利有很多人聚集在這裡
[00:01:38.760 --> 00:01:40.120]  不單加利利的人
[00:01:40.120 --> 00:01:43.080]  甚至有很多不同的人來自很多不同的地方
[00:01:43.080 --> 00:01:44.680]  要聽耶穌
[00:01:44.680 --> 00:01:48.520]  要看看耶穌究竟有什麼厲害有什麼料
[00:01:48.520 --> 00:01:53.520]  當時耶穌真的有很多人要去兼顧要去照顧
[00:01:53.520 --> 00:01:57.200]  這群人很想經歷一些新的事情
[00:01:57.200 --> 00:02:00.960]  甚至他們心裏想著這個彌賽亞
[00:02:00.960 --> 00:02:02.720]  他們很想認識更多
[00:02:02.720 --> 00:02:09.160]  他們跟著耶穌
