
[00:00:00.000 --> 00:00:03.440]  我小時候很喜歡踢球
[00:00:03.440 --> 00:00:05.920]  但在香港的學校
[00:00:05.920 --> 00:00:07.040]  大家都知道
[00:00:07.040 --> 00:00:10.800]  沒有很多地方讓我們踢球
[00:00:10.800 --> 00:00:12.960]  很多時候可以踢球的地方
[00:00:12.960 --> 00:00:16.560]  有些高班的師兄去了踢
[00:00:16.560 --> 00:00:18.800]  於是我們唯有去哪裡踢呢?
[00:00:18.800 --> 00:00:20.720]  我小時候讀書的時候
[00:00:20.720 --> 00:00:24.400]  我們和一班同學在後巷踢球
[00:00:24.400 --> 00:00:26.320]  在後巷踢球
[00:00:26.320 --> 00:00:29.840]  其實只可以踢三人足球
[00:00:29.840 --> 00:00:32.880]  就是三人對三人的足球
[00:00:32.880 --> 00:00:36.480]  那時候我和兩個同學組成了一個組合
[00:00:36.480 --> 00:00:38.800]  叫做三條糧
[00:00:38.800 --> 00:00:42.320]  為什麼叫做三條糧大家都應該知道了
[00:00:42.320 --> 00:00:44.400]  因為我們三個同學
[00:00:44.400 --> 00:00:45.840]  都是姓梁的
[00:00:45.840 --> 00:00:46.960]  很感謝神
[00:00:46.960 --> 00:00:48.560]  其中一位姓梁的同學
[00:00:48.560 --> 00:00:51.760]  他也是在同福堂聚會和服侍的
[00:00:51.760 --> 00:00:53.920]  我們這三條糧
[00:00:53.920 --> 00:00:55.520]  雖然我們都是姓梁
[00:00:55.520 --> 00:00:57.680]  但是我們的體型
[00:00:57.680 --> 00:00:59.440]  我們的長處
[00:00:59.440 --> 00:01:00.720]  都很不同的
[00:01:00.720 --> 00:01:02.080]  大家猜猜
[00:01:02.080 --> 00:01:04.880]  猜猜最後的那個是誰?
[00:01:04.880 --> 00:01:06.560]  當然是我
[00:01:06.560 --> 00:01:07.920]  讓你想象一下
[00:01:07.920 --> 00:01:10.160]  Eugene站在後巷
[00:01:10.160 --> 00:01:12.560]  還有沒有足球可以站在後面?
[00:01:12.560 --> 00:01:13.920]  沒有了
[00:01:13.920 --> 00:01:16.640]  所以我負責踢最後
