
[00:00:00.000 --> 00:00:03.600]  今天講到的經文是《路加福音》十六章
[00:00:03.600 --> 00:00:05.760]  十六章一到八節
[00:00:05.760 --> 00:00:07.400]  來到這裡
[00:00:07.400 --> 00:00:09.480]  你會讀到一個段落
[00:00:09.480 --> 00:00:13.600]  耶穌用比喻去教導門徒
[00:00:13.600 --> 00:00:14.600]  一個功課
[00:00:14.600 --> 00:00:16.240]  這個比喻來到第八節
[00:00:16.240 --> 00:00:20.920]  「今世之子比光明之子作事更精明」
[00:00:20.920 --> 00:00:25.240]  這裡你看到第一個我們很驚訝的描述
[00:00:25.240 --> 00:00:28.200]  就是一個稱為不義的管家
[00:00:28.440 --> 00:00:31.200]  但是他的老闆雖然炒他魷魚
[00:00:31.200 --> 00:00:33.280]  但是他讚賞他
[00:00:33.280 --> 00:00:36.280]  你有沒有試過被老闆炒魷魚
[00:00:36.280 --> 00:00:38.040]  然後他寫你的履歷表呢?
[00:00:38.040 --> 00:00:42.600]  不是寫履歷表,是寫你的參考信
[00:00:42.600 --> 00:00:43.520]  推薦信呢
[00:00:43.520 --> 00:00:44.280]  很推薦你
[00:00:44.280 --> 00:00:45.840]  這個人很值得請
[00:00:45.840 --> 00:00:47.080]  不過就炒了他
[00:00:47.080 --> 00:00:48.560]  這是第一個
[00:00:48.560 --> 00:00:51.200]  等一下我們會處理第一個很有趣的問題
[00:00:51.200 --> 00:00:53.000]  我們讀第九節
[00:00:53.000 --> 00:00:54.600]  是的
[00:00:54.600 --> 00:00:57.280]  第二個令我們驚訝的這段經文
[00:00:57.280 --> 00:00:58.800]  或者難解就是
[00:00:58.800 --> 00:01:02.680]  你要用你那些不義的錢財
[00:01:02.680 --> 00:01:03.920]  就是這些
[00:01:03.920 --> 00:01:05.240]  這是什麼顏色的?
[00:01:05.240 --> 00:01:07.480]  綠色的嗎?
[00:01:07.480 --> 00:01:09.160]  藍色的
[00:01:09.160 --> 00:01:10.400]  那我這裡有五萬元
[00:01:10.400 --> 00:01:12.680]  藍色的不是五十元嗎?
[00:01:12.680 --> 00:01:15.680]  是嗎?藍色的二十元嗎?
[00:01:15.680 --> 00:01:18.600]  我其實沒什麼錢的
[00:01:18.600 --> 00:01:21.000]  連什麼顏色的我都分不清
[00:01:21.000 --> 00:01:24.480]  他這裡說用你那些會過期
[00:01:24.480 --> 00:01:27.960]  會過期將來沒用的錢
[00:01:27.960 --> 00:01:30.560]  用來結交朋友
[00:01:30.560 --> 00:01:31.600]  那你知道了
[00:01:31.600 --> 00:01:33.360]  訂好桌子請我吃飯了
[00:01:33.360 --> 00:01:39.600]  他們將來會帶你進入永恆的住所
[00:01:39.600 --> 00:01:41.040]  奇怪了
[00:01:41.040 --> 00:01:43.040]  為什麼花錢結交朋友
[00:01:43.040 --> 00:01:45.280]  可以帶我去永恆呢?
[00:01:45.280 --> 00:01:46.200]  是不是?
[00:01:46.200 --> 00:01:48.000]  這個謎我們等一下會解釋
[00:01:48.000 --> 00:01:48.960]  我們讀下去
[00:01:48.960 --> 00:01:51.080]  第十到十三節
[00:01:51.080 --> 00:01:51.960]  一二三
[00:01:53.000 --> 00:01:55.120]  這一段你留意第十二節
[00:01:55.120 --> 00:01:56.960]  你再讀一次第十二節
[00:01:56.960 --> 00:01:57.640]  預備起
[00:01:57.640 --> 00:01:59.680]  這一節更加奇怪
[00:01:59.680 --> 00:02:03.080]  如果你在別人的東西上不忠心
[00:02:03.080 --> 00:02:06.040]  誰會將你的東西還給你呢?
[00:02:06.040 --> 00:02:07.800]  你有沒有想過
[00:02:07.800 --> 00:02:09.920]  你的東西為什麼會還給你呢?
[00:02:09.920 --> 00:02:11.720]  明明是我的東西
[00:02:11.720 --> 00:02:13.040]  要你給我
[00:02:13.040 --> 00:02:14.520]  那還是我呢?
[00:02:14.520 --> 00:02:15.800]  你明白嗎?
[00:02:15.800 --> 00:02:17.960]  你明明這裡不明白嗎?
[00:02:17.960 --> 00:02:19.160]  對了
[00:02:19.160 --> 00:02:22.160]  誰會將你的東西還給你呢?
[00:02:23.320 --> 00:02:26.760]  你簡直要看醫生
[00:02:26.760 --> 00:02:29.120]  我的東西怎麼會別人還給我呢?
[00:02:29.120 --> 00:02:30.480]  除了我媽媽
[00:02:30.480 --> 00:02:32.400]  媽媽的東西是我的
[00:02:32.400 --> 00:02:33.720]  不過在媽媽那裡
[00:02:33.720 --> 00:02:38.120]  但是這段經文有三個特點
[00:02:38.120 --> 00:02:40.080]  這三個特點就是我今天所說的
[00:02:40.080 --> 00:02:41.880]  那三個核心的思想
[00:02:41.880 --> 00:02:44.080]  一個不義的管家比喻
[00:02:44.080 --> 00:02:46.240]  我們一起在神面前再禱告
[00:02:46.240 --> 00:02:50.000]  求主帶領我們進入祂的真理
[00:02:51.320 --> 00:02:53.160]  基督上帝我們仰望祢
[00:02:53.160 --> 00:02:56.800]  我們的信仰不能堅尼地
[00:02:56.800 --> 00:02:59.160]  我們的信仰要到地
[00:02:59.160 --> 00:03:01.400]  求祢幫我們明白
[00:03:01.400 --> 00:03:04.320]  明白祢的真理
[00:03:04.320 --> 00:03:09.520]  指教我們思想生命有轉化
[00:03:09.520 --> 00:03:13.720]  以致我們掌握到生命的真理
[00:03:13.720 --> 00:03:15.320]  掌握到永恆
[00:03:15.320 --> 00:03:17.600]  對我們整個人生
[00:03:17.600 --> 00:03:21.200]  讓我們知道我們只是一個管家的身份
[00:03:21.720 --> 00:03:23.120]  今世都要過去
[00:03:23.120 --> 00:03:25.000]  我們要追求永恆
[00:03:25.000 --> 00:03:28.440]  永恆才是祢給我們最大的心意
[00:03:28.440 --> 00:03:32.560]  求主祢幫我們認識清楚我們自己的身份
[00:03:32.560 --> 00:03:34.640]  只不過是一個管家
[00:03:34.640 --> 00:03:39.040]  求主幫我們懂得運用我們所擁有
[00:03:39.040 --> 00:03:41.480]  各樣從祢領受而來的
