
[00:00:00.000 --> 00:00:02.000]  我的同事跟我說
[00:00:02.000 --> 00:00:06.000]  強哥,你這段聖經經常在一些特別場合才說
[00:00:06.000 --> 00:00:11.000]  我又不想今天用一個特別場合的方式跟你們說這段聖經
[00:00:11.000 --> 00:00:16.000]  但是又很難去打破這種感受
[00:00:16.000 --> 00:00:21.000]  但是都願意靠著聖靈帶領著我們
[00:00:21.000 --> 00:00:27.000]  去進入這首很有智慧、很有深度的一段詩歌
[00:00:27.000 --> 00:00:30.000]  讓我們一起來同心同意
[00:00:30.000 --> 00:00:34.000]  靠著我們去仰望你的恩手帶領著我們
[00:00:34.000 --> 00:00:37.000]  靠聖靈去進入我們的心裡面
[00:00:37.000 --> 00:00:40.000]  特別是進入僕人的心裡面
[00:00:40.000 --> 00:00:43.000]  講你想我講的東西
[00:00:43.000 --> 00:00:45.000]  講值得講的東西
[00:00:45.000 --> 00:00:51.000]  你只要真的這個訊息是由你而發出來
[00:00:51.000 --> 00:00:53.000]  去激勵我們的心
[00:00:53.000 --> 00:00:59.000]  面對著在生活裡面種種的困難和挑戰
[00:00:59.000 --> 00:01:02.000]  種種給我們很多的壓力裡面
[00:01:02.000 --> 00:01:07.000]  也都仍然有力的去榮耀主你的名
[00:01:07.000 --> 00:01:08.000]  我們仰望主的帶領
[00:01:08.000 --> 00:01:10.000]  祈禱奉耶穌基督聖名祈求
[00:01:10.000 --> 00:01:11.000]  阿門
[00:01:11.000 --> 00:01:14.000]  傳道書剛才那段經文
[00:01:14.000 --> 00:01:19.000]  不知道你們在讀的時候有什麼感受
[00:01:19.000 --> 00:01:23.000]  可能我們對於整段傳道書
[00:01:23.000 --> 00:01:31.000]  都有一種很難以完全完整的去理解當中的感受
[00:01:31.000 --> 00:01:34.000]  特別連續讀出二至八節裡面
[00:01:34.000 --> 00:01:37.000]  那個十四個對比裡面
[00:01:37.000 --> 00:01:40.000]  究竟給你有什麼感受
[00:01:40.000 --> 00:01:43.000]  可能每個人有些不同
[00:01:43.000 --> 00:01:45.000]  但當我們去留心
[00:01:45.000 --> 00:01:48.000]  在傳道書裡面第三章的第一節一開始
[00:01:48.000 --> 00:01:50.000]  凡事都有定期
[00:01:50.000 --> 00:01:53.000]  天下每一事務都有定時
[00:01:53.000 --> 00:01:57.000]  究竟他所說的是不是人生的規律
[00:01:57.000 --> 00:02:02.000]  在人世間裡面的循環
[00:02:02.000 --> 00:02:04.000]  還是說在循環背後
[00:02:04.000 --> 00:02:08.000]  傳道者想我們多想一點
[00:02:08.000 --> 00:02:11.000]  定時是什麼意思呢
[00:02:11.000 --> 00:02:16.000]  如果我們細心地去看看當中第一節裡面
[00:02:16.000 --> 00:02:20.000]  可能掌握到一個這樣的意思
[00:02:20.000 --> 00:02:25.000]  所有東西都有它的規律
[00:02:25.000 --> 00:02:27.000]  在日光之下
[00:02:27.000 --> 00:02:28.000]  所有的事情
[00:02:28.000 --> 00:02:33.000]  所有期望都有時有後
[00:02:33.000 --> 00:02:36.000]  在我去理解這一節經文的時候
[00:02:36.000 --> 00:02:39.000]  我覺得中國人說的是有時有後
[00:02:39.000 --> 00:02:42.000]  其實很有它的深度
[00:02:42.000 --> 00:02:46.000]  有時有後是說定了的事情
[00:02:46.000 --> 00:02:48.000]  是不是時間表
[00:02:48.000 --> 00:02:51.000]  我們上學上班的那種有時有後呢
[00:02:51.000 --> 00:02:54.000]  還是說在我們人生的某一刻
[00:02:54.000 --> 00:02:56.000]  某一個日子當中
[00:02:56.000 --> 00:02:59.000]  就有這份表達
[00:02:59.000 --> 00:03:02.000]  有這份感慨
[00:03:02.000 --> 00:03:05.000]  有時有後的事情出現
[00:03:05.000 --> 00:03:09.000]  這就是傳道書裡面那種關鍵
[00:03:09.000 --> 00:03:12.000]  那種情感
[00:03:12.000 --> 00:03:15.000]  傳道書在二至八節裡面
[00:03:15.000 --> 00:03:18.000]  用了十四個對比
[00:03:18.000 --> 00:03:19.000]  如果你細心看清楚
[00:03:19.000 --> 00:03:21.000]  是十四個對立
[00:03:21.000 --> 00:03:23.000]  這個對立是矛盾的對立
[00:03:23.000 --> 00:03:27.000]  是衝突的對立
[00:03:27.000 --> 00:03:29.000]  它反映了人生裡面
[00:03:29.000 --> 00:03:33.000]  很多很多不同的一個
[00:03:33.000 --> 00:03:35.000]  嚴防
[00:03:35.000 --> 00:03:37.000]  第二第三節裡面
[00:03:37.000 --> 00:03:39.000]  如果我們統一去理解
[00:03:39.000 --> 00:03:42.000]  是說生與死
[00:03:42.000 --> 00:03:44.000]  是經營的問題
[00:03:44.000 --> 00:03:46.000]  是處事的問題
[00:03:46.000 --> 00:03:48.000]  種種裡面的對立
[00:03:48.000 --> 00:03:50.000]  第四第五節裡面
[00:03:50.000 --> 00:03:52.000]  是說了在關係上
[00:03:52.000 --> 00:03:54.000]  是在情感上
[00:03:54.000 --> 00:03:56.000]  裡面種種的對立
[00:03:56.000 --> 00:04:00.000]  第六節第七節
[00:04:00.000 --> 00:04:03.000]  是說處事的方式
[00:04:03.000 --> 00:04:06.000]  那種的對立
[00:04:06.000 --> 00:04:08.000]  第八節又回到一種
[00:04:08.000 --> 00:04:11.000]  情感上的對立
[00:04:11.000 --> 00:04:13.000]  如果我們去概括了
[00:04:13.000 --> 00:04:16.000]  這十四個對比
[00:04:16.000 --> 00:04:19.000]  或者我們可以用一些比較
[00:04:19.000 --> 00:04:22.000]  我們明白一些容易去領會的話
[00:04:22.000 --> 00:04:24.000]  就是當中包含了
[00:04:24.000 --> 00:04:29.000]  人生裡面的生勞病死
[00:04:29.000 --> 00:04:31.000]  悲歡離合
[00:04:31.000 --> 00:04:35.000]  恩怨情仇
[00:04:35.000 --> 00:04:37.000]  傳道者將整個人生
[00:04:37.000 --> 00:04:41.000]  就用了這十四個對比來概括
[00:04:41.000 --> 00:04:46.000]  表達出當中的交替
[00:04:46.000 --> 00:04:47.000]  甚至乎
[00:04:47.000 --> 00:04:49.000]  當我們去細心重理解
[00:04:49.000 --> 00:04:51.000]  有時定時
[00:04:51.000 --> 00:04:53.000]  這個的有時有後
[00:04:53.000 --> 00:04:56.000]  那種的感覺的時候
[00:04:56.000 --> 00:04:59.000]  我們多少會體會出
[00:04:59.000 --> 00:05:02.000]  當中的無常
[00:05:02.000 --> 00:05:05.000]  體會出當中的不定
[00:05:05.000 --> 00:05:07.000]  甚至乎
[00:05:07.000 --> 00:05:09.000]  我們開始感受到
[00:05:09.000 --> 00:05:14.000]  傳道者那份無奈的感覺
[00:05:14.000 --> 00:05:16.000]  傳道書的作者
[00:05:16.000 --> 00:05:19.000]  在當中的表達
[00:05:19.000 --> 00:05:22.000]  或者你會覺得
[00:05:22.000 --> 00:05:25.000]  有什麼特別呢
[00:05:25.000 --> 00:05:29.000]  在這段稱之為時間之詩
[00:05:29.000 --> 00:05:32.000]  每樣事物都有它的時間的出現
