
[00:00:00.000 --> 00:00:02.000]  好,多謝施班基獻唱
[00:00:02.000 --> 00:00:04.000]  請召會平安
[00:00:04.000 --> 00:00:06.000]  (平安)
[00:00:06.000 --> 00:00:09.000]  今日要同大家講呢,就係你跟從我吧
[00:00:09.000 --> 00:00:12.000]  咁呢個題目,或者我地最後先分享啦
[00:00:12.000 --> 00:00:14.000]  咁,最主要呢
[00:00:14.000 --> 00:00:16.000]  就係因為呢,我地團隊呢
[00:00:16.000 --> 00:00:18.000]  黎緊係下個主日開始
[00:00:18.000 --> 00:00:20.000]  十月份,十一月,十二月
[00:00:20.000 --> 00:00:22.000]  咁我地呢,就會安排左呢
[00:00:22.000 --> 00:00:24.000]  我地每一位嘅同工
[00:00:24.000 --> 00:00:26.000]  姐係本身我地嘅同工啦,外來講完唔計
[00:00:26.000 --> 00:00:28.000]  咁我地呢,就會講
[00:00:28.000 --> 00:00:30.000]  彼得前書嘅
[00:00:30.000 --> 00:00:32.000]  咁彼得前書顧名思義咁
[00:00:32.000 --> 00:00:34.000]  大家都知,或者引證之外呢
[00:00:34.000 --> 00:00:36.000]  我地都知道係彼得寫嘅
[00:00:36.000 --> 00:00:38.000]  咁所以呢,係進入十月之前
[00:00:38.000 --> 00:00:40.000]  呢個彼得前書嘅
[00:00:40.000 --> 00:00:42.000]  講到之前,我不如同大家去
[00:00:42.000 --> 00:00:44.000]  講下彼得啦,好唔好
[00:00:44.000 --> 00:00:46.000]  唔知大家對彼得嘅認識
[00:00:46.000 --> 00:00:48.000]  係點呢,咁樣
[00:00:48.000 --> 00:00:50.000]  咁呢,我就揀左幅圖畫
[00:00:50.000 --> 00:00:52.000]  咁呢幅圖畫呢,可能大家都好熟架啦
[00:00:52.000 --> 00:00:54.000]  睇得清唔清楚呀
[00:00:54.000 --> 00:00:56.000]  麻麻地,應該係嘛
[00:00:56.000 --> 00:00:58.000]  OK,我睇到啦
[00:00:58.000 --> 00:01:00.000]  呢幅呢,就係好著名嘅
[00:01:00.000 --> 00:01:02.000]  達文西嘅一幅嘅
[00:01:02.000 --> 00:01:04.000]  最後晚餐啦
[00:01:04.000 --> 00:01:06.000]  咁呢,就有十二個門徒
[00:01:06.000 --> 00:01:08.000]  加埋主耶穌嘅
[00:01:08.000 --> 00:01:10.000]  咁裏面呢,有啲字,大家都
[00:01:10.000 --> 00:01:12.000]  睇到啦,耶穌就喺呢度啦
[00:01:12.000 --> 00:01:14.000]  係啦
[00:01:14.000 --> 00:01:16.000]  咁呢個呢,就係嗰個
[00:01:16.000 --> 00:01:18.000]  阿約翰喺隔離啦
[00:01:18.000 --> 00:01:20.000]  呢個呢,就係彼得
[00:01:20.000 --> 00:01:22.000]  睇到我,跟住呢,呢個猶大
[00:01:22.000 --> 00:01:24.000]  好啦,咁我地呢
