
[00:00:00.000 --> 00:00:03.000]  我們聖經就讀到這裡
[00:00:03.000 --> 00:00:06.000]  我們從這篇詩篇
[00:00:06.000 --> 00:00:09.000]  非常美麗的詩篇
[00:00:09.000 --> 00:00:14.000]  一起我們來思想到神體制
[00:00:14.000 --> 00:00:20.000]  神很願意我們人能夠來認識祂
[00:00:20.000 --> 00:00:23.000]  但是我們人跟神距離這麼遠
[00:00:23.000 --> 00:00:25.000]  神也看不見
[00:00:25.000 --> 00:00:26.000]  那神怎麼辦呢?
[00:00:26.000 --> 00:00:33.000]  他就接著大自然和神的話來啟示祂的自己
[00:00:33.000 --> 00:00:36.000]  我們前面第一節讀到第六節的話
[00:00:36.000 --> 00:00:41.000]  是講到神接著大自然來啟示祂的自己
[00:00:41.000 --> 00:00:45.000]  從第七節到第八節、第九節
[00:00:45.000 --> 00:00:51.000]  講到神接著祂的律法、祂的話來啟示祂自己
[00:00:51.000 --> 00:00:58.000]  神很願意各方面叫我們能夠來認識祂
[00:00:58.000 --> 00:01:02.000]  那我們今天就來看一看
[00:01:02.000 --> 00:01:09.000]  這詩篇給我們所要告訴我們的是什麼內容
[00:01:09.000 --> 00:01:13.000]  第一部分我們要看到自然的啟示
[00:01:13.000 --> 00:01:20.000]  就是神接著大自然來啟示祂的自己
[00:01:20.000 --> 00:01:23.000]  第一節、第二節就說到
[00:01:23.000 --> 00:01:26.000]  諸天述說神的榮耀
[00:01:26.000 --> 00:01:29.000]  穹蒼傳揚祂的手段
[00:01:29.000 --> 00:01:32.000]  這樂到那樂發出言語
[00:01:32.000 --> 00:01:35.000]  這夜到那夜傳出知識
[00:01:35.000 --> 00:01:41.000]  這裡講到述說神的榮耀
[00:01:41.000 --> 00:01:46.000]  這個述說的意思是用現代式
[00:01:46.000 --> 00:01:49.000]  意思在述說
[00:01:49.000 --> 00:01:57.000]  所以就說到不管多長的年日
[00:01:57.000 --> 00:02:02.000]  天地萬物都在講神的榮耀
[00:02:02.000 --> 00:02:07.000]  上次我們講到燭影我們的榮耀
[00:02:07.000 --> 00:02:13.000]  神就要讓榮耀被人都能看見
[00:02:13.000 --> 00:02:18.000]  所以人被造就是為了神的榮耀
[00:02:18.000 --> 00:02:22.000]  所以神要我們來認識祂的榮耀
[00:02:22.000 --> 00:02:26.000]  所以祂就接著天、諸天
[00:02:26.000 --> 00:02:29.000]  還不是說單單我們看見天
[00:02:29.000 --> 00:02:32.000]  聖經說天上的天
[00:02:32.000 --> 00:02:34.000]  這宇宙是個很大的
[00:02:34.000 --> 00:02:41.000]  我們所處的一個在地球是很渺小的一個東西
[00:02:41.000 --> 00:02:44.000]  我們最最近的
[00:02:44.000 --> 00:02:49.000]  我們從我們的太陽系要到另外一個恆星太陽系的話
[00:02:49.000 --> 00:02:53.000]  光要走四年
[00:02:53.000 --> 00:02:58.000]  那是個很長的距離
