
[00:00:00.000 --> 00:00:02.200]  主啊!我們感謝祢!讚美祢!
[00:00:02.200 --> 00:00:05.700]  因為祢的吩咐就是要我們在愛裏合一
[00:00:05.700 --> 00:00:07.300]  我們要愛人如己
[00:00:07.300 --> 00:00:09.600]  我們活出耶穌的大誡命
[00:00:09.600 --> 00:00:13.600]  以至於教會就是一個彰顯神美善的地方
[00:00:13.600 --> 00:00:16.000]  我們讓我們身邊未認識祢的人
[00:00:16.000 --> 00:00:19.200]  當我們見證到我們有生命的好行為
[00:00:19.200 --> 00:00:22.200]  我們能夠彼此相愛彼此合一的時候
[00:00:22.200 --> 00:00:25.200]  眾人就認出我們在耶穌基督的名徒
[00:00:25.200 --> 00:00:27.400]  我們眾人就願意歸向祢
[00:00:27.400 --> 00:00:29.100]  歸榮耀頌贊給祢
[00:00:29.100 --> 00:00:31.900]  求神祢繼續的拖大保守引領我們
[00:00:31.900 --> 00:00:33.300]  在未來一年裏面
[00:00:33.300 --> 00:00:36.100]  我們願意見到神祢的合一的靈
[00:00:36.100 --> 00:00:37.500]  繼續充充滿滿的
[00:00:37.500 --> 00:00:40.100]  充滿我們每一個崇利的人
[00:00:40.100 --> 00:00:42.100]  我們感謝祢!讚美祢!
[00:00:42.100 --> 00:00:44.800]  禱告!教託!奉耶穌基督的聖名祈求!
[00:00:44.800 --> 00:00:46.000]  Amen!
[00:00:46.000 --> 00:00:47.000]  好清楚!
[00:00:47.000 --> 00:00:48.900]  我們用掌聲多謝
[00:00:48.900 --> 00:00:51.200]  今天服侍我們的敬拜隊
[00:00:51.200 --> 00:00:53.800]  我們的迎新隊、影音隊、代禱隊
[00:00:53.800 --> 00:00:55.800]  他們一年到晚
[00:00:55.800 --> 00:00:59.400]  都不停地在教會崇拜裏面服侍
[00:00:59.400 --> 00:01:02.400]  他們的心神是悅立的
[00:01:02.400 --> 00:01:04.800]  我們去到十七章
[00:01:04.800 --> 00:01:06.200]  十六章?沒有十七章
[00:01:06.200 --> 00:01:09.200]  十六章的下半段是十七節開始
[00:01:09.200 --> 00:01:11.600]  上半節我們見到
[00:01:11.600 --> 00:01:14.400]  之前吳博士提過
[00:01:14.400 --> 00:01:17.600]  保羅教導在當中頭十六節
[00:01:17.600 --> 00:01:21.800]  是和了二十八個弟兄姊妹去問安
[00:01:21.800 --> 00:01:24.400]  但是突然風回路轉
[00:01:24.400 --> 00:01:27.200]  去到第十七節十六章的下半節
[00:01:27.200 --> 00:01:30.800]  突然保羅提醒我們
[00:01:30.800 --> 00:01:35.400]  要提防教會裏面有一些離間者和分裂者
[00:01:35.400 --> 00:01:37.800]  突然一個轉折
[00:01:37.800 --> 00:01:39.400]  之前說了好那一面
[00:01:39.400 --> 00:01:40.600]  問安問過安
[00:01:40.600 --> 00:01:43.400]  突然來到第十七節
[00:01:43.400 --> 00:01:46.400]  我今天的第一個分享題目就是
