
[00:00:00.000 --> 00:00:02.000]  各位來賓主我們是大興姐妹平安
[00:00:02.000 --> 00:00:07.000]  我們今次就去到馬可福音最後一章的經文
[00:00:07.000 --> 00:00:09.280]  我們從十月開始就看到現在
[00:00:09.280 --> 00:00:10.880]  都總共看了十六次
[00:00:10.880 --> 00:00:13.280]  我們當中的大興姐妹
[00:00:13.280 --> 00:00:17.520]  剛剛對上個禮拜就有浸禮
[00:00:17.520 --> 00:00:19.240]  都彰顯了神的榮耀
[00:00:19.240 --> 00:00:22.400]  將福音傳揚出去的時候藉著見證
[00:00:22.400 --> 00:00:25.720]  但是最近有個報告出來了
[00:00:25.720 --> 00:00:28.360]  在九月的期間有個調查報告
[00:00:28.360 --> 00:00:30.360]  在加拿大報告提到
[00:00:30.360 --> 00:00:34.560]  原來我們真的要將這個福音繼續傳出去
[00:00:34.560 --> 00:00:37.120]  因為看到這個統計數字
[00:00:37.120 --> 00:00:44.880]  由十八歲到六十五家的美國人口當中
[00:00:44.880 --> 00:00:49.560]  原來看到信主和所謂
[00:00:49.560 --> 00:00:51.080]  他說信主religious
[00:00:51.080 --> 00:00:54.520]  還有一些有這個spiritual
[00:00:54.520 --> 00:00:57.880]  我很spiritual但又不是有宗教的人
[00:00:57.880 --> 00:00:59.960]  都自稱有好spiritual的
[00:00:59.960 --> 00:01:03.720]  有各樣的行動各樣的調查
[00:01:03.720 --> 00:01:11.120]  就看到1999年和剛剛2023年
[00:01:11.120 --> 00:01:18.120]  信主的人有宗教信仰的都在下跌
[00:01:18.120 --> 00:01:20.640]  這些人口的比率在下跌
[00:01:20.640 --> 00:01:23.840]  尤其是如果留意了年輕的那一輩
[00:01:23.840 --> 00:01:25.640]  三十到四十九歲
[00:01:25.640 --> 00:01:28.640]  即是我那一年代 剛剛四十九歲
[00:01:28.640 --> 00:01:31.440]  這些年代是很嚴重的
[00:01:31.440 --> 00:01:37.400]  本來1999年的時候有51%的人有宗教信仰
[00:01:37.400 --> 00:01:39.520]  但是現在2023年
[00:01:39.520 --> 00:01:42.040]  剛剛九月的時候調查
[00:01:42.040 --> 00:01:43.520]  只剩下三十八年
[00:01:43.520 --> 00:01:47.080]  都是正反映了我們教會的現象
[00:01:47.080 --> 00:01:49.000]  其實這個現象都可能是
[00:01:49.000 --> 00:01:51.360]  不只是我們教會看到的現象
[00:01:51.360 --> 00:01:52.800]  他們去了哪呢
[00:01:52.800 --> 00:01:54.640]  不是去了另一間教會那麼簡單
[00:01:54.640 --> 00:01:56.040]  不是說現在去另一間
[00:01:56.040 --> 00:01:57.200]  不是這樣的
[00:01:57.200 --> 00:02:00.680]  整體上美國人口是出現這個情況
[00:02:00.680 --> 00:02:06.320]  這個難處我們要怎樣去處理呢
[00:02:06.320 --> 00:02:08.720]  其實在聖經裡面都提醒我們
[00:02:08.720 --> 00:02:11.320]  剛才大家所讀的經文當中
