
[00:00:00.000 --> 00:00:05.760]  各位領子,我們今天一齊來分享的經文
[00:00:05.760 --> 00:00:09.520]  就是《主日經課》當中的舊約
[00:00:09.520 --> 00:00:15.320]  在舊約出埃及記第一章第八節
[00:00:15.320 --> 00:00:18.280]  去到第二章第十節
[00:00:18.280 --> 00:00:24.800]  這是一個我們熟悉的故事
[00:00:24.800 --> 00:00:28.560]  出埃及記的第一章第八節
[00:00:28.560 --> 00:00:31.600]  去到第二章第十節
[00:00:31.600 --> 00:00:35.520]  這是大家可能都熟悉的故事
[00:00:35.520 --> 00:00:39.240]  摩西的出生
[00:00:39.240 --> 00:00:42.560]  以色列人在一個極大的痛苦的時候
[00:00:42.560 --> 00:00:50.640]  上帝準備帶領他們離開奴役的地方領袖
[00:00:50.640 --> 00:00:56.400]  在不同時代信徒都面對不同的挑戰
[00:00:56.400 --> 00:01:02.880]  大家都在那個時代裡面面對一些很大的考驗
[00:01:02.880 --> 00:01:05.400]  特別是對於教徒來說
[00:01:05.400 --> 00:01:07.520]  我們是要順應上帝
[00:01:07.520 --> 00:01:11.520]  還是要順應這個世界呢?
[00:01:11.520 --> 00:01:15.600]  雖然答案其實是很淺淺的
[00:01:15.600 --> 00:01:16.960]  問每一個教徒
[00:01:16.960 --> 00:01:18.640]  我相信沒有人會說
[00:01:18.640 --> 00:01:21.120]  我們現在是順應世界而不順應上帝
[00:01:21.120 --> 00:01:23.720]  這麼大逆不道的答案答出來
[00:01:23.720 --> 00:01:26.480]  肯定會被人一腳兜出教會
[00:01:26.480 --> 00:01:28.040]  做基督徒當然順應上帝
[00:01:28.040 --> 00:01:30.520]  怎會順應這個世界呢?
[00:01:30.520 --> 00:01:31.920]  但在現實
[00:01:31.920 --> 00:01:34.760]  在實際裡面又是怎樣的呢?
[00:01:34.760 --> 00:01:38.040]  我們是否真的能夠順應上帝
[00:01:38.040 --> 00:01:40.440]  而不順應這個世界
[00:01:40.440 --> 00:01:41.920]  因為相反
[00:01:41.920 --> 00:01:46.720]  口或頭腦上是知道要順應上帝
[00:01:46.720 --> 00:01:49.360]  但結果在實際生活裡面
[00:01:49.360 --> 00:01:53.400]  我們卻順應了這個世界
[00:01:53.400 --> 00:01:57.280]  我們知道如果我們去順服上帝
[00:01:57.280 --> 00:01:58.640]  有些時候
[00:01:58.640 --> 00:02:00.760]  甚至乎可能是很多時候
[00:02:00.760 --> 00:02:04.480]  是不能夠跟這個世界妥協
[00:02:04.480 --> 00:02:05.800]  結果呢
[00:02:05.800 --> 00:02:07.320]  如果是輕微的話
[00:02:07.320 --> 00:02:08.600]  代價是什麼呢?
[00:02:08.600 --> 00:02:11.480]  損失了一些可能是舒適
[00:02:11.480 --> 00:02:13.960]  或者是生活的享受
[00:02:13.960 --> 00:02:16.320]  但如果是很重的話
[00:02:16.320 --> 00:02:18.800]  可能會失去一條命
[00:02:18.800 --> 00:02:21.920]  特別我們讀教會歷史就知道
[00:02:21.920 --> 00:02:25.240]  當基督教還未成為國教的時候
[00:02:25.240 --> 00:02:27.880]  所有跟從耶穌基督的人
[00:02:27.880 --> 00:02:30.800]  其實是相當危險的
[00:02:30.800 --> 00:02:32.600]  對一個帝國來說
[00:02:32.600 --> 00:02:34.800]  他們這群人
[00:02:34.800 --> 00:02:38.800]  就會對國家的安全構成威脅
[00:02:38.800 --> 00:02:40.880]  所以就要剷除
[00:02:40.880 --> 00:02:42.360]  或者這些人
