
[00:00:00.000 --> 00:00:05.000]  我現在和大家看看《市圖行傳》第二章
[00:00:05.000 --> 00:00:11.000]  本來這章我是想在上個月之前講的
[00:00:11.000 --> 00:00:13.000]  但是上個月貪玩
[00:00:13.000 --> 00:00:15.000]  所以沒有時間
[00:00:15.000 --> 00:00:17.000]  不在這裏
[00:00:17.000 --> 00:00:22.000]  結果開完這次的報道會
[00:00:22.000 --> 00:00:26.000]  大家都知道看到什麼事
[00:00:26.000 --> 00:00:31.000]  當年《市圖》在五旬節的時候
[00:00:31.000 --> 00:00:33.000]  他們聚在一起
[00:00:33.000 --> 00:00:36.000]  他們在那裏等候
[00:00:36.000 --> 00:00:40.000]  有些怪事出現
[00:00:40.000 --> 00:00:44.000]  在第二章第二節說有些聲音
[00:00:44.000 --> 00:00:46.000]  有些風好像
[00:00:46.000 --> 00:00:48.000]  我不知道那些是什麼
[00:00:48.000 --> 00:00:50.000]  我們沒有見過
[00:00:50.000 --> 00:01:02.000]  第二章四節就說他們都被聖靈充滿
[00:01:02.000 --> 00:01:04.000]  不是聖靈充滿
[00:01:04.000 --> 00:01:06.000]  又落在他們頭上
[00:01:06.000 --> 00:01:08.000]  他們是被聖靈充滿
[00:01:08.000 --> 00:01:15.000]  他們同時《市圖》是因為這樣
[00:01:15.000 --> 00:01:24.000]  第一件事是他們可以開始和那些人講一些他們說的話
[00:01:24.000 --> 00:01:30.000]  當時因為在五旬節之前有一個特別的事情
[00:01:30.000 --> 00:01:31.000]  就是御御節
[00:01:31.000 --> 00:01:34.000]  五首日之前是御御節
[00:01:34.000 --> 00:01:42.000]  御節是他們很多猶太人會回到耶路撒冷來守這個節日
[00:01:42.000 --> 00:01:50.000]  因為御御節是紀念當初他們由埃及神帶領他們出來
[00:01:50.000 --> 00:01:57.000]  他們可以說是離開埃及的統治他們
[00:01:57.000 --> 00:02:02.000]  他們可以回到他們原來的地方
[00:02:02.000 --> 00:02:12.000]  五旬節不是紀念是慶祝他們收割的節日
[00:02:12.000 --> 00:02:17.000]  所以御節是他們特別要紀念
[00:02:17.000 --> 00:02:21.000]  他們回到耶路撒冷城之時在那裡
[00:02:21.000 --> 00:02:32.000]  但是當時發生一些事情就是耶穌在御節之後被釘十字架
[00:02:32.000 --> 00:02:39.000]  在《使徒行村》第二章記載的事情
[00:02:39.000 --> 00:02:46.000]  可以說是教會歷史裡面一個很重要的環節
[00:02:46.000 --> 00:02:50.000]  因為在當時發生的事情
[00:02:50.000 --> 00:02:55.000]  在御節之後耶穌被釘十字架
[00:02:55.000 --> 00:03:00.000]  我想門徒是有一點點不知所措
[00:03:00.000 --> 00:03:05.000]  因為他沒有想到耶穌會被釘十字架
[00:03:05.000 --> 00:03:07.000]  沒有人會想是這樣
[00:03:07.000 --> 00:03:12.000]  但是他們也看到耶穌復活
[00:03:12.000 --> 00:03:18.000]  人復活死了復活不是一件正常
[00:03:18.000 --> 00:03:25.000]  我們會看到的事情不是很多
[00:03:25.000 --> 00:03:29.000]  但是這是一個很特別
[00:03:29.000 --> 00:03:32.000]  他們看到耶穌被釘十字架而復活
[00:03:32.000 --> 00:03:37.000]  但是不久之後他們看到耶穌離開他們
[00:03:37.000 --> 00:03:44.000]  所以他們在他們心裡面事實上是有一點點不知所措
[00:03:44.000 --> 00:03:53.000]  我們今天會稍微再看一看《使徒行村》第二章
[00:03:53.000 --> 00:03:56.000]  今天我們讀了多少節
[00:03:56.000 --> 00:03:59.000]  第二章裡面有很長很長
[00:03:59.000 --> 00:04:05.000]  大家可以用時間回去看一看
[00:04:05.000 --> 00:04:14.000]  在這本書裡面我只看到最後的四十四十一節
[00:04:14.000 --> 00:04:17.000]  因為到四十四十一節的時候
[00:04:17.000 --> 00:04:24.000]  最後彼得起來在他們當中講了一篇道
[00:04:24.000 --> 00:04:28.000]  講道也好或者在他們當中做見證也好
[00:04:28.000 --> 00:04:33.000]  那次可能是彼得第一次犧牲講
[00:04:33.000 --> 00:04:36.000]  我們知道彼得是打魚
[00:04:36.000 --> 00:04:41.000]  我不會說他字都不懂
[00:04:41.000 --> 00:04:48.000]  但是打魚當時他們的水平不是那麼好
[00:04:48.000 --> 00:04:51.000]  但是彼得那天是在犧牲講
[00:04:51.000 --> 00:04:56.000]  講完之後當然不止是彼得
[00:04:56.000 --> 00:04:59.000]  我想還有他們其他的使徒也有
[00:04:59.000 --> 00:05:02.000]  那天門徒加了三千人
[00:05:02.000 --> 00:05:05.000]  或者我用另外一個話
[00:05:05.000 --> 00:05:09.000]  那天有三千人信主決志跟隨主
[00:05:09.000 --> 00:05:12.000]  這是一個很特別的
[00:05:12.000 --> 00:05:15.000]  我特別留意三千人
[00:05:15.000 --> 00:05:20.000]  三千人不是一個很小的數目
