
[00:00:00.000 --> 00:00:02.000]  頂姊妹主啊平安
[00:00:02.000 --> 00:00:04.240]  願意在現場的
[00:00:04.240 --> 00:00:05.760]  家中的頂姊妹都有
[00:00:05.760 --> 00:00:08.240]  上帝給我們的平安和喜樂
[00:00:08.240 --> 00:00:10.240]  讓我們都有個祈禱
[00:00:10.240 --> 00:00:12.240]  主啊我們求您幫助我們
[00:00:12.240 --> 00:00:14.240]  讓我們去認識您的說話
[00:00:14.240 --> 00:00:16.720]  讓我們在您的說話裡能夠得到力量
[00:00:16.720 --> 00:00:17.680]  得到根生
[00:00:17.680 --> 00:00:19.040]  求主您幫助我們
[00:00:19.040 --> 00:00:20.080]  聽我們祈禱
[00:00:20.080 --> 00:00:22.080]  是奉耶穌的名字而求
[00:00:22.080 --> 00:00:23.040]  阿們
[00:00:23.040 --> 00:00:25.680]  好 今天是農曆年的日子
[00:00:25.680 --> 00:00:28.240]  今天跟大家去思考的一段聖經
[00:00:28.240 --> 00:00:30.880]  題目叫《屬神有福》
[00:00:30.880 --> 00:00:32.880]  是的 屬神有福
[00:00:32.880 --> 00:00:34.880]  這裡有十二生肖
[00:00:34.880 --> 00:00:36.880]  剛剛已經過了
[00:00:36.880 --> 00:00:37.840]  套年了
[00:00:37.840 --> 00:00:39.840]  現在去到農年的時間
[00:00:39.840 --> 00:00:43.600]  所以也值得我們在農曆年裡思想一段
[00:00:43.600 --> 00:00:45.600]  神給我們的說話
[00:00:45.600 --> 00:00:47.600]  一個很重要的經文
[00:00:47.600 --> 00:00:49.600]  在《真言》十章二十二節
[00:00:49.600 --> 00:00:51.600]  不過在未思考之前
[00:00:51.600 --> 00:00:53.600]  我們也要給一次祝福
[00:00:53.600 --> 00:00:55.600]  我們給一次祝福的時候
[00:00:55.600 --> 00:00:57.600]  很簡單
[00:00:57.600 --> 00:00:59.600]  今天的遊戲
[00:00:59.600 --> 00:01:01.600]  是這樣的
[00:01:01.600 --> 00:01:03.600]  稍後我會給大家一些提示
[00:01:03.600 --> 00:01:05.600]  那你懂得回答的
[00:01:05.600 --> 00:01:07.600]  很簡單
[00:01:07.600 --> 00:01:09.600]  稍後你就說出答案
[00:01:09.600 --> 00:01:11.600]  但你說出答案之前
[00:01:11.600 --> 00:01:13.600]  你還要說什麼呢
[00:01:13.600 --> 00:01:15.600]  祝大家
[00:01:15.600 --> 00:01:17.600]  嘟嘟嘟嘟這樣
[00:01:17.600 --> 00:01:19.600]  明白意思吧
[00:01:19.600 --> 00:01:21.600]  那為了
[00:01:21.600 --> 00:01:23.600]  我會下來樓下
[00:01:23.600 --> 00:01:25.600]  那你要回答
[00:01:25.600 --> 00:01:27.600]  我們先試一次
[00:01:27.600 --> 00:01:29.600]  大家一起試一下
[00:01:29.600 --> 00:01:31.600]  說一句話看看能不能做到
[00:01:31.600 --> 00:01:33.600]  好 第一個提一提
[00:01:33.600 --> 00:01:35.600]  你猜是什麼呢
[00:01:35.600 --> 00:01:37.600]  祝大家什麼
[00:01:37.600 --> 00:01:39.600]  不是
[00:01:39.600 --> 00:01:41.600]  新年
[00:01:41.600 --> 00:01:43.600]  就是二零二三到二零二四
[00:01:43.600 --> 00:01:45.600]  是新的一年
[00:01:45.600 --> 00:01:47.600]  快樂 笑著的
[00:01:47.600 --> 00:01:49.600]  稍後我會給你一個麥克風
[00:01:49.600 --> 00:01:51.600]  你就說祝大家
[00:01:51.600 --> 00:01:53.600]  祝現場的每一個弟兄姐妹
[00:01:53.600 --> 00:01:55.600]  年快樂
[00:01:55.600 --> 00:01:57.600]  明白嗎
[00:01:57.600 --> 00:01:59.600]  希望大家明白我的提示
[00:01:59.600 --> 00:02:01.600]  希望我的提示
[00:02:01.600 --> 00:02:03.600]  終於可以下來
[00:02:03.600 --> 00:02:05.600]  好
[00:02:05.600 --> 00:02:07.600]  給第二個提示看看
[00:02:07.600 --> 00:02:09.600]  誰懂得回答就舉手吧
[00:02:09.600 --> 00:02:11.600]  不用我捉你
[00:02:11.600 --> 00:02:13.600]  第二個提示
[00:02:13.600 --> 00:02:15.600]  祝大家龍馬精神
[00:02:15.600 --> 00:02:17.600]  謝謝 祝大家龍馬精神
[00:02:17.600 --> 00:02:19.600]  非常厲害
[00:02:19.600 --> 00:02:21.600]  你們真的很聰明
[00:02:21.600 --> 00:02:23.600]  好 看看第三個
[00:02:23.600 --> 00:02:25.600]  第三個
[00:02:25.600 --> 00:02:27.600]  祝大家什麼呢
[00:02:27.600 --> 00:02:29.600]  出入平安
[00:02:29.600 --> 00:02:31.600]  不是 答錯
[00:02:31.600 --> 00:02:33.600]  是的
[00:02:33.600 --> 00:02:35.600]  Amy
[00:02:35.600 --> 00:02:37.600]  祝大家出入平安
[00:02:37.600 --> 00:02:39.600]  是的 要祝大家
[00:02:39.600 --> 00:02:41.600]  要祝大家
[00:02:41.600 --> 00:02:43.600]  出入平安
[00:02:43.600 --> 00:02:45.600]  祝福每一個人
[00:02:45.600 --> 00:02:47.600]  好 看看第四題
[00:02:47.600 --> 00:02:49.600]  好 看看第四題是什麼呢
[00:02:49.600 --> 00:02:51.600]  這個是Alex
[00:02:51.600 --> 00:02:53.600]  祝大家
[00:02:53.600 --> 00:02:55.600]  大吉大利
[00:02:55.600 --> 00:02:57.600]  看看剛剛
[00:02:57.600 --> 00:02:59.600]  祝大家大吉大利
[00:02:59.600 --> 00:03:01.600]  好 看看下一題
[00:03:01.600 --> 00:03:03.600]  這個小小
[00:03:03.600 --> 00:03:05.600]  看看
[00:03:05.600 --> 00:03:07.600]  祝大家心想事成
[00:03:07.600 --> 00:03:09.600]  是的 祝大家心想事成
[00:03:09.600 --> 00:03:11.600]  祝福大家心想事成
[00:03:11.600 --> 00:03:13.600]  好 看看第六題
[00:03:13.600 --> 00:03:15.600]  好
[00:03:15.600 --> 00:03:17.600]  這個小小難度
[00:03:17.600 --> 00:03:19.600]  每個字拼出來
[00:03:19.600 --> 00:03:21.600]  好
[00:03:21.600 --> 00:03:23.600]  祝大家豐衣足食
[00:03:23.600 --> 00:03:25.600]  是的 祝大家豐衣足食
[00:03:25.600 --> 00:03:27.600]  哇
[00:03:27.600 --> 00:03:29.600]  你們的想法很厲害
[00:03:29.600 --> 00:03:31.600]  好 看看下一個
[00:03:31.600 --> 00:03:33.600]  這個難一點
[00:03:33.600 --> 00:03:37.600]  不是
[00:03:37.600 --> 00:03:39.600]  看看大家能不能想得通
[00:03:39.600 --> 00:03:43.600]  吉隆爾
[00:03:43.600 --> 00:03:45.600]  中間和右邊的照片
[00:03:45.600 --> 00:03:47.600]  是我的兒子
[00:03:47.600 --> 00:03:49.600]  這個可能有點難度
[00:03:49.600 --> 00:03:51.600]  因為大家不知道我的兒子叫什麼
[00:03:51.600 --> 00:03:53.600]  我的兒子叫天樂
[00:03:53.600 --> 00:03:55.600]  我的兒子叫天樂
[00:03:55.600 --> 00:03:57.600]  祝大家天天快樂
[00:03:57.600 --> 00:03:59.600]  不 和左邊的照片有什麼關係呢
[00:03:59.600 --> 00:04:01.600]  左邊的是什麼
[00:04:01.600 --> 00:04:03.600]  就是什麼
[00:04:03.600 --> 00:04:05.600]  沒人猜到
[00:04:05.600 --> 00:04:07.600]  哎呀 原來這麼難
[00:04:07.600 --> 00:04:09.600]  祝大家知足常樂
