
[00:00:00.000 --> 00:00:03.980]  題目是「人的智慧與神的智慧」
[00:00:03.980 --> 00:00:08.120]  這個大家都理解到我想說什麼了
[00:00:08.120 --> 00:00:09.400]  大概
[00:00:09.400 --> 00:00:14.960]  大家在這個年代都會用一些電子產品
[00:00:14.960 --> 00:00:17.560]  經常有些資訊飛來飛去
[00:00:17.560 --> 00:00:19.680]  很多時候特別是節日
[00:00:19.680 --> 00:00:21.640]  見到一些好東西
[00:00:21.640 --> 00:00:23.960]  有些人說話好聽
[00:00:23.960 --> 00:00:26.700]  你又會彈給別人分享一下
[00:00:26.700 --> 00:00:29.240]  於是經常串來串去
[00:00:29.240 --> 00:00:32.440]  有一些是很廢話
[00:00:32.440 --> 00:00:34.160]  不要串太多
[00:00:34.160 --> 00:00:37.460]  但是有些說得真的很好
[00:00:37.460 --> 00:00:39.960]  有幾句我收過
[00:00:39.960 --> 00:00:41.240]  真的說得很好
[00:00:41.240 --> 00:00:46.280]  在這裡就從這個開始給大家思考一下
[00:00:46.280 --> 00:00:49.240]  他寫了幾段說話
[00:00:49.240 --> 00:00:52.000]  第一段他是用英文寫的
[00:00:52.000 --> 00:00:54.840]  我就簡單地講他的意思
[00:00:54.840 --> 00:00:55.720]  他就說
[00:00:55.720 --> 00:00:57.920]  你知不知道為什麼在一輛車裡面
[00:00:57.920 --> 00:01:01.840]  車頭的玻璃很大一幅
[00:01:01.840 --> 00:01:04.360]  但是上面有倒後鏡
[00:01:04.360 --> 00:01:06.960]  倒後鏡很小
[00:01:06.960 --> 00:01:10.520]  他就從這裡想到一些意思
[00:01:10.520 --> 00:01:14.960]  所以就是說我們要向前看
[00:01:14.960 --> 00:01:16.000]  看多一點
[00:01:16.000 --> 00:01:17.360]  看前面
[00:01:17.360 --> 00:01:18.640]  看後面那些
[00:01:18.640 --> 00:01:20.120]  那些不是那麼重要
[00:01:20.120 --> 00:01:22.000]  不用看太多
[00:01:22.000 --> 00:01:23.920]  都挺有智慧的
[00:01:23.920 --> 00:01:25.000]  真的有智慧
[00:01:25.000 --> 00:01:26.520]  這是人間的智慧
[00:01:26.520 --> 00:01:28.120]  那真的是智慧
[00:01:28.120 --> 00:01:29.920]  另外有一段他說
[00:01:29.920 --> 00:01:32.200]  其實在這個世界
[00:01:32.200 --> 00:01:35.240]  我們的生命裡面很多事情都是暫時的
[00:01:35.240 --> 00:01:36.640]  不要那麼緊張
[00:01:36.640 --> 00:01:40.480]  如果好事情發生
[00:01:40.480 --> 00:01:42.480]  那就盡情享受
[00:01:42.480 --> 00:01:43.600]  是不是?
[00:01:43.600 --> 00:01:46.600]  但是如果不好
[00:01:46.600 --> 00:01:48.120]  都不用氣餒
[00:01:48.120 --> 00:01:49.360]  不用擔心
[00:01:49.360 --> 00:01:51.920]  它都不會很長久的
[00:01:51.920 --> 00:01:53.520]  因為都是短暫的
[00:01:53.520 --> 00:01:54.720]  所以
[00:01:54.720 --> 00:01:57.000]  咬緊牙關都過得了的
[00:01:57.000 --> 00:01:58.640]  又真的很有智慧
[00:01:58.640 --> 00:02:02.720]  不信主的人其實都可以從不同的方面
[00:02:02.720 --> 00:02:04.440]  領略到很多的智慧
[00:02:04.440 --> 00:02:06.120]  但其實很多這些智慧
[00:02:06.120 --> 00:02:07.400]  現在我告訴你
[00:02:07.400 --> 00:02:09.000]  都是從生而來的
[00:02:09.000 --> 00:02:13.080]  另一個有經典的句子
[00:02:13.080 --> 00:02:14.120]  他說
[00:02:14.120 --> 00:02:21.560]  憂慮不能夠將你明天的困難拿走的
[00:02:21.560 --> 00:02:23.240]  但是
[00:02:23.240 --> 00:02:26.040]  現在他就拿走你心裡的平安
[00:02:26.040 --> 00:02:27.800]  是不是?
[00:02:27.800 --> 00:02:29.680]  真是挺好的
[00:02:29.680 --> 00:02:31.240]  為什麼我說這些人
[00:02:31.240 --> 00:02:33.360]  人想出來的智慧
[00:02:33.360 --> 00:02:38.320]  其實都是從神那裡來的
[00:02:38.320 --> 00:02:39.600]  就是抄神的
[00:02:39.600 --> 00:02:41.000]  如果大家看看聖經
[00:02:41.000 --> 00:02:43.280]  都會知道剛才說的那幾句話
[00:02:43.280 --> 00:02:45.160]  我們聖經也有
[00:02:45.160 --> 00:02:48.640]  類似是這樣的方向來提示我們
[00:02:48.640 --> 00:02:52.360]  好像經常叫我們忘記背後
[00:02:53.520 --> 00:02:54.960]  有很多檢頭
[00:02:54.960 --> 00:02:56.200]  其他這句金句
[00:02:56.200 --> 00:02:59.520]  要我們忘記背後努力面前
[00:02:59.520 --> 00:03:00.400]  聖經說
[00:03:00.400 --> 00:03:01.680]  我們如果信了耶穌
[00:03:01.680 --> 00:03:03.480]  舊事已過
[00:03:03.480 --> 00:03:05.480]  都變成新的了
[00:03:05.480 --> 00:03:08.160]  以前舊的東西不用看太多了
[00:03:08.160 --> 00:03:09.520]  向前看
[00:03:09.520 --> 00:03:12.200]  向前面的目標看
[00:03:12.200 --> 00:03:14.240]  跟剛才第一句是不是很相似?
[00:03:14.240 --> 00:03:15.480]  是的
[00:03:15.480 --> 00:03:16.840]  我覺得他也是抄整件事
[00:03:16.840 --> 00:03:18.160]  因為聖經是久一點的
[00:03:18.160 --> 00:03:19.840]  2000年版本
[00:03:19.840 --> 00:03:23.440]  他的人間智慧也是最近出來的
[00:03:23.440 --> 00:03:25.120]  另一句就是
[00:03:25.120 --> 00:03:27.240]  說憂慮
[00:03:27.240 --> 00:03:29.240]  我們聖經也很出名
[00:03:29.240 --> 00:03:31.240]  經常有一句金句提到
[00:03:31.240 --> 00:03:33.920]  不要為明天憂慮
[00:03:33.920 --> 00:03:37.080]  因為一天的難處
[00:03:37.080 --> 00:03:39.080]  一天當就夠了
[00:03:39.080 --> 00:03:40.560]  你今天的困難
[00:03:40.560 --> 00:03:41.920]  搞定今天的困難
[00:03:41.920 --> 00:03:42.600]  夠了
[00:03:42.600 --> 00:03:45.160]  明天的困難不用太憂慮了
[00:03:45.160 --> 00:03:47.840]  就跟剛才那句叫我們不要憂慮一樣
[00:03:47.840 --> 00:03:49.240]  聖經也是這樣提醒我們
[00:03:49.240 --> 00:03:51.360]  所以聖經是神
[00:03:51.360 --> 00:03:54.440]  很多教導我們做人處世
[00:03:54.440 --> 00:03:56.640]  怎樣去面對一些問題的時候
[00:03:56.640 --> 00:03:58.640]  很大的智慧給了我們
[00:03:58.640 --> 00:04:02.160]  有一句就說
[00:04:02.160 --> 00:04:06.560]  很多人經歷一些困難、困境的時候
[00:04:06.560 --> 00:04:07.800]  就哎呀
[00:04:07.800 --> 00:04:09.200]  世界末日了
[00:04:09.200 --> 00:04:10.640]  很慘了
[00:04:10.640 --> 00:04:12.400]  其實很多人自殺
[00:04:12.400 --> 00:04:13.480]  很重要一點
[00:04:13.480 --> 00:04:16.480]  他就看不到再有前景
[00:04:16.480 --> 00:04:18.240]  他真的覺得
[00:04:18.240 --> 00:04:19.760]  什麼都沒有了
[00:04:19.760 --> 00:04:21.400]  完結了
[00:04:21.400 --> 00:04:23.080]  他這句話用英文說
[00:04:23.080 --> 00:04:26.960]  ENDA
[00:04:26.960 --> 00:04:28.960]  如果你看電影、看西片
[00:04:28.960 --> 00:04:30.200]  看到最尾
[00:04:30.200 --> 00:04:31.360]  DEN
[00:04:31.360 --> 00:04:32.560]  ENDA
[00:04:32.560 --> 00:04:34.560]  完啦
[00:04:34.560 --> 00:04:36.160]  他就提醒我們
[00:04:36.160 --> 00:04:39.640]  其實很多時候不是真的一個完結
[00:04:39.640 --> 00:04:42.600]  而是一個轉彎位
[00:04:42.600 --> 00:04:44.280]  在前面加一個B字
[00:04:44.280 --> 00:04:46.280]  是一個BEND
[00:04:46.280 --> 00:04:48.280]  你看下去好像沒有路走
[00:04:48.280 --> 00:04:49.600]  其實你走近一點的時候
[00:04:49.600 --> 00:04:53.440]  哎呀有個彎可以轉出去的
