
[00:00:00.000 --> 00:00:03.920]  今天講的題目就是「誰是我的鄰舍」
[00:00:03.920 --> 00:00:09.220]  用的經文 老家方是第十章25到37節
[00:00:09.220 --> 00:00:13.660]  這段聖經 我相信我們當中的弟兄姊妹一定不會陌生的
[00:00:13.660 --> 00:00:18.000]  甚至教外的人都懂得什麼叫做「好撒瑪利亞人」
[00:00:18.000 --> 00:00:21.760]  所以這段經文可以說是非常深入民間的
[00:00:21.760 --> 00:00:23.760]  但是我相信熟的經文
[00:00:23.760 --> 00:00:28.000]  有時候有些地方都需要重新被提醒的
[00:00:28.000 --> 00:00:29.720]  我們先將經文讀一次
[00:00:29.720 --> 00:00:34.220]  就是老家方第十章25到37節
[00:00:34.220 --> 00:00:35.720]  請一起讀出
[00:00:35.720 --> 00:00:39.720]  有一個律法師起來試探耶穌 說
[00:00:39.720 --> 00:00:44.480]  「夫子,我該做什麼才可以承受永生?」
[00:00:44.480 --> 00:00:46.060]  耶穌對他說
[00:00:46.060 --> 00:00:49.980]  「律法上寫的是什麼?」
[00:00:49.980 --> 00:00:51.360]  他回答說
[00:00:51.360 --> 00:00:56.320]  「你要盡心、盡性、盡力、盡意愛主你的神」
[00:00:56.320 --> 00:01:02.160]  「又要愛鄰舍而同自己」
[00:01:02.160 --> 00:01:05.720]  「你這樣行,就必不寧生」
[00:01:05.720 --> 00:01:17.720]  「那一樣要顯明自己」
[00:01:17.720 --> 00:01:22.160]  「落在強盜手中,他們剝去他的衣裳」
[00:01:22.160 --> 00:01:26.260]  「把他打個半死,就丟下他走了」
[00:01:26.260 --> 00:01:30.060]  「偶然有一個祭司從這條路下來」
[00:01:30.060 --> 00:01:33.260]  「看見他就從那邊過去了」
[00:01:33.260 --> 00:01:36.620]  「又有一個利美人來到這地方」
[00:01:36.620 --> 00:01:41.160]  「看見他就照樣」
[00:01:41.160 --> 00:01:45.520]  「唯有一個撒瑪利亞人行路來到那裡」
[00:01:45.520 --> 00:01:48.120]  「看見他就動了慈心」
[00:01:48.120 --> 00:01:52.120]  「上前用油和酒倒在他的雙處」
[00:01:52.120 --> 00:01:56.320]  「包裹好了,扶他騎上自己的牲口」
[00:01:56.320 --> 00:01:59.020]  「帶到店裡去照應他」
[00:01:59.020 --> 00:02:02.020]  「第二天拿出以前的錢來」
[00:02:02.020 --> 00:02:05.820]  「交給店主說:你且照應他」
[00:02:05.820 --> 00:02:09.820]  「此外所費用的,我活來必還你」
[00:02:09.820 --> 00:02:15.620]  「你想這三個人哪一個是落在強盜手中的鄰舍呢?」
[00:02:15.620 --> 00:02:22.420]  「他說,是連吶他的,耶穌說,你去照樣行罷」
[00:02:22.420 --> 00:02:24.920]  這段這麼熟悉的聖經,不知道大家有沒有留意到
[00:02:24.920 --> 00:02:29.720]  它寫的時候的模式
[00:02:29.720 --> 00:02:33.020]  原來這段經文主要由兩段
[00:02:33.020 --> 00:02:36.920]  就是耶穌和法師兩段對話所構成的
[00:02:36.920 --> 00:02:38.120]  不知道大家有沒有留意到
[00:02:38.120 --> 00:02:42.720]  那個經文主要內容是大家的對話
[00:02:42.720 --> 00:02:47.120]  而在對話裡面,當我們看到兩段經文
[00:02:47.120 --> 00:02:50.120]  兩個對話裡面,經文的模式一樣的時候
[00:02:50.120 --> 00:02:54.320]  就更突顯了經文的主要訊息想說什麼
[00:02:54.320 --> 00:02:57.020]  或者我這樣解釋會比較清楚一點
[00:02:57.020 --> 00:03:00.020]  第一段的對話,律法師和耶穌的對話
[00:03:00.020 --> 00:03:03.120]  就是記在25到28節
[00:03:03.120 --> 00:03:04.520]  這段經文怎麼開始的呢?
[00:03:04.520 --> 00:03:06.020]  原來是一個問題開始的
[00:03:06.020 --> 00:03:09.620]  律法師問我做些什麼才得到榮生
[00:03:09.620 --> 00:03:11.320]  是一個問題開始的
[00:03:11.320 --> 00:03:14.420]  耶穌就好像一些很會教學的人
[00:03:14.420 --> 00:03:16.820]  不是每個學生問的問題都要直接回答的
[00:03:16.820 --> 00:03:20.520]  有時候會直接回答,有時候會當頭怕惡
[00:03:20.520 --> 00:03:22.320]  有時候用另外一個方法
[00:03:22.320 --> 00:03:26.620]  耶穌用另外一個方法就是反問這個問問題的人
[00:03:26.620 --> 00:03:28.320]  一個問題
[00:03:28.320 --> 00:03:30.520]  耶穌問,律法是怎麼寫的?
[00:03:30.520 --> 00:03:34.620]  特別是對著這個很熟悉舊約律法的這位專家
[00:03:34.620 --> 00:03:36.120]  律法是怎麼寫的?
[00:03:36.120 --> 00:03:40.420]  反過來,律法師由一個問問題的人
[00:03:40.420 --> 00:03:41.720]  變成要回答問題了
[00:03:41.720 --> 00:03:43.820]  所以這個律法師就回答
[00:03:43.820 --> 00:03:46.320]  他說要愛神、愛人
