
[00:00:00.000 --> 00:00:03.020]  在新年的時候,很多時候都會說富貴
[00:00:03.020 --> 00:00:05.700]  不過基督徒通常不會說恭喜發財
[00:00:05.700 --> 00:00:09.140]  就好像恭喜發財很不對
[00:00:09.140 --> 00:00:12.000]  今天我就想說一下這個話題
[00:00:12.000 --> 00:00:15.180]  通常如果你看到街外的賀詞
[00:00:15.180 --> 00:00:18.260]  很多時候就會說福如東海
[00:00:18.260 --> 00:00:21.300]  壽比南山,就是長命一點
[00:00:21.300 --> 00:00:24.000]  或者福很多
[00:00:24.000 --> 00:00:26.880]  祝報平安,起碼都有平安
[00:00:26.880 --> 00:00:29.040]  有福,蒙福
[00:00:29.040 --> 00:00:32.060]  亦都是花開富貴
[00:00:32.060 --> 00:00:35.060]  希望富貴好像花開得那麼多
[00:00:35.060 --> 00:00:38.100]  你買了一棵樹不開花就慘了,那年就很不開心了
[00:00:38.100 --> 00:00:41.420]  但是我們很多時候
[00:00:41.420 --> 00:00:44.340]  要真的去面對這個問題
[00:00:44.340 --> 00:00:47.900]  究竟富貴在你心裏面的地位是怎樣呢?
[00:00:47.900 --> 00:00:50.960]  我是在說真正的地位
[00:00:50.960 --> 00:00:54.040]  因為你的標準答案就是
[00:00:54.040 --> 00:00:56.880]  神是最重要,第二才是富貴
[00:00:56.880 --> 00:00:59.920]  但你真正的地位
[00:00:59.920 --> 00:01:00.920]  是不是真的這樣呢?
[00:01:00.920 --> 00:01:05.400]  這個留在默想的時候
[00:01:05.400 --> 00:01:08.260]  在神的面前去檢視一下
[00:01:08.260 --> 00:01:11.080]  究竟富貴在你心中的地位
[00:01:11.080 --> 00:01:14.080]  有多重要,你是掌握著富貴
[00:01:14.080 --> 00:01:17.040]  或者金錢、財物
[00:01:17.040 --> 00:01:19.320]  還是財物、金錢
[00:01:19.320 --> 00:01:20.940]  在掌握著你
[00:01:20.940 --> 00:01:23.160]  所以金錢
[00:01:23.160 --> 00:01:26.680]  究竟是善還是惡
[00:01:27.060 --> 00:01:29.880]  究竟基督徒好像有些卑諱
[00:01:29.880 --> 00:01:32.420]  我希望很多時候教牧族不要講錢
[00:01:32.420 --> 00:01:33.880]  因為講錢會失去感情
[00:01:33.880 --> 00:01:37.060]  今天剛剛這段經文不講錢是不能講的
[00:01:37.060 --> 00:01:39.940]  所以一定要講錢,還要是新年流流講錢
[00:01:39.940 --> 00:01:42.940]  不過我就想和大家分享
[00:01:42.940 --> 00:01:46.140]  究竟我們為什麼覺得好像是卑諱呢?
[00:01:46.140 --> 00:01:48.940]  好像是一些禁忌,就是Taboo來的
[00:01:48.940 --> 00:01:51.940]  講金錢好像不太好講
[00:01:51.940 --> 00:01:55.020]  因為很多時候我們基督徒去賀年的時候
[00:01:55.020 --> 00:01:58.020]  講平安、喜樂的心
[00:01:58.020 --> 00:02:01.020]  平安、喜樂、有福都是世界上的人都講的
[00:02:01.020 --> 00:02:04.020]  然後有些人不講
[00:02:04.020 --> 00:02:07.020]  就是愛主蒙福
[00:02:07.020 --> 00:02:10.020]  即是未信耶穌不會講這個
[00:02:10.020 --> 00:02:13.020]  但你也找不到供發財
[00:02:13.020 --> 00:02:16.020]  譬如我們其中一個想法
[00:02:16.020 --> 00:02:19.020]  就是被這段經文影響我們
[00:02:19.020 --> 00:02:22.020]  提摩太前書第六章九字十字說
[00:02:22.020 --> 00:02:25.020]  發財的人就陷在誘惑、網羅
[00:02:25.020 --> 00:02:28.020]  以及許多無知、有害的慾望之中
[00:02:28.020 --> 00:02:31.020]  使人沉淪、意志敗壞和滅亡
[00:02:31.020 --> 00:02:34.020]  嘩!可不可怕?
[00:02:34.020 --> 00:02:37.020]  好像錢很噁心,很骯髒
[00:02:37.020 --> 00:02:40.020]  所以通常人們覺得生意人都是貪財
[00:02:40.020 --> 00:02:43.020]  不受尊重
[00:02:43.020 --> 00:02:46.020]  貪財是萬惡之根
[00:02:46.020 --> 00:02:49.020]  有人因貪戀錢財而背離信仰
[00:02:49.020 --> 00:02:52.020]  用許多仇苦把自己刺透了
[00:02:52.020 --> 00:02:55.020]  這段經文從頭到尾有沒有講
[00:02:55.020 --> 00:02:58.020]  財物不好,富貴不好
[00:02:58.020 --> 00:03:01.020]  但其實這段經文從頭到尾都在講
[00:03:01.020 --> 00:03:04.020]  貪富貴、貪財
[00:03:04.020 --> 00:03:07.020]  然後為自己就不好
[00:03:07.020 --> 00:03:10.020]  如果不是為自己的時候
[00:03:10.020 --> 00:03:13.020]  其實聖經裡面講很多人物神
[00:03:13.020 --> 00:03:16.020]  祝福他並且花開富貴得很厲害
[00:03:16.020 --> 00:03:19.020]  就是亞伯拉罕
[00:03:19.020 --> 00:03:22.020]  亞伯拉罕是生畜和金銀極多
[00:03:22.020 --> 00:03:25.020]  你喜歡嗎?神賜給你
[00:03:25.020 --> 00:03:28.020]  金銀極多
[00:03:28.020 --> 00:03:31.020]  好像亞伯拉罕一樣金銀極多
[00:03:31.020 --> 00:03:34.020]  然後就好像所羅門是富家方
[00:03:34.020 --> 00:03:37.020]  所羅門是神賜給他什麼?
[00:03:37.020 --> 00:03:40.020]  智慧,因為他求智慧,他很聰明
[00:03:40.020 --> 00:03:43.020]  求智慧之後自然有錢
[00:03:43.020 --> 00:03:46.020]  富足,有榮,尊榮
[00:03:46.020 --> 00:03:49.020]  然後亞伯拉罕是怎樣
[00:03:49.020 --> 00:03:52.020]  亞伯拉罕也是富家一方
[00:03:52.020 --> 00:03:55.020]  但什麼都沒有了
[00:03:55.020 --> 00:03:58.020]  但後來怎樣?耶和華再一次賜給他
[00:03:58.020 --> 00:04:01.020]  給從前的那些富家一方
[00:04:01.020 --> 00:04:04.020]  還要雙倍,你說富不富貴?
[00:04:04.020 --> 00:04:07.020]  富貴對不對?
[00:04:07.020 --> 00:04:10.020]  耶和華不對,給他那麼多富貴
[00:04:10.020 --> 00:04:13.020]  神又給他那麼多富貴
[00:04:13.020 --> 00:04:16.020]  所以在生命記裡面很清楚說
[00:04:16.020 --> 00:04:19.020]  生命記裡面說,其實得財富的能力
[00:04:19.020 --> 00:04:22.020]  是神賜給你
[00:04:22.020 --> 00:04:25.020]  和我的
[00:04:25.020 --> 00:04:28.020]  所以神賜給你的東西,有什麼不好呢?
[00:04:28.020 --> 00:04:31.020]  大家有沒有想清楚
[00:04:31.020 --> 00:04:34.020]  所以關鍵就不是在金錢是惡
[00:04:34.020 --> 00:04:37.020]  而是我們怎樣看金錢
[00:04:37.020 --> 00:04:40.020]  我們的金錢觀是怎樣的呢?
[00:04:40.020 --> 00:04:43.020]  在這麼多經文裡面其實都是說是神賜的
