
[00:00:00.000 --> 00:00:02.000]  讓我們先做一次一個簡單的禱告
[00:00:30.000 --> 00:00:32.000]  願以頂尖妹之間的心思意念
[00:00:32.000 --> 00:00:34.000]  蒙聖名是啟迪蒙主的月立
[00:00:34.000 --> 00:00:36.000]  禱告奉耶穌基督的名
[00:00:36.000 --> 00:00:38.000]  阿們
[00:00:38.000 --> 00:00:42.000]  頂尖妹今天和大家分享這段經文
[00:00:42.000 --> 00:00:45.000]  剛才聽到莫塔幫我們讀出的時候
[00:00:45.000 --> 00:00:48.000]  你會聽到就是馬太福音
[00:00:48.000 --> 00:00:50.000]  這一段耶穌很重要的神蹟
[00:00:50.000 --> 00:00:55.000]  耶穌用五餅二魚餵飽了五千人
[00:00:55.000 --> 00:00:57.000]  可能你一聽就覺得很熟
[00:00:57.000 --> 00:00:59.000]  聽過很多很多次
[00:00:59.000 --> 00:01:02.000]  相信這個神蹟肯定是福音書裡面
[00:01:02.000 --> 00:01:04.000]  其中一個最多人認識的神蹟
[00:01:04.000 --> 00:01:06.000]  因為場面很震撼
[00:01:06.000 --> 00:01:08.000]  見證的人數眾多
[00:01:08.000 --> 00:01:10.000]  四福音書都有這樣
[00:01:10.000 --> 00:01:12.000]  連四卷福音書都有記載它
[00:01:12.000 --> 00:01:13.000]  其實大家留心
[00:01:13.000 --> 00:01:14.000]  這個都是少見的
[00:01:14.000 --> 00:01:16.000]  因為過去很多福音書記載的內容
[00:01:16.000 --> 00:01:17.000]  約翰福音書裡面有的
[00:01:17.000 --> 00:01:18.000]  不過這個神蹟
[00:01:18.000 --> 00:01:20.000]  四卷福音書都清晰記載
[00:01:20.000 --> 00:01:22.000]  並且約翰福音書記載很豐富
[00:01:22.000 --> 00:01:24.000]  讓這件事成為教會
[00:01:24.000 --> 00:01:26.000]  在傳統裡面一個很獨特的位置
[00:01:26.000 --> 00:01:28.000]  如果大家去過以色列
[00:01:28.000 --> 00:01:31.000]  你會知道那裡有紀念神蹟的五餅二魚堂
[00:01:31.000 --> 00:01:34.000]  世界各地都有很多用五餅二魚這個名字
[00:01:34.000 --> 00:01:36.000]  去命名的福音機構等等
[00:01:36.000 --> 00:01:38.000]  更有數之不盡
[00:01:38.000 --> 00:01:41.000]  用五餅二魚為主題的藝術作品
[00:01:41.000 --> 00:01:42.000]  我都收過不少
[00:01:42.000 --> 00:01:44.000]  特別可能一些聖餐的套裝等等
[00:01:44.000 --> 00:01:45.000]  都是很精美
[00:01:45.000 --> 00:01:46.000]  很漂亮
[00:01:46.000 --> 00:01:47.000]  去展示五餅二魚
[00:01:47.000 --> 00:01:49.000]  上帝那份很豐富
[00:01:49.000 --> 00:01:51.000]  又相信當中可能有很多家長
[00:01:51.000 --> 00:01:52.000]  你的小朋友
[00:01:52.000 --> 00:01:55.000]  可能在自己學校裡面一定聽過這個故事
[00:01:55.000 --> 00:01:56.000]  五餅二魚的神蹟
[00:01:56.000 --> 00:01:57.000]  團契都會查過
[00:01:57.000 --> 00:01:59.000]  大家都很熟
[00:01:59.000 --> 00:02:02.000]  甚至當我昨天上Facebook的時候
[00:02:02.000 --> 00:02:03.000]  跟一個目者分享
[00:02:03.000 --> 00:02:05.000]  他今天又是說這邊的信息
[00:02:05.000 --> 00:02:08.000]  因為經課是去到這個的內容
[00:02:08.000 --> 00:02:09.000]  他就去問
[00:02:09.000 --> 00:02:10.000]  原來過去這麼多年
[00:02:10.000 --> 00:02:12.000]  都可能講了起碼六七次這段聖經
