
[00:00:00.000 --> 00:00:02.000]  在靖道之前同心來祈禱
[00:00:02.000 --> 00:00:07.000]  整個獨生二子耶穌基督求祢施恩可憐這個罪孕
[00:00:07.000 --> 00:00:10.000]  願意在主祢面前設立宣講主的因言
[00:00:10.000 --> 00:00:12.000]  願意主耶穌基督的保血
[00:00:12.000 --> 00:00:15.000]  做一次洗淨這個不配的人的罪
[00:00:15.000 --> 00:00:19.000]  讓孩子能夠成為神話語的出口
[00:00:19.000 --> 00:00:22.000]  能夠將主的因言來解明
[00:00:22.000 --> 00:00:24.000]  留讓真理聖靈開啟我們心竅
[00:00:24.000 --> 00:00:26.000]  帶領我們進入真理
[00:00:26.000 --> 00:00:28.000]  恭敬獻上祈禱
[00:00:28.000 --> 00:00:31.000]  是靠賴主基督耶穌聖名祈禱
[00:00:31.000 --> 00:00:32.000]  對嗎?
[00:00:32.000 --> 00:00:37.000]  假如世上有一種藥可以出賣
[00:00:37.000 --> 00:00:41.000]  你想最賣得的是什麼藥呢?
[00:00:41.000 --> 00:00:46.000]  後悔藥
[00:00:46.000 --> 00:00:48.000]  這個漢語詞彙
[00:00:48.000 --> 00:00:53.000]  是指那些做了自己不理想的事
[00:00:53.000 --> 00:00:56.000]  或者不符合自己要求
[00:00:56.000 --> 00:01:00.000]  希望可以重頭來過一種藥
[00:01:00.000 --> 00:01:02.000]  事實上
[00:01:02.000 --> 00:01:05.000]  這種藥並不存在
[00:01:05.000 --> 00:01:07.000]  如果世上真的有後悔藥
[00:01:07.000 --> 00:01:10.000]  它應該是最暢銷的
[00:01:10.000 --> 00:01:12.000]  這種藥
[00:01:12.000 --> 00:01:15.000]  越早吃就越快好
[00:01:15.000 --> 00:01:17.000]  我相信
[00:01:17.000 --> 00:01:20.000]  我們大家都有一些後悔的經歷
[00:01:20.000 --> 00:01:24.000]  後悔以前不努力
[00:01:24.000 --> 00:01:27.000]  為什麼不讀好這些書呢?
[00:01:27.000 --> 00:01:30.000]  後悔會不會選錯職業
[00:01:30.000 --> 00:01:32.000]  讀錯科目
[00:01:32.000 --> 00:01:37.000]  後悔對自己的子女教育不當
[00:01:37.000 --> 00:01:40.000]  可能太過嚴厲
[00:01:40.000 --> 00:01:42.000]  關係不是最理想
[00:01:42.000 --> 00:01:48.000]  後悔沒有好好珍惜以前的伴侶
[00:01:50.000 --> 00:01:54.000]  到伴侶離開的時候
[00:01:54.000 --> 00:01:56.000]  可能有很多的追悔
[00:01:56.000 --> 00:01:58.000]  很多的內疚
[00:01:58.000 --> 00:02:02.000]  或者後悔沒有善待自己的身體
[00:02:02.000 --> 00:02:05.000]  努力的時候
[00:02:05.000 --> 00:02:08.000]  發覺很多的病痛
[00:02:08.000 --> 00:02:12.000]  可能以前去盡了
[00:02:12.000 --> 00:02:16.000]  或者吃了太多不吃的東西
[00:02:16.000 --> 00:02:19.000]  以為自己還有很多青春
[00:02:19.000 --> 00:02:22.000]  但滴不過歲月
[00:02:22.000 --> 00:02:26.000]  看回現在的狀況
[00:02:26.000 --> 00:02:29.000]  覺得是後悔莫及
[00:02:29.000 --> 00:02:30.000]  對於後悔藥
[00:02:30.000 --> 00:02:31.000]  有人可以理解
[00:02:31.000 --> 00:02:34.000]  這個藥可以將生命從頭來過
[00:02:34.000 --> 00:02:36.000]  20歲犯了大錯
[00:02:36.000 --> 00:02:38.000]  50歲明白了
[00:02:38.000 --> 00:02:39.000]  後悔藥一吃
[00:02:39.000 --> 00:02:42.000]  人就可以回到20歲
[00:02:42.000 --> 00:02:44.000]  就可以看到以前
[00:02:44.000 --> 00:02:48.000]  很多的電影、電視劇穿越
[00:02:48.000 --> 00:02:50.000]  回到少年的時代
[00:02:50.000 --> 00:02:51.000]  重新來過
[00:02:51.000 --> 00:02:53.000]  以前後悔的東西
[00:02:53.000 --> 00:02:55.000]  重新可以回頭
[00:02:55.000 --> 00:02:58.000]  其實這是癡心妄想
[00:02:58.000 --> 00:03:01.000]  這不是叫後悔藥
[00:03:01.000 --> 00:03:03.000]  剛才主席所讀的經文
[00:03:03.000 --> 00:03:04.000]  今天的講題
[00:03:04.000 --> 00:03:06.000]  在外邦作所寄居的
[00:03:06.000 --> 00:03:11.000]  這是摩西去走難逃難
[00:03:11.000 --> 00:03:13.000]  去到米甸的地方
[00:03:13.000 --> 00:03:18.000]  他在他前半生
[00:03:18.000 --> 00:03:21.000]  將自己重整生命的時間
[00:03:21.000 --> 00:03:24.000]  講了這番話
[00:03:24.000 --> 00:03:28.000]  摩西在埃及皇宮長大
[00:03:28.000 --> 00:03:31.000]  可算是天子叫子
[00:03:31.000 --> 00:03:36.000]  新約聖經司徒行傳七章二十二節
[00:03:36.000 --> 00:03:39.000]  這是殉道者史提反
[00:03:39.000 --> 00:03:43.000]  他和當時的猶太人在辯論的時候
[00:03:43.000 --> 00:03:45.000]  去引述摩西
[00:03:45.000 --> 00:03:50.000]  他說摩西學了埃及人一切的學問
[00:03:50.000 --> 00:03:51.000]  用今天的演繹
[00:03:51.000 --> 00:03:56.000]  摩西是精通數學、天文學、化學
[00:03:56.000 --> 00:03:57.000]  埃及象形文字
[00:03:57.000 --> 00:04:01.000]  他不單止擁有數學、天文學、化學
[00:04:01.000 --> 00:04:04.000]  還有英語的博士學位
