
[00:00:00.000 --> 00:00:04.320]  好 我們今天繼續去思想以夫所書的經文
[00:00:04.320 --> 00:00:07.380]  以夫所書希望我們透過這個講解
[00:00:07.380 --> 00:00:11.580]  繼續去帶領大家或者去學習神的說話
[00:00:11.580 --> 00:00:15.340]  如何在我們回應我們舊的異象使命
[00:00:15.340 --> 00:00:17.960]  特別是在優化屬靈土壤的當中
[00:00:17.960 --> 00:00:20.760]  今天經文也是涉及當中的內容
[00:00:20.760 --> 00:00:23.240]  講到一個很重要的題目
[00:00:23.240 --> 00:00:26.360]  就是合二爲一 合一這個主題
[00:00:26.360 --> 00:00:30.180]  在想合一這個主題之前
[00:00:30.180 --> 00:00:33.520]  也想跟大家分享一本漫畫
[00:00:33.520 --> 00:00:37.060]  最近我也和我的兩個小朋友
[00:00:37.060 --> 00:00:39.220]  晚上的時候一起讀這本漫畫
[00:00:39.220 --> 00:00:41.940]  讀這本漫畫裏面有什麼特別呢
[00:00:41.940 --> 00:00:45.400]  它講的題目叫做《別搞錯信仰》
[00:00:45.400 --> 00:00:46.680]  是一位牧師寫的
[00:00:46.680 --> 00:00:47.720]  這位牧師很厲害
[00:00:47.720 --> 00:00:50.520]  他有藝術和神學方面的結合
[00:00:50.520 --> 00:00:53.240]  他將一些信仰的信息
[00:00:53.240 --> 00:00:56.780]  透過漫畫的方式去表達出來
[00:00:56.780 --> 00:00:58.360]  而且祝福了很多人
[00:00:58.360 --> 00:01:00.280]  他本身自己是一個宣教士
[00:01:00.280 --> 00:01:03.900]  在甲午寨金邊宣教了幾年的時間
[00:01:03.900 --> 00:01:05.980]  後來因爲簽證問題
[00:01:05.980 --> 00:01:08.200]  就停止了那邊的侍奉
[00:01:08.200 --> 00:01:10.480]  現在就在德國那邊開始侍奉
[00:01:10.480 --> 00:01:13.080]  過去疫情幾年的時間裏面
[00:01:13.080 --> 00:01:17.780]  他透過他的創作在不同的地方發表
[00:01:17.780 --> 00:01:20.900]  祝福了很多的弟兄姐妹朋友
[00:01:20.900 --> 00:01:23.560]  他的Facebook account在幾年裏面
[00:01:23.560 --> 00:01:28.900]  就上升到一個相當不錯的追蹤數字
[00:01:28.900 --> 00:01:31.520]  我不知道大家在Facebook有多少人追蹤
[00:01:31.520 --> 00:01:33.100]  多少人追蹤你
[00:01:33.100 --> 00:01:35.200]  即是幾十幾百都不錯
[00:01:35.200 --> 00:01:37.740]  幾年之內去到五萬
[00:01:37.740 --> 00:01:41.940]  其實都藉助他的這些信息幫到很多弟兄姐妹
[00:01:41.940 --> 00:01:45.160]  我和我女兒一起去看這本書的時候
[00:01:45.160 --> 00:01:46.440]  都很有趣的
[00:01:46.440 --> 00:01:47.660]  兩幅的圖畫
[00:01:47.660 --> 00:01:48.480]  它很簡單的
[00:01:48.480 --> 00:01:50.360]  每一次的零收的信息
[00:01:50.360 --> 00:01:52.240]  就是兩幅的漫畫
[00:01:52.240 --> 00:01:53.240]  有個比較
[00:01:53.240 --> 00:01:54.740]  跟着一段的經文
[00:01:54.740 --> 00:01:56.820]  跟着一段很簡單的解釋
[00:01:56.820 --> 00:01:57.940]  跟着有兩個問題
[00:01:57.940 --> 00:01:59.860]  我們就可以去討論了
[00:01:59.860 --> 00:02:03.020]  今天就選了一幅關於合一的圖畫
[00:02:03.020 --> 00:02:04.240]  合一的漫畫
[00:02:04.240 --> 00:02:05.700]  左右兩幅
[00:02:05.700 --> 00:02:08.440]  大家給三十秒時間看看
[00:02:08.440 --> 00:02:12.860]  你覺得哪一幅更加符合你心目當中的
[00:02:12.860 --> 00:02:15.440]  教會合一的場景呢
