
[00:00:00.000 --> 00:00:01.580]  好,大英姐妹平安
[00:00:01.580 --> 00:00:04.020]  那麼呢
[00:00:04.020 --> 00:00:07.720]  今天呢,就是那個
[00:00:07.720 --> 00:00:11.780]  港島的那個港堤成長是怎樣的
[00:00:11.780 --> 00:00:13.620]  那麼在開始之前呢
[00:00:13.620 --> 00:00:17.100]  我就想分享一下在十幾年前
[00:00:17.100 --> 00:00:19.120]  差不多是十幾年前
[00:00:19.120 --> 00:00:20.940]  那麼我在港外線碼頭
[00:00:20.940 --> 00:00:22.140]  知不知道是哪個港外線碼頭
[00:00:22.140 --> 00:00:24.700]  就是中環去離島的那個碼頭呢
[00:00:24.700 --> 00:00:27.640]  就見到一張很大的很大的 banner
[00:00:27.900 --> 00:00:31.600]  那麼那個 banner 就寫著一段東西
[00:00:31.600 --> 00:00:32.960]  那段東西是什麼呢
[00:00:32.960 --> 00:00:38.400]  就是「錢債,情債,罪債,信耶穌,什麼都搞掂哂」
[00:00:38.400 --> 00:00:41.380]  有沒有見過這塊 banner
[00:00:41.380 --> 00:00:43.060]  有沒有大英姐妹見過這塊 banner
[00:00:43.060 --> 00:00:44.780]  沒有,沒有啊,是不是
[00:00:44.780 --> 00:00:49.820]  我講一次,就是「錢債,情債,罪債,信耶穌,什麼都搞掂哂」
[00:00:49.820 --> 00:00:52.840]  那麼聽到這句說話的時候
[00:00:52.840 --> 00:00:54.640]  大家覺得正不正啊
[00:00:54.640 --> 00:00:56.260]  正不正啊
[00:00:56.260 --> 00:00:59.020]  「信耶穌,什麼都搞掂哂,情債,錢債,罪債」
[00:00:59.020 --> 00:01:00.060]  正啊,是不是
[00:01:00.060 --> 00:01:01.160]  就是一聽到就覺得
[00:01:01.160 --> 00:01:04.000]  嘩,真的我信耶穌,真的可以什麼都搞掂哂
[00:01:04.000 --> 00:01:05.960]  那麼,接著呢,覺得很正啊
[00:01:05.960 --> 00:01:09.060]  那麼如果可能是 TVB 的劇情
