
[00:00:00.000 --> 00:00:03.120]  在一月的時候,我去了一個按摩禮
[00:00:03.120 --> 00:00:04.400]  下午也有按摩禮,是嗎?
[00:00:04.400 --> 00:00:08.120]  一月的那個就是我同學的一個按摩禮
[00:00:08.120 --> 00:00:12.520]  當中有一位很有份量的目者
[00:00:12.520 --> 00:00:14.720]  尤其是在我們播道家裡面
[00:00:14.720 --> 00:00:18.520]  郭文慈目師就去做了一個訓練
[00:00:18.520 --> 00:00:25.040]  對兩位將會按摩的弟兄去做訓練
[00:00:25.040 --> 00:00:29.120]  到最後的時候有一句話對於我來說很深刻
[00:00:29.120 --> 00:00:32.360]  這句話就像今天的主題說的
[00:00:32.360 --> 00:00:33.800]  「始終一步人」
[00:00:33.800 --> 00:00:36.800]  不知道你們有沒有人聽過這句話
[00:00:36.800 --> 00:00:38.240]  有…沒有
[00:00:38.240 --> 00:00:41.160]  我每天都聽到這句話「始終一步人」
[00:00:41.160 --> 00:00:45.040]  其實這句話我當時還沒有聽過
[00:00:45.040 --> 00:00:48.080]  但當郭牧師跟我們分享的時候
[00:00:48.080 --> 00:00:51.480]  原來他說當中有兩個意思
[00:00:51.480 --> 00:00:55.000]  第一個就是我們要始終如一
[00:00:55.000 --> 00:00:56.920]  始終的意思是我們要始終如一
[00:00:56.920 --> 00:00:58.320]  特別是在說什麼呢?
[00:00:58.320 --> 00:01:00.960]  可能是…因為他對目者說
[00:01:00.960 --> 00:01:03.680]  由我們去呼召做一個目者
[00:01:03.680 --> 00:01:05.400]  去到現在的狀態
[00:01:05.400 --> 00:01:07.240]  甚至將來我們的服侍
[00:01:07.240 --> 00:01:08.920]  我們都要始終如一
[00:01:08.920 --> 00:01:11.040]  我們對上帝的心要始終如一
[00:01:11.040 --> 00:01:15.320]  我們要…可能甚至是一個僕人
[00:01:15.320 --> 00:01:16.680]  一個謙卑的心
[00:01:16.680 --> 00:01:18.440]  我們都要始終如一
[00:01:18.440 --> 00:01:22.880]  所以一個僕人的意思就是謙卑的身份
[00:01:22.880 --> 00:01:24.800]  我們是上帝的僕人
[00:01:24.800 --> 00:01:26.600]  無論在任何時候
[00:01:26.600 --> 00:01:28.960]  我們要做一件事都要聽命於上帝
[00:01:28.960 --> 00:01:31.360]  上帝要我們做的事我們就做
[00:01:31.360 --> 00:01:34.520]  上帝不要我們做的事我們就不要做
[00:01:34.520 --> 00:01:39.280]  所以那一刻對我來說是一個很好的提醒
[00:01:39.280 --> 00:01:41.360]  因為那一刻我都想起
[00:01:41.360 --> 00:01:44.640]  我作為…做木會十年
[00:01:44.640 --> 00:01:47.560]  我都想起剛出來木會的時候到現在
[00:01:47.560 --> 00:01:50.800]  我的侍奉是不是都是始終如一
[00:01:50.800 --> 00:01:53.600]  那句話好像是在對目者說
[00:01:53.600 --> 00:01:56.800]  但另一方面我都想其實作為一個信徒
[00:01:56.800 --> 00:01:58.520]  我們都要去想一下
[00:01:58.520 --> 00:02:01.320]  由我們初信那一刻到現在
[00:02:01.320 --> 00:02:04.160]  我們是不是對上帝都是始終如一
[00:02:04.160 --> 00:02:07.600]  甚至將來我們回去要見耶穌基督的時候
[00:02:07.600 --> 00:02:09.960]  我們是不是都是始終如一
[00:02:09.960 --> 00:02:12.080]  今天我們去看一個人物
[00:02:12.080 --> 00:02:13.040]  就是數羅王
[00:02:13.040 --> 00:02:14.840]  數羅王開始的時候
[00:02:14.840 --> 00:02:16.960]  其實他是一個很謙卑的人
[00:02:16.960 --> 00:02:18.400]  因為他謙卑
[00:02:18.400 --> 00:02:21.800]  他被上帝揀選了他為一個王
[00:02:21.800 --> 00:02:24.680]  也是以色列裡面第一個的王
[00:02:24.680 --> 00:02:25.920]  他的生命
[00:02:25.920 --> 00:02:27.600]  但是就是因為成了王之後
[00:02:27.600 --> 00:02:28.880]  他開始去改變
[00:02:28.880 --> 00:02:32.320]  由一個謙卑變成用自己的方法
[00:02:32.320 --> 00:02:33.720]  白天說的就是驕傲
[00:02:33.720 --> 00:02:35.200]  用自己的方法去處理這些事
[00:02:35.200 --> 00:02:36.600]  就是叫驕傲
[00:02:36.600 --> 00:02:38.800]  驕傲會令到人家怎樣呢
[00:02:38.800 --> 00:02:40.600]  會忘記上帝
[00:02:40.600 --> 00:02:41.600]  忘記了我們
[00:02:41.600 --> 00:02:45.000]  原來我們的生活我們是要依靠著上帝
[00:02:45.000 --> 00:02:48.440]  我們今天看撒慕爾記上的第十五章
[00:02:48.440 --> 00:02:50.040]  我們一起讀一讀
[00:02:50.040 --> 00:02:50.800]  第十七節
[00:02:50.800 --> 00:02:55.000]  因為我們用的是新譯本
[00:02:55.000 --> 00:02:55.720]  我們一起讀
[00:02:55.720 --> 00:02:57.080]  預備請
[00:02:57.080 --> 00:02:58.120]  撒慕爾說
[00:02:58.120 --> 00:03:01.840]  從前你雖然自以為微小
[00:03:01.840 --> 00:03:06.120]  不是作了以色列眾支派的首領嗎
[00:03:06.120 --> 00:03:10.520]  耶和華高納了你作以色列的王
[00:03:10.520 --> 00:03:12.080]  撒慕爾眼中
[00:03:12.080 --> 00:03:13.280]  或者其實撒慕爾這一刻
[00:03:13.280 --> 00:03:16.560]  他的評論去比數羅是什麼呢
[00:03:16.560 --> 00:03:20.840]  他說你以前是自以為微小
[00:03:20.840 --> 00:03:21.920]  其實說什麼呢
[00:03:21.920 --> 00:03:25.360]  他以前的確是一個謙卑的人
[00:03:25.360 --> 00:03:27.240]  待會我們再看看一個謙卑的人
[00:03:27.240 --> 00:03:29.920]  也是因為這個謙卑的原因
[00:03:29.920 --> 00:03:31.800]  或者這個特質
[00:03:31.800 --> 00:03:34.120]  上帝揀選了他做什麼
[00:03:34.120 --> 00:03:36.040]  以色列的王
[00:03:36.040 --> 00:03:37.760]  數羅怎樣謙卑呢
[00:03:37.760 --> 00:03:41.320]  我們可以看回撒慕爾記上的第九章
[00:03:41.320 --> 00:03:42.040]  我們讀一讀
[00:03:42.040 --> 00:03:42.800]  一到二節
[00:03:42.800 --> 00:03:44.040]  預備請
[00:03:44.040 --> 00:03:48.760]  有一個變眼敏人名叫基時
[00:03:48.760 --> 00:03:51.800]  他有一個兒子名叫數羅
[00:03:51.800 --> 00:03:54.160]  既年輕又英俊
[00:03:54.160 --> 00:03:55.840]  在以色列人中
[00:03:55.840 --> 00:03:59.320]  沒有一個能比他更英俊的
[00:03:59.320 --> 00:04:02.280]  他比人高出一個頭
[00:04:02.280 --> 00:04:03.880]  數羅是怎樣的
[00:04:03.880 --> 00:04:10.560]  每一場我問到這個問題
[00:04:10.560 --> 00:04:12.760]  弟兄姊妹回答出來都不同
[00:04:12.760 --> 00:04:14.320]  昨天星期六
[00:04:14.320 --> 00:04:17.800]  我一說的時候就很一致
[00:04:17.800 --> 00:04:18.400]  他怎樣
[00:04:18.400 --> 00:04:20.360]  英俊
[00:04:20.360 --> 00:04:23.880]  我這個一定是姐妹回答的
[00:04:23.880 --> 00:04:25.720]  但我更加期望大家看聖經
[00:04:25.720 --> 00:04:28.560]  由上看到下
[00:04:28.560 --> 00:04:30.680]  聖經說他第一個是什麼
[00:04:30.680 --> 00:04:31.480]  年輕
[00:04:31.480 --> 00:04:33.200]  我們先看年輕
[00:04:33.200 --> 00:04:34.600]  不要一看就看英俊
[00:04:34.600 --> 00:04:35.880]  我的姐妹很喜歡
[00:04:35.880 --> 00:04:38.560]  還要英俊說兩次
[00:04:38.560 --> 00:04:39.840]  重要
[00:04:39.840 --> 00:04:40.680]  說兩次
[00:04:40.680 --> 00:04:42.040]  第二個才英俊
[00:04:42.040 --> 00:04:43.760]  第三個高出一個頭
[00:04:43.760 --> 00:04:46.240]  我都說我為同福堂去感恩
[00:04:46.240 --> 00:04:48.600]  因為我們都有一位主任牧師
[00:04:48.600 --> 00:04:51.280]  又年輕又英俊
[00:04:51.280 --> 00:04:53.840]  又高人一個頭
[00:04:53.840 --> 00:04:54.960]  Ken哥今天不在
[00:04:54.960 --> 00:04:55.800]  去了九龍東
[00:04:55.800 --> 00:05:00.160]  所以我可以說一下他
[00:05:00.160 --> 00:05:02.920]  如果各位弟兄
[00:05:02.920 --> 00:05:07.320]  你是一個又年輕又英俊
[00:05:07.320 --> 00:05:09.720]  又高大的人
[00:05:09.720 --> 00:05:12.600]  換上現在這個年代
[00:05:12.600 --> 00:05:15.320]  你應該是一個很有自信的人
[00:05:15.320 --> 00:05:17.000]  走出來的時候應該
[00:05:17.000 --> 00:05:17.520]  嘩
[00:05:17.520 --> 00:05:18.520]  即是怎樣
[00:05:18.520 --> 00:05:22.520]  應該都不會自卑
[00:05:22.520 --> 00:05:25.640]  但蘇羅其實他那時候是怎樣
[00:05:25.640 --> 00:05:27.040]  我們再看一看
[00:05:27.040 --> 00:05:28.880]  第21節我們一起讀
[00:05:28.880 --> 00:05:30.400]  預備123請
[00:05:30.400 --> 00:05:31.600]  蘇羅回答
[00:05:31.600 --> 00:05:34.680]  我不是以色列眾支派中
[00:05:34.680 --> 00:05:38.040]  最微小的汴瓦文支派嗎
[00:05:38.040 --> 00:05:40.880]  我的家族不是汴瓦文支派的
[00:05:40.880 --> 00:05:43.440]  家族中最微小的嗎
[00:05:43.440 --> 00:05:46.720]  你為什麼對我說這樣的話呢
[00:05:46.720 --> 00:05:49.240]  蘇羅說了一件事
[00:05:49.240 --> 00:05:51.680]  他是最微小
[00:05:51.680 --> 00:05:53.360]  微小是有兩方面
[00:05:53.360 --> 00:05:56.400]  第一他在他的支派裡面是微小
[00:05:56.400 --> 00:05:58.600]  他在哪個支派
