
[00:00:00.000 --> 00:00:04.720]  一个懂得承认自己的软弱和过犯的人是有福的,
[00:00:04.720 --> 00:00:08.400]  因为他们会得到神给他们的怜悯和恩典。
[00:00:08.400 --> 00:00:10.560]  因为在约翰义书一章九节告诉我们说,
[00:00:10.560 --> 00:00:13.560]  我们落认自己的罪,神是信实的,是公义的,
[00:00:13.560 --> 00:00:18.120]  必要赦免我们的罪,洗尽我们一切的不义。
[00:00:18.120 --> 00:00:21.920]  我们愿意认罪悔改,不但能够领受神赦罪的恩典,
[00:00:21.920 --> 00:00:26.600]  一个懂得认罪悔改的人也会得到自由。
[00:00:26.600 --> 00:00:29.560]  罗马帝国有一个名叫安德烈大帝,
[00:00:29.560 --> 00:00:32.440]  他很喜欢到各处去巡视。
[00:00:32.440 --> 00:00:35.840]  有一天他到一个监狱里面去视察,
[00:00:35.840 --> 00:00:39.400]  就审问了监狱里面所有的犯人,
[00:00:39.400 --> 00:00:44.920]  然后这些每一个犯人都说我没有罪,我是冤枉的。
[00:00:44.920 --> 00:00:47.360]  几乎每一个犯人都是如此,
[00:00:47.360 --> 00:00:51.200]  说他们是冤枉的,要求被释放。
[00:00:51.200 --> 00:00:55.000]  但只有一个犯人,他非常诚实地说,
[00:00:55.000 --> 00:00:58.040]  我有罪了,我是罪有应得的。
[00:00:58.040 --> 00:01:01.320]  安德烈大帝听了以后就对狱卒说,
[00:01:01.320 --> 00:01:06.800]  怎么可以让这样一个坏人跟这么多的好人关在一起,
[00:01:06.800 --> 00:01:12.160]  立刻把他放了,免得这许多的坏人,
[00:01:12.160 --> 00:01:14.760]  许多的好人跟他学坏了。
[00:01:14.760 --> 00:01:20.600]  高中还没有人说,认罪悔改是有福的。
[00:01:20.600 --> 00:01:25.760]  是的,认罪悔改不但是神要我们还没有信主的人需要做的事情,
[00:01:25.760 --> 00:01:29.320]  其实在约翰义书一章九节,乃是对基督徒所说的,
[00:01:29.320 --> 00:01:34.320]  换句话说,我们基督徒在神面前,我们也是要懂得如何认罪悔改。
[00:01:34.320 --> 00:01:36.960]  特别是今天圣餐主日,我们来到主的圣餐前,
[00:01:36.960 --> 00:01:39.800]  我们必须要懂得如何自我省察,
[00:01:39.800 --> 00:01:43.960]  承认我们自己的罪,才领受主的身体和保险。
[00:01:43.960 --> 00:01:47.680]  因此今天我们来思想耶稣基督所设立的圣餐。
[00:01:47.680 --> 00:01:50.640]  我们都知道耶稣基督在祂被卖之前,
[00:01:50.640 --> 00:01:54.800]  跟门徒们一起享用预约节最后的晚餐。
[00:01:54.800 --> 00:02:01.200]  在最后晚餐之后,耶稣就在当中设立了我们所知道的圣餐。
[00:02:01.200 --> 00:02:05.440]  我们来看在路加福音第二十二章的十九节和二十节。
[00:02:05.440 --> 00:02:08.360]  这里耶稣基督在饭后,祂又拿起饼来,
[00:02:08.360 --> 00:02:14.520]  苏泄了就破开,递给他们,说这是我的身体为你们舍的,
[00:02:14.520 --> 00:02:19.080]  你们也应当如此行,为的是纪念我。
[00:02:19.080 --> 00:02:21.280]  饭后也照样拿起杯来说,
[00:02:21.280 --> 00:02:27.560]  这杯是用我血所沥的新约为你们流出来的。
[00:02:27.560 --> 00:02:32.080]  这才是耶稣基督所设立的圣餐很重要的经文。
[00:02:32.080 --> 00:02:34.880]  我们今天做几个非常重要的观察。
[00:02:34.880 --> 00:02:39.120]  这才是耶稣基督在被卖、被钉死之前,
[00:02:39.120 --> 00:02:44.320]  最后的晚餐的时候,为我们跟门徒设立的圣餐。
[00:02:44.320 --> 00:02:45.800]  这里有两件非常重要的事情,
[00:02:45.800 --> 00:02:53.080]  祂说这是我的身体为你们破开,你们如此行,为的是纪念我。
[00:02:53.080 --> 00:02:54.880]  虽然这只是一个无效饼,
[00:02:54.880 --> 00:03:00.000]  这个无效饼却预表耶稣基督的完全圣洁没有犯罪的身体,
[00:03:00.000 --> 00:03:05.360]  为我们破开在十字架上,因此能够赎我们所有的罪孽。
[00:03:05.360 --> 00:03:08.920]  另外一个祂说,祂举起了这杯,这杯是葡萄酒,
[00:03:08.920 --> 00:03:12.920]  葡萄酒也预表耶稣基督在十字架上为我们所流出的宝血,
[00:03:12.920 --> 00:03:18.160]  洗尽我们一切的罪,好让我们能够在神面前得以洁净。
[00:03:18.160 --> 00:03:23.400]  祂说这杯是用我的血所立的新约,有新约就必会有旧约。
[00:03:23.400 --> 00:03:27.960]  旧约圣经告诉我们说,当时旧约的人他们必须透过祭物,
[00:03:27.960 --> 00:03:34.320]  拿给祭司杀了以后,祭物的血流出来,才能够代替他们的罪得以赦免。
[00:03:34.320 --> 00:03:36.000]  但是耶稣基督来到世上的时候,
[00:03:36.000 --> 00:03:40.840]  祂为我们钉死在十字架上流出宝血洗尽我们的罪,
[00:03:40.840 --> 00:03:46.320]  祂是那位戴罪的羔羊,完全没有罪,完全无瑕疵的羔羊,
[00:03:46.320 --> 00:03:50.920]  一次献上,永远献上,所以这是祂为我们所立的新约。
[00:03:50.920 --> 00:03:54.240]  我们不再透过祭物,不再透过动物的血,
[00:03:54.240 --> 00:04:00.120]  而是透过耶稣基督的宝血,可以坦然无惧地来到父神的面前,阿们。
[00:04:00.120 --> 00:04:02.480]  这是为什么圣餐是那么的重要。
[00:04:02.480 --> 00:04:08.080]  所以耶稣基督告诉门徒说,你们应当如此行,为的是纪念我。
