
[00:00:00.000 --> 00:00:04.800]  加油站現在這個29不是一段經文的
[00:00:04.800 --> 00:00:11.140]  主要是想鼓勵大家去真的努力讀舊約
[00:00:11.140 --> 00:00:15.080]  我的題目就是為何要讀舊約
[00:00:15.080 --> 00:00:17.540]  為什麼要讀舊約呢?
[00:00:17.540 --> 00:00:19.580]  如果你打開一本聖經的時候
[00:00:19.580 --> 00:00:22.440]  你會發現聖經有新舊約
[00:00:22.440 --> 00:00:29.620]  舊約就有39本 新約就有27本
[00:00:29.620 --> 00:00:32.820]  但是其實最後舊約都是
[00:00:32.820 --> 00:00:34.420]  整本聖經有個中心
[00:00:34.420 --> 00:00:37.600]  舊約的中心就是等著君王的來臨
[00:00:37.600 --> 00:00:40.640]  而新約就看這個君王已經來臨
[00:00:40.640 --> 00:00:44.440]  這個君王就是十字架上面的耶穌
[00:00:44.440 --> 00:00:46.940]  我們經常都會說舊約和新約
[00:00:46.940 --> 00:00:49.100]  其實是有一個很微妙的關係
[00:00:49.100 --> 00:00:51.600]  舊約是影子 新約是實體
[00:00:51.600 --> 00:00:53.680]  很多時候我們信主的時候
[00:00:53.680 --> 00:00:55.520]  我們就會開始讀新約
[00:00:55.520 --> 00:00:58.020]  但是雖然好像讀得很明白
[00:00:58.020 --> 00:01:01.440]  但其實我們真的很需要去讀舊約
[00:01:01.440 --> 00:01:04.420]  才可以更加明白新約
[00:01:04.420 --> 00:01:08.280]  我就想借這個短短的交友站
[00:01:08.280 --> 00:01:09.960]  和大家鼓勵一下
[00:01:09.960 --> 00:01:11.120]  如果在過去一個星期
[00:01:11.120 --> 00:01:13.460]  你有聽我說過那篇啟示錄
[00:01:13.460 --> 00:01:15.760]  我就打了個比喻
[00:01:15.760 --> 00:01:17.560]  這個比喻就是
[00:01:17.560 --> 00:01:25.900]  明天將要上演的《復仇者聯盟4:終局之戰》
[00:01:25.900 --> 00:01:29.120]  我已經和家人買了票
[00:01:29.120 --> 00:01:30.240]  不過就不是明天看
[00:01:30.240 --> 00:01:31.280]  下個星期才看
[00:01:31.280 --> 00:01:32.980]  我放假的時候去看
[00:01:32.980 --> 00:01:38.740]  為什麼用這個《復仇者聯盟》的《終局之戰》
[00:01:38.740 --> 00:01:40.020]  作為一個比喻呢?
[00:01:40.020 --> 00:01:47.820]  就是如果你平時有跟開這一系列的電影
[00:01:47.820 --> 00:01:51.820]  你知道其實在這一套電影之前
[00:01:51.820 --> 00:01:57.980]  其實有21套電影是和這一套電影有關係的
[00:01:57.980 --> 00:02:03.100]  就是說如果你要看明《復仇者聯盟》的《終局之戰》的時候
[00:02:03.100 --> 00:02:09.700]  其實理想地是要先看了前面21套電影的
[00:02:09.700 --> 00:02:11.560]  你才會知道裡面的人物
[00:02:11.560 --> 00:02:14.100]  他們的關係、有些什麼事件
