
[00:00:00.000 --> 00:00:02.000]  (主席) 大家早安
[00:00:02.000 --> 00:00:06.000]  每一個早上我們都會來到崇基禮拜堂
[00:00:06.000 --> 00:00:08.000]  來崇拜
[00:00:08.000 --> 00:00:11.000]  大家踏入這個禮堂的時候
[00:00:11.000 --> 00:00:15.000]  歡迎大家的是一張張的笑臉
[00:00:15.000 --> 00:00:18.000]  他們歡迎你 期待你
[00:00:18.000 --> 00:00:22.000]  很樂意地邀請你進入這個禮堂
[00:00:22.000 --> 00:00:24.000]  其實我已經習慣了
[00:00:24.000 --> 00:00:27.000]  我習慣每個禮拜來這個禮堂敬拜
[00:00:29.000 --> 00:00:33.000]  但我想從這一兩星期開始
[00:00:33.000 --> 00:00:36.000]  我進門之前有人會問你問題
[00:00:36.000 --> 00:00:39.000]  你戴著口罩沒有?
[00:00:39.000 --> 00:00:43.000]  你有沒有用搓手液洗手?
[00:00:43.000 --> 00:00:46.000]  你有沒有去過武漢或內地?
[00:00:46.000 --> 00:00:49.000]  或者你有沒有發生過症狀?
[00:00:49.000 --> 00:00:52.000]  你問這些問題
[00:00:52.000 --> 00:00:55.000]  你通過了才可以進入禮堂
[00:00:57.000 --> 00:01:00.000]  其實在今年這個新年時節
[00:01:00.000 --> 00:01:04.000]  我們能夠來崇拜是一件好事
[00:01:04.000 --> 00:01:10.000]  不過這幾天我們好像心情多了點重擔
[00:01:10.000 --> 00:01:13.000]  當然最近人們彼此恭祝
[00:01:13.000 --> 00:01:16.000]  最好的最受落的恭祝就是
[00:01:16.000 --> 00:01:18.000]  百毒不侵
[00:01:18.000 --> 00:01:24.000]  我又想起中國歷史當中有兩個人物
[00:01:24.000 --> 00:01:26.000]  他們的名字很特別
[00:01:26.000 --> 00:01:29.000]  一個叫霍去病
[00:01:29.000 --> 00:01:33.000]  一個叫辛棄疾
[00:01:33.000 --> 00:01:38.000]  在這個時候我想起這兩個歷史人物的名字
[00:01:38.000 --> 00:01:41.000]  去病棄疾
[00:01:41.000 --> 00:01:47.000]  可能為我們多一番心意
[00:01:47.000 --> 00:01:49.000]  今早和大家分享的題目是
[00:01:49.000 --> 00:01:52.000]  「聖所門口的要你問答」
[00:01:52.000 --> 00:01:57.000]  不是問大家有沒有戴口罩、搓手液等等
[00:01:57.000 --> 00:01:59.000]  是問一些更基本的問題
[00:01:59.000 --> 00:02:01.000]  我們進入這個禮拜堂
[00:02:01.000 --> 00:02:03.000]  我們來到聖所
[00:02:03.000 --> 00:02:06.000]  我們究竟有沒有資格來見上帝?
[00:02:06.000 --> 00:02:12.000]  我們有沒有足夠條件來敬拜上帝?
[00:02:12.000 --> 00:02:19.000]  我們是否有達到進入這個禮堂這個禮拜堂的標準呢?
[00:02:19.000 --> 00:02:22.000]  或者調轉問究竟有什麼因素
[00:02:22.000 --> 00:02:30.000]  令我們足以排他我們在這個聖所門外呢?
[00:02:30.000 --> 00:02:35.000]  我今天和大家看的經文是詩篇第十五篇
[00:02:35.000 --> 00:02:39.000]  剛才讀經完和我們讀的舊約經課
[00:02:39.000 --> 00:02:41.000]  詩篇第十五篇現在在聖經你可以打開
[00:02:41.000 --> 00:02:47.000]  我可以按著這首詩篇來和大家分享、討論、思想
[00:02:48.000 --> 00:02:50.000]  詩篇第十五篇是大衛所寫的
[00:02:50.000 --> 00:02:53.000]  他第一節就問了一個這樣的問題
[00:02:53.000 --> 00:03:00.000]  他說「耶和華,誰能寄居你的帳幕,誰能居住你的聖所?」
