
[00:00:00.000 --> 00:00:07.000]  題目是『不信有你』,不是不信有你,是有個文化在裡面的。
[00:00:07.000 --> 00:00:10.000]  請我們再一次用心低頭來祈禱。
[00:00:10.000 --> 00:00:14.000]  天父,我們再一次感謝祢,給祢寶貴的話語作為我們生命的指引。
[00:00:14.000 --> 00:00:18.000]  求祢藉著祢的話語,去提醒、勸勉、挑戰、改變我們。
[00:00:18.000 --> 00:00:22.000]  祈禱奉耶穌名求,阿們。
[00:00:22.000 --> 00:00:26.000]  一般人對信有三個很大的錯誤。
[00:00:26.000 --> 00:00:29.000]  第一個錯誤就是以為看到才相信。
[00:00:29.000 --> 00:00:36.000]  有些非基督徒的朋友跟我說,牧師,你行個神蹟給我們看看,那我就信了。
[00:00:36.000 --> 00:00:39.000]  你給我上帝看看,我就信了。
[00:00:39.000 --> 00:00:43.000]  西人也有說,Seeing is believing,不看我怎麼會信呢?
[00:00:43.000 --> 00:00:50.000]  閉嘴說是沒用的,你給我看看,有些東西看看,比較真實的,那就可信了。
[00:00:50.000 --> 00:00:55.000]  是不是呢?不是啊。
[00:00:55.000 --> 00:00:58.000]  我將這句話反過來講。
[00:00:58.000 --> 00:01:03.000]  不是看了就信,是信了你才看到。
[00:01:03.000 --> 00:01:06.000]  很多東西你是要信了,你才能夠看到。
[00:01:06.000 --> 00:01:08.000]  做一個實驗。
[00:01:08.000 --> 00:01:15.000]  在秩序表裡面,請大家打開秩序表的大綱這一頁。
[00:01:15.000 --> 00:01:20.000]  在這一頁,下面有一個圖。
[00:01:20.000 --> 00:01:24.000]  你就這樣看下去,就不知所謂不知什麼了。
[00:01:24.000 --> 00:01:27.000]  請你暫時相信我。
[00:01:27.000 --> 00:01:32.000]  你跟著我去做,那你就會看到東西了。
[00:01:32.000 --> 00:01:35.000]  每個人就有這一幅圖。
[00:01:35.000 --> 00:01:40.000]  圖畫裡面,白色那裡有四個細點。
[00:01:40.000 --> 00:01:42.000]  找不找得到?
[00:01:42.000 --> 00:01:44.000]  看不看到那四個細點?
[00:01:44.000 --> 00:01:51.000]  就請你定睛會神,看著那四點,數四十下。
[00:01:51.000 --> 00:01:58.000]  定睛會神,定睛會神,看著那四點,找不找得到那四點?
[00:01:58.000 --> 00:02:01.000]  找到那四點,定睛會神,數四十下。
[00:02:01.000 --> 00:02:05.000]  不要看字,先聽我說,你先相信我。
[00:02:05.000 --> 00:02:09.000]  看完之後,就看旁邊白色那些。
[00:02:09.000 --> 00:02:13.000]  你就定睛看著白色的。
[00:02:13.000 --> 00:02:16.000]  看著看著的時候,就會有一個光圈出現。
[00:02:16.000 --> 00:02:19.000]  那個光圈出現之後,你不要眨眼,繼續看。
[00:02:19.000 --> 00:02:22.000]  耶穌就會出現在那個光圈裡面了。
[00:02:22.000 --> 00:02:25.000]  你會不會覺得這麼神奇?
[00:02:25.000 --> 00:02:28.000]  你相信我,你相信我,你就會看到的了。
[00:02:28.000 --> 00:02:31.000]  請你看著那四點,數四十下。
[00:02:31.000 --> 00:02:37.000]  數四十下,定睛會神,看著那四點,數四十下。
[00:02:37.000 --> 00:02:42.000]  然後看著白色那裡,不要眨眼,看著。
[00:02:42.000 --> 00:03:07.000]  自然那個光圈就會出來,耶穌就會顯現了。
[00:03:07.000 --> 00:03:12.000]  信不信我?
[00:03:12.000 --> 00:03:16.000]  我想問一問,有多少人看到的,請舉手。
[00:03:16.000 --> 00:03:19.000]  有多少人是看不到的,請舉手。
[00:03:19.000 --> 00:03:23.000]  你不相信我。
[00:03:23.000 --> 00:03:26.000]  給你多一次機會,你儘管相信我。
[00:03:26.000 --> 00:03:30.000]  定睛會神,看著那四點,定睛會神,看著那四點。
[00:03:30.000 --> 00:03:33.000]  然後看著白色那裡,定睛看著。
[00:03:33.000 --> 00:03:36.000]  那個光圈就會出現,耶穌就會顯現了。
