
[00:00:00.000 --> 00:00:06.000]  歲末年終 一年又要過去了 好快
[00:00:06.000 --> 00:00:08.000]  又到了聖誕季節了
[00:00:08.000 --> 00:00:11.000]  所以呢 我不曉得你們記不記得去年
[00:00:11.000 --> 00:00:15.000]  Yvonne帶我們玩天使與主人
[00:00:15.000 --> 00:00:19.000]  我們每個禮拜天都很興奮地到那個樹下去摸摸
[00:00:19.000 --> 00:00:22.000]  看看這禮拜主人有什麼新的吩咐
[00:00:22.000 --> 00:00:28.000]  看看天使有沒有悄悄地燒些什麼禮物來
[00:00:28.000 --> 00:00:31.000]  去年的聖誕節我們是這麼熱鬧
[00:00:31.000 --> 00:00:34.000]  但是今年因為搬家
[00:00:34.000 --> 00:00:38.000]  所以我們就決定說在這個節日的慶典上面
[00:00:38.000 --> 00:00:43.000]  我們就選擇一個比較安靜的方式
[00:00:43.000 --> 00:00:46.000]  但是並不表示我們不過節
[00:00:46.000 --> 00:00:50.000]  也不表示說我們不紀念我們主耶穌的生日
[00:00:50.000 --> 00:00:56.000]  而是我們選擇一個用心靈和誠實來思想
[00:00:56.000 --> 00:01:01.000]  怎麼樣讓自己過一個更有意義的聖誕節
[00:01:01.000 --> 00:01:04.000]  所以在這段時間我鼓勵弟兄姊妹
[00:01:04.000 --> 00:01:08.000]  你多參加小組禱告會
[00:01:08.000 --> 00:01:12.000]  利用彼此相聚的時光代禱
[00:01:12.000 --> 00:01:16.000]  讓我們今年的聖誕節是一個別出心裁
[00:01:16.000 --> 00:01:20.000]  而且是更加難忘的聖誕節
[00:01:20.000 --> 00:01:22.000]  讓我們低頭禱告
[00:01:22.000 --> 00:01:28.000]  親愛天父 造天地的主
[00:01:28.000 --> 00:01:32.000]  真的如使徒約翰所說的
[00:01:32.000 --> 00:01:35.000]  若是我們要把你的見證說
[00:01:35.000 --> 00:01:42.000]  那真的是用這所有的水都不夠用
[00:01:42.000 --> 00:01:45.000]  所有的書也都寫不滿
[00:01:45.000 --> 00:01:50.000]  因為主祢賜給我們
[00:01:50.000 --> 00:01:53.000]  你的獨生愛子耶穌基督
[00:01:53.000 --> 00:01:56.000]  為我們死在十字架上
[00:01:56.000 --> 00:02:01.000]  給我們帶來永恆的盼望
[00:02:01.000 --> 00:02:04.000]  主啊 謝謝你
[00:02:04.000 --> 00:02:07.000]  親愛的耶穌 我們感謝讚美你
[00:02:07.000 --> 00:02:10.000]  因為你在十字架上所成就的
[00:02:10.000 --> 00:02:14.000]  實在是超乎我們所求所想的
[00:02:14.000 --> 00:02:17.000]  你在十字架上所造就的
[00:02:17.000 --> 00:02:20.000]  主啊 我們真是特別的
[00:02:20.000 --> 00:02:23.000]  為我們每一位弟兄姊妹
[00:02:23.000 --> 00:02:25.000]  都來獻上感恩的心
[00:02:25.000 --> 00:02:27.000]  因為我們都不知道
[00:02:27.000 --> 00:02:29.000]  你在我們身上的計畫
[00:02:29.000 --> 00:02:32.000]  是何等的美好 何等的長遠
[00:02:32.000 --> 00:02:36.000]  讓我們勇敢的走在你的計畫裡面
[00:02:36.000 --> 00:02:38.000]  與我們同在
[00:02:38.000 --> 00:02:41.000]  奉耶穌的名祈禱 阿們
[00:02:41.000 --> 00:02:46.000]  我們常常會講說
[00:02:46.000 --> 00:02:52.000]  神創世造人的計畫
[00:02:52.000 --> 00:02:56.000]  祂說有就有 祂說利就利
[00:02:56.000 --> 00:02:59.000]  那整本聖經裡面都記載著
[00:02:59.000 --> 00:03:02.000]  上帝永恆美好的計畫
[00:03:02.000 --> 00:03:06.000]  祂在 記不記得我們讀創世紀的
[00:03:06.000 --> 00:03:09.000]  祂的四件大事
[00:03:09.000 --> 00:03:14.000]  創造 墮落 洪水 巴比塔
