
[00:00:00.000 --> 00:00:04.500]  前布魯頓博道會的一個牧師叫Charles Vendore
[00:00:04.500 --> 00:00:06.500]  他講一個非常有趣的故事
[00:00:06.500 --> 00:00:09.000]  有一天他收到一封匿名信
[00:00:09.000 --> 00:00:12.500]  是他教會有些會友寫給他的
[00:00:12.500 --> 00:00:13.500]  那封信是這樣寫的
[00:00:13.500 --> 00:00:16.000]  他說牧師 我們都是一班
[00:00:16.000 --> 00:00:20.000]  在你所牧養又尊敬你的一些會友
[00:00:20.000 --> 00:00:23.500]  我們每逢星期三早上六點半
[00:00:23.500 --> 00:00:26.500]  就在一個餐館我們有祖土會
[00:00:26.500 --> 00:00:28.500]  又一起讀聖經 一起有分享
[00:00:28.500 --> 00:00:32.500]  我們這麼多弟兄都很投入在這個聚會裡
[00:00:32.500 --> 00:00:34.500]  上個星期三
[00:00:34.500 --> 00:00:37.500]  我們一共有五個人
[00:00:37.500 --> 00:00:41.500]  開著車去到餐館準備參加這次聚會
[00:00:41.500 --> 00:00:43.500]  但是路途有些阻塞
[00:00:43.500 --> 00:00:48.500]  所以我們看時鐘已經很遲了
[00:00:48.500 --> 00:00:50.500]  不知道為什麼
[00:00:50.500 --> 00:00:53.500]  那些紅綠燈特別慢
[00:00:53.500 --> 00:00:58.500]  我們就停在Harbour Avenue的紅綠燈那裡
[00:00:58.500 --> 00:01:03.500]  不知道為什麼那些紅燈經常都不轉
[00:01:03.500 --> 00:01:05.500]  其中一個弟兄說
[00:01:05.500 --> 00:01:08.500]  沒有警察在 衝紅燈吧
[00:01:08.500 --> 00:01:09.500]  其他的弟兄說
[00:01:09.500 --> 00:01:12.500]  怎麼搞的 基督徒衝紅燈
[00:01:12.500 --> 00:01:14.500]  我們在那邊辯論的時候
[00:01:14.500 --> 00:01:17.500]  突然間發現旁邊有一個紅色的福斯仔
[00:01:17.500 --> 00:01:19.500]  熟口熟面的
[00:01:19.500 --> 00:01:22.500]  再看看司機 也是熟口熟面的
[00:01:22.500 --> 00:01:26.500]  忽然間他也有衝紅燈
[00:01:26.500 --> 00:01:28.500]  嚇了我們一跳
[00:01:28.500 --> 00:01:30.500]  所以我們就寫一封信給你
[00:01:30.500 --> 00:01:35.500]  希望你這個星期三出席我們這個祖土會
[00:01:35.500 --> 00:01:37.500]  去解釋和去認罪
[00:01:37.500 --> 00:01:40.500]  否則我們會將這個故事
[00:01:40.500 --> 00:01:43.500]  在Christianity Today公諸於世
[00:01:43.500 --> 00:01:46.500]  恐嚇他們的牧師
[00:01:46.500 --> 00:01:48.500]  真是太離譜了
[00:01:48.500 --> 00:01:52.500]  Swindon牧師到了星期三的時候
[00:01:52.500 --> 00:01:54.500]  他就應約了
[00:01:54.500 --> 00:01:57.500]  一早就去到餐館那裡
[00:01:57.500 --> 00:01:59.500]  他最早到沒有人在
[00:01:59.500 --> 00:02:00.500]  他就進去
[00:02:00.500 --> 00:02:01.500]  侍應就說
[00:02:01.500 --> 00:02:04.500]  先生 你一個人和一班人
[00:02:04.500 --> 00:02:08.500]  我約了一班法理菜人和文士吃早餐
[00:02:08.500 --> 00:02:11.500]  於是那個侍應都不知道在說什麼
[00:02:11.500 --> 00:02:14.500]  於是就招呼了他
[00:02:14.500 --> 00:02:15.500]  坐了沒多久
[00:02:15.500 --> 00:02:18.500]  那一班弟兄一下就進來了
[00:02:18.500 --> 00:02:19.500]  一見到牧師就很開心
[00:02:19.500 --> 00:02:20.500]  就上前握手
[00:02:20.500 --> 00:02:22.500]  Swindon牧師馬上就站起來
[00:02:22.500 --> 00:02:24.500]  就發覺有些奇怪
[00:02:24.500 --> 00:02:26.500]  他前面有一個大牌
[00:02:26.500 --> 00:02:28.500]  大牌上寫著
[00:02:28.500 --> 00:02:29.500]  認罪
[00:02:29.500 --> 00:02:31.500]  Guilty as charged
[00:02:31.500 --> 00:02:33.500]  那些弟兄見到
[00:02:33.500 --> 00:02:34.500]  就大笑
[00:02:34.500 --> 00:02:36.500]  笑得最開心的時候
[00:02:36.500 --> 00:02:38.500]  牧師就轉過臉
[00:02:38.500 --> 00:02:41.500]  原來他背後又是寫著幾個大字
[00:02:41.500 --> 00:02:44.500]  你們中間誰是沒有罪的
[00:02:44.500 --> 00:02:48.500]  就先用石頭打他
[00:02:48.500 --> 00:02:50.500]  於是他們只有大笑
[00:02:50.500 --> 00:02:51.500]  然後那班弟兄說
[00:02:51.500 --> 00:02:53.500]  牧師 最多我們今天請吃飯
[00:02:53.500 --> 00:02:55.500]  多謝你的認罪
[00:02:55.500 --> 00:02:56.500]  不過要有條件
[00:02:56.500 --> 00:02:59.500]  今天你要講聖經
[00:02:59.500 --> 00:03:01.500]  事實上 我想想
[00:03:01.500 --> 00:03:04.500]  我和Swindon牧師都差不多
[00:03:04.500 --> 00:03:05.500]  我都衝紅燈
[00:03:05.500 --> 00:03:06.500]  不過我不是開車衝紅燈
[00:03:06.500 --> 00:03:08.500]  我在下面過馬路衝紅燈
[00:03:08.500 --> 00:03:11.500]  有時我都要看周圍有沒有窩福熟悉的朋友
[00:03:11.500 --> 00:03:13.500]  然後才衝
[00:03:13.500 --> 00:03:15.500]  衝完之後 最多掛個牌在上面
[00:03:15.500 --> 00:03:16.500]  認罪
[00:03:16.500 --> 00:03:18.500]  然後反過來問一問
[00:03:18.500 --> 00:03:20.500]  你們中間誰是沒有衝紅燈的
[00:03:20.500 --> 00:03:23.500]  就先用石頭打他
[00:03:23.500 --> 00:03:24.500]  其實我們想一想
[00:03:24.500 --> 00:03:25.500]  我們做基督徒
[00:03:25.500 --> 00:03:26.500]  尤其是做領袖的
[00:03:26.500 --> 00:03:28.500]  做牧師都特別是
[00:03:28.500 --> 00:03:30.500]  往往有很多人看著你
[00:03:30.500 --> 00:03:32.500]  所以你要小心一點
[00:03:32.500 --> 00:03:34.500]  英國就有一個牧師
[00:03:34.500 --> 00:03:37.500]  有一天他坐巴士
[00:03:37.500 --> 00:03:39.500]  英國的巴士落後很多
[00:03:39.500 --> 00:03:40.500]  沒有我們用八達通
[00:03:40.500 --> 00:03:41.500]  嘟 這樣去
[00:03:41.500 --> 00:03:44.500]  他仍然要給錢給司機
[00:03:44.500 --> 00:03:45.500]  司機找錢
[00:03:45.500 --> 00:03:47.500]  我都不知道幾多年代了
[00:03:47.500 --> 00:03:49.500]  牧師坐在那裏
[00:03:49.500 --> 00:03:50.500]  突然間發覺
[00:03:50.500 --> 00:03:52.500]  司機找了很多錢給他
[00:03:52.500 --> 00:03:55.500]  於是他就拿著這些錢
[00:03:55.500 --> 00:03:56.500]  上前跟司機說
[00:03:56.500 --> 00:03:57.500]  司機先生
[00:03:57.500 --> 00:04:00.500]  你剛才好像找多了很多錢給我
[00:04:00.500 --> 00:04:01.500]  我還給你
[00:04:01.500 --> 00:04:02.500]  司機看過去
[00:04:02.500 --> 00:04:04.500]  牧師 我特意的
[00:04:04.500 --> 00:04:05.500]  昨天我聽你說到
[00:04:05.500 --> 00:04:06.500]  你說叫誠實
[00:04:06.500 --> 00:04:08.500]  不要貪錢
[00:04:08.500 --> 00:04:09.500]  那我試一下你
[00:04:09.500 --> 00:04:11.500]  用嘴巴說
[00:04:11.500 --> 00:04:13.500]  所以要小心
[00:04:13.500 --> 00:04:16.500]  分分鐘會被人陷害
[00:04:16.500 --> 00:04:17.500]  事實上
[00:04:17.500 --> 00:04:18.500]  保羅告訴你
[00:04:18.500 --> 00:04:21.500]  我們成為了世代的人的一台戲
[00:04:21.500 --> 00:04:22.500]  很多人看著
[00:04:22.500 --> 00:04:23.500]  我們實在要小心
[00:04:23.500 --> 00:04:25.500]  在這段經文裏面
[00:04:25.500 --> 00:04:26.500]  我們發覺
[00:04:26.500 --> 00:04:27.500]  耶穌是被人欺負
[00:04:27.500 --> 00:04:29.500]  不過耶穌
[00:04:29.500 --> 00:04:32.500]  跟斯彬多牧師不同
[00:04:32.500 --> 00:04:34.500]  斯彬多牧師就真的衝紅燈
[00:04:34.500 --> 00:04:36.500]  所以他就要寫著認罪
[00:04:36.500 --> 00:04:37.500]  但耶穌沒有犯罪
[00:04:37.500 --> 00:04:39.500]  這班人哄著耶穌
[00:04:39.500 --> 00:04:41.500]  他就請耶穌去吃飯
[00:04:41.500 --> 00:04:43.500]  就發覺吃飯前沒有洗手
[00:04:43.500 --> 00:04:45.500]  於是他們就詫異
[00:04:45.500 --> 00:04:46.500]  詫異這個字
[00:04:46.500 --> 00:04:47.500]  就不是這麼簡單
[00:04:47.500 --> 00:04:48.500]  很奇怪
[00:04:48.500 --> 00:04:49.500]  什麼都不洗手
[00:04:49.500 --> 00:04:50.500]  而是詫異的意思
[00:04:50.500 --> 00:04:52.500]  就是面部的表情告訴你
[00:04:52.500 --> 00:04:55.500]  有沒有搞錯
[00:04:55.500 --> 00:04:58.500]  吃飯前不洗手
[00:04:58.500 --> 00:05:02.500]  你要明白猶太人的習俗
[00:05:02.500 --> 00:05:04.500]  猶太人的習俗
[00:05:04.500 --> 00:05:06.500]  吃飯前洗手
[00:05:06.500 --> 00:05:08.500]  不是這麼簡單
[00:05:08.500 --> 00:05:09.500]  就是衛生的問題
[00:05:09.500 --> 00:05:10.500]  吃飯前洗手
[00:05:10.500 --> 00:05:12.500]  讓你不要吃了那些微菌
[00:05:12.500 --> 00:05:13.500]  不是衛生
[00:05:13.500 --> 00:05:14.500]  在猶太人的角度
[00:05:14.500 --> 00:05:15.500]  這絕對不是衛生的問題
[00:05:15.500 --> 00:05:16.500]  這是一個疑問
[00:05:16.500 --> 00:05:17.500]  這是儀式
[00:05:17.500 --> 00:05:19.500]  這是禮儀
[00:05:19.500 --> 00:05:21.500]  我去以色列旅行的時候
[00:05:21.500 --> 00:05:23.500]  就發覺那些杯子很有趣
[00:05:23.500 --> 00:05:26.500]  當然有兩個耳在裏面
[00:05:26.500 --> 00:05:27.500]  為什麼呢
[00:05:27.500 --> 00:05:29.500]  因為猶太人覺得
[00:05:29.500 --> 00:05:31.500]  到處都是骯髒的
[00:05:31.500 --> 00:05:32.500]  就一定要潔淨
[00:05:32.500 --> 00:05:35.500]  猶太人很重視潔淨的禮儀
[00:05:35.500 --> 00:05:37.500]  拿著一隻骯髒手
[00:05:37.500 --> 00:05:39.500]  拿著一隻骯髒的右耳
[00:05:39.500 --> 00:05:41.500]  然後就裝了一些水
[00:05:41.500 --> 00:05:43.500]  就去洗我的骯髒的左手
[00:05:43.500 --> 00:05:45.500]  又洗我的骯髒的右耳
[00:05:45.500 --> 00:05:49.500]  於是左耳和左手就乾淨了
[00:05:49.500 --> 00:05:50.500]  就用我乾淨的左手
[00:05:50.500 --> 00:05:51.500]  拿著乾淨的右耳
[00:05:51.500 --> 00:05:53.500]  再拿水洗我的骯髒的右手
[00:05:53.500 --> 00:05:54.500]  骯髒的右耳
[00:05:54.500 --> 00:05:55.500]  這樣的時候
[00:05:55.500 --> 00:05:58.500]  不單止杯子乾淨
[00:05:58.500 --> 00:06:00.500]  不單止我兩個手乾淨
[00:06:00.500 --> 00:06:01.500]  全身都乾淨
[00:06:01.500 --> 00:06:02.500]  我身都乾淨
[00:06:02.500 --> 00:06:04.500]  猶太有一個很古怪的想法
[00:06:04.500 --> 00:06:06.500]  在外面潔淨的時候
[00:06:06.500 --> 00:06:08.500]  裡面就潔淨了
[00:06:08.500 --> 00:06:11.500]  所以猶太人有一個叫Semi-School
[00:06:11.500 --> 00:06:14.500]  Semi-School是法理財人其中一派
[00:06:14.500 --> 00:06:16.500]  Semi-School就告訴你
[00:06:16.500 --> 00:06:19.500]  女和愛是兩個不同的範疇
[00:06:19.500 --> 00:06:22.500]  外面裡面的污穢
[00:06:22.500 --> 00:06:25.500]  就不會影響外面的污穢
[00:06:25.500 --> 00:06:27.500]  但如果你潔淨了外面的時候
[00:06:27.500 --> 00:06:29.500]  連裡面都會乾淨
[00:06:29.500 --> 00:06:33.500]  所以猶太人很重視這些禮儀的習慣
[00:06:33.500 --> 00:06:36.500]  對他們來說是非常非常重要的
[00:06:36.500 --> 00:06:38.500]  我想再說
[00:06:38.500 --> 00:06:40.500]  不是因為衛生的問題
[00:06:40.500 --> 00:06:42.500]  而事實上舊約聖經是沒有的
[00:06:42.500 --> 00:06:43.500]  舊約聖經
[00:06:43.500 --> 00:06:45.500]  你找遍全本舊約聖經
[00:06:45.500 --> 00:06:47.500]  是從沒有說過
[00:06:47.500 --> 00:06:50.500]  你吃飯前要禮儀式的洗手
[00:06:50.500 --> 00:06:52.500]  還有猶太人的洗手方法
[00:06:52.500 --> 00:06:53.500]  不像我們
[00:06:53.500 --> 00:06:55.500]  我去以色列的時候聽他們說
[00:06:55.500 --> 00:06:57.500]  要這樣烙焗你的手
[00:06:57.500 --> 00:06:58.500]  讓水流進去
[00:06:58.500 --> 00:07:00.500]  現在又要怎樣
[00:07:00.500 --> 00:07:06.500]  這些都是很複雜的禮儀
[00:07:06.500 --> 00:07:09.500]  有時候我們都會想
[00:07:09.500 --> 00:07:11.500]  猶太人這麼聰明
[00:07:11.500 --> 00:07:13.500]  為什麼要想這些東西
[00:07:13.500 --> 00:07:15.500]  外面乾淨和裡面有什麼關係
[00:07:15.500 --> 00:07:19.500]  事實上他們是這樣的
[00:07:19.500 --> 00:07:23.500]  這些禮儀不是聖經說的
[00:07:23.500 --> 00:07:26.500]  而是他們自己做出來的
[00:07:26.500 --> 00:07:28.500]  聖經裡面只是說一個簡單的
[00:07:28.500 --> 00:07:30.500]  要守安息日
[00:07:30.500 --> 00:07:31.500]  或者要潔淨
[00:07:31.500 --> 00:07:33.500]  但他們就加幾百萬條
[00:07:33.500 --> 00:07:35.500]  那些條例加上去
[00:07:35.500 --> 00:07:37.500]  就成為了很多的枷鎖
[00:07:37.500 --> 00:07:38.500]  是加在人的身上
[00:07:38.500 --> 00:07:39.500]  就好像耶穌基督說
[00:07:39.500 --> 00:07:41.500]  你們將很多的擔子
[00:07:41.500 --> 00:07:43.500]  那些律法師將很多的擔子
[00:07:43.500 --> 00:07:45.500]  加在人的身上
[00:07:45.500 --> 00:07:47.500]  所以耶穌基督
[00:07:47.500 --> 00:07:49.500]  就在馬可福音有這樣說過
[00:07:49.500 --> 00:07:51.500]  馬可福音就說
[00:07:51.500 --> 00:07:53.500]  這一班人是根據傳統的
[00:07:53.500 --> 00:07:55.500]  是因為他們的傳統
[00:07:55.500 --> 00:07:57.500]  所以他們這樣做
[00:07:57.500 --> 00:07:59.500]  而不是因為他們自己
[00:07:59.500 --> 00:08:03.500]  耶穌在這個時候就要責備他們
[00:08:03.500 --> 00:08:06.500]  法利塞人見到耶穌不洗手
[00:08:06.500 --> 00:08:09.500]  於是他們就詫異
[00:08:09.500 --> 00:08:11.500]  心裡面就說有沒有搞錯
[00:08:11.500 --> 00:08:13.500]  這麼重要的禮儀
[00:08:13.500 --> 00:08:14.500]  你都不去做
[00:08:14.500 --> 00:08:17.500]  你還說你自己是拉比
[00:08:17.500 --> 00:08:20.500]  39-41 主對他說
[00:08:20.500 --> 00:08:22.500]  如今你們法利塞人
[00:08:22.500 --> 00:08:24.500]  洗淨杯盤的外面
