
[00:00:00.000 --> 00:00:02.000]  鄧炳志妹晚安
[00:00:02.000 --> 00:00:07.000]  這是我第一次在梁化堂的週末敬拜去講信息
[00:00:07.000 --> 00:00:10.000]  但其實不應該是第一次
[00:00:10.000 --> 00:00:14.000]  不知道你有沒有印象在三月的時候
[00:00:14.000 --> 00:00:17.000]  是零四第一次週末敬拜停了
[00:00:17.000 --> 00:00:18.000]  為甚麼呢?
[00:00:18.000 --> 00:00:21.000]  因為我們四個同工都準備中招
[00:00:21.000 --> 00:00:23.000]  我還沒中招
[00:00:23.000 --> 00:00:24.000]  但因為人手問題
[00:00:24.000 --> 00:00:27.000]  我們那次的週末敬拜就取消了
[00:00:27.000 --> 00:00:31.000]  那次應該是我第一次在梁化堂的週末敬拜講信息
[00:00:31.000 --> 00:00:33.000]  變成今次是第一次
[00:00:33.000 --> 00:00:34.000]  都很感恩
[00:00:34.000 --> 00:00:39.000]  終於可以站在這裡面對面跟大家分享信息
[00:00:39.000 --> 00:00:41.000]  經過這兩年我們on and off
[00:00:41.000 --> 00:00:44.000]  斷斷續續在網上的崇拜
[00:00:44.000 --> 00:00:48.000]  我們發現原來能夠一起在同一個地點敬拜
[00:00:48.000 --> 00:00:50.000]  是可以這麼珍貴的
[00:00:50.000 --> 00:00:52.000]  我自己跟很多人一樣
[00:00:52.000 --> 00:00:54.000]  比較喜歡面對面一起去崇拜
[00:00:54.000 --> 00:00:57.000]  不單止不用再隔著螢幕
[00:00:57.000 --> 00:00:59.000]  不會有即使只有兩秒鐘的延遲
[00:00:59.000 --> 00:01:02.000]  更重要的是我們可以直接地互動
[00:01:02.000 --> 00:01:04.000]  可以看到大家的表情反應
[00:01:04.000 --> 00:01:07.000]  雖然都應該只是看到眼睛
[00:01:07.000 --> 00:01:09.000]  但都好過隔著螢幕
[00:01:09.000 --> 00:01:11.000]  在第五波疫情之下
[00:01:11.000 --> 00:01:13.000]  我們在過往三個月
[00:01:13.000 --> 00:01:15.000]  除了同工之外
[00:01:15.000 --> 00:01:19.000]  其他教友基本上是完全不能夠回到教會裡面
[00:01:19.000 --> 00:01:22.000]  這個情況應該真是史無前例
[00:01:22.000 --> 00:01:25.000]  不知道在這三個月裡面
[00:01:25.000 --> 00:01:30.000]  大家對這個崇拜有什麼新的體驗和感受
[00:01:30.000 --> 00:01:33.000]  對於一個這麼獨特的教會生活模式
[00:01:33.000 --> 00:01:36.000]  有沒有什麼反思或想法
[00:01:36.000 --> 00:01:39.000]  近這半個世紀流行一個用語
[00:01:39.000 --> 00:01:41.000]  叫做paradigm shift
[00:01:41.000 --> 00:01:43.000]  中文是範式轉移
[00:01:43.000 --> 00:01:46.000]  本身是應用在科學上
[00:01:46.000 --> 00:01:50.000]  指出在基準上一些很重大的突破
[00:01:50.000 --> 00:01:54.000]  去打破一些道統或者思維的情況
[00:01:54.000 --> 00:01:56.000]  後來paradigm shift這個字
[00:01:56.000 --> 00:01:59.000]  就應用在其他學科層面
[00:01:59.000 --> 00:02:01.000]  譬如說有免費報紙的出現
[00:02:01.000 --> 00:02:03.000]  iPhone的發明
[00:02:03.000 --> 00:02:06.000]  流動數據的普及等等
[00:02:06.000 --> 00:02:11.000]  都令到整個社會有一個很突破性的轉變
[00:02:11.000 --> 00:02:13.000]  而今次疫情的出現
[00:02:13.000 --> 00:02:15.000]  都好被動地我們的生活
[00:02:15.000 --> 00:02:18.000]  都有一個180度的轉變
[00:02:18.000 --> 00:02:21.000]  我不肯定這是一個正面還是負面的突破
[00:02:21.000 --> 00:02:23.000]  但我肯定的是
[00:02:23.000 --> 00:02:26.000]  我們的生活模式在短時間裡面
[00:02:26.000 --> 00:02:28.000]  有一個很重大的改變
[00:02:28.000 --> 00:02:30.000]  試問在三年前
[00:02:30.000 --> 00:02:34.000]  我們怎會想到所有東西都可以放在網上進行
[00:02:34.000 --> 00:02:37.000]  早期遊學團逢暑假
[00:02:37.000 --> 00:02:39.000]  年青人會不見了
[00:02:39.000 --> 00:02:42.000]  怎會想到會有網上導遊版
[00:02:42.000 --> 00:02:47.000]  老師又要熟悉網上的售貨工具
[00:02:47.000 --> 00:02:49.000]  譬如說我要指師班
[00:02:49.000 --> 00:02:51.000]  我要帶小學機法合唱團
[00:02:51.000 --> 00:02:53.000]  又或者我教琴學生都好
[00:02:53.000 --> 00:02:56.000]  在這段時間無所不用其極
