
[00:00:00.000 --> 00:00:09.500]  在這裡無奈地再在網上和弟兄姊妹去問安
[00:00:09.500 --> 00:00:14.000]  但是上帝的恩典夠我們用
[00:00:14.000 --> 00:00:21.720]  每一天我們有生命的氣息,我們都要感恩
[00:00:21.720 --> 00:00:29.500]  不知不覺來到十誡的最後一言
[00:00:29.500 --> 00:00:32.900]  有弟兄姊妹跟我反映
[00:00:32.900 --> 00:00:40.100]  透過這一次十誡的信息系列
[00:00:40.100 --> 00:00:46.700]  他們對十誡有新的理解和新的認識
[00:00:46.700 --> 00:00:51.500]  同樣也有其他的弟兄姊妹跟我反映
[00:00:51.500 --> 00:00:57.100]  內容涉及很多很複雜很技術性的解釋聖經
[00:00:57.100 --> 00:01:02.700]  內容涉及很多很複雜很技術性的細節去解釋經文
[00:01:02.700 --> 00:01:04.500]  他說有點吃不消
[00:01:04.500 --> 00:01:06.300]  有點受不了
[00:01:06.300 --> 00:01:08.900]  其實大家都可以想像
[00:01:08.900 --> 00:01:10.500]  其實大家可以想像
[00:01:10.500 --> 00:01:13.600]  其中有四誡只有四個字
[00:01:13.600 --> 00:01:16.000]  其中有四誡只有四個字
[00:01:16.000 --> 00:01:20.000]  我要用四個字講四十分鐘是很高技術的
[00:01:20.000 --> 00:01:24.700]  我要用四十分鐘去講四個字是很高的技術
[00:01:24.700 --> 00:01:31.300]  或許這也是讀聖經的一個過程
[00:01:31.300 --> 00:01:36.200]  或許這也是讀聖經的一個過程
[00:01:36.200 --> 00:01:41.300]  開始的時候我們可能很簡單地按字面去理解
[00:01:41.300 --> 00:01:45.100]  開始的時候我們可能很簡單地按字面去理解
[00:01:45.100 --> 00:01:48.900]  隨著我們相信主的時間越來越長
[00:01:48.900 --> 00:01:52.200]  隨著我們相信主的時間越來越長
[00:01:52.200 --> 00:01:54.800]  我們就不能按照道理的開端
[00:01:54.800 --> 00:01:57.100]  我們要盡心去到神的話語裏面
[00:01:57.100 --> 00:01:59.700]  我們要盡心去到神的話語裏面
[00:01:59.700 --> 00:02:02.800]  否則聖經如果這樣讀一次就夠了
[00:02:02.800 --> 00:02:05.500]  不然的話我們讀聖經讀一遍就夠了
[00:02:05.500 --> 00:02:08.500]  為什麼很多人窮一生的精力去鑽研
[00:02:08.500 --> 00:02:11.800]  為什麼很多人窮一生的精力去鑽研
[00:02:11.800 --> 00:02:16.000]  十加的第十言是由兩個主調去組成
[00:02:16.000 --> 00:02:21.900]  十加的第十言是由兩個主調去組成的
[00:02:21.900 --> 00:02:26.100]  第一個就是先從個人內心的世界動機作為出發點
[00:02:26.100 --> 00:02:31.300]  第一個就是從個人內心的世界動機作為出發點
[00:02:31.300 --> 00:02:34.200]  這個是個人主觀內心世界
[00:02:34.200 --> 00:02:36.700]  這是個人主觀內心的世界
[00:02:36.700 --> 00:02:39.300]  第二個就是不要貪戀
[00:02:39.300 --> 00:02:41.000]  第二就是不可貪戀
[00:02:41.000 --> 00:02:44.100]  他緊接著就說一些貪戀的對象
[00:02:44.100 --> 00:02:47.000]  接著就是說貪戀的對象
[00:02:47.000 --> 00:02:50.200]  所以你見經文一年重複用了一個詞
[00:02:50.200 --> 00:02:52.600]  所以你看到經文重複用了一個詞
[00:02:52.600 --> 00:02:56.300]  中文是人的但原來意思是別人的
[00:02:56.300 --> 00:03:00.000]  中文是說人的意思就是別人的
[00:03:00.000 --> 00:03:01.800]  包括別人的房屋
[00:03:01.800 --> 00:03:03.600]  包括別人的房屋
[00:03:03.600 --> 00:03:04.500]  別人的妻子
[00:03:04.500 --> 00:03:05.400]  別人的妻子
[00:03:05.400 --> 00:03:06.500]  別人的瀑鼻
[00:03:06.500 --> 00:03:07.500]  別人的瀑鼻
[00:03:07.500 --> 00:03:09.000]  別人的牛顱
[00:03:09.000 --> 00:03:10.100]  別人的牛顱
[00:03:10.100 --> 00:03:12.800]  換句話說別人所擁有的一切東西
[00:03:12.800 --> 00:03:15.300]  換句話說就是別人所擁有的一切
[00:03:15.300 --> 00:03:18.200]  基本上那個界面的重點也都不難理解
[00:03:18.200 --> 00:03:22.000]  其實界面的重點不難理解
[00:03:22.000 --> 00:03:25.300]  就是我們要尊重個人的私有產權
[00:03:25.300 --> 00:03:28.300]  我們就是要尊重別人私有產權
[00:03:28.300 --> 00:03:32.600]  這個觀念是比現代人所說的私有產權
[00:03:32.600 --> 00:03:34.600]  這個觀念是更早提出
[00:03:34.600 --> 00:03:37.300]  這個觀念是比現代人所說的
