
[00:00:00.000 --> 00:00:02.000]  今日跟大家分享一個題目
[00:00:02.000 --> 00:00:06.000]  是講到「不可能中的可能」
[00:00:06.000 --> 00:00:09.000]  嘩!我不知道大家一聽到這個題目
[00:00:09.000 --> 00:00:10.000]  會不會覺得
[00:00:10.000 --> 00:00:12.000]  「噢!當然啦!」
[00:00:12.000 --> 00:00:15.000]  「我們的神是無所不能的神」
[00:00:15.000 --> 00:00:19.000]  這個題目一定是「Yes! Yes! Yes!」
[00:00:19.000 --> 00:00:22.000]  我不知道對你來說這句說話
[00:00:22.000 --> 00:00:24.000]  或者這個宣告
[00:00:24.000 --> 00:00:26.000]  是因為你在教會裏面
[00:00:26.000 --> 00:00:30.000]  集聖地會這樣去傳頌
[00:00:30.000 --> 00:00:32.000]  還是真實地在你的生命裏面
[00:00:32.000 --> 00:00:34.000]  在你裏面
[00:00:34.000 --> 00:00:36.000]  從心底裏面深處說
[00:00:36.000 --> 00:00:38.000]  「是的!這是我真實的信仰」
[00:00:38.000 --> 00:00:41.000]  「在我人生裏面很多的不可能裏面」
[00:00:41.000 --> 00:00:45.000]  看見上帝的可能呢?
[00:00:45.000 --> 00:00:48.000]  我自己在大家當中
[00:00:48.000 --> 00:00:51.000]  都玩過很多次魔術
[00:00:51.000 --> 00:00:55.000]  不過今天是沒有打理的
[00:00:55.000 --> 00:00:57.000]  魔術有幾個竅門
[00:00:57.000 --> 00:01:01.000]  第一就是將沒有的東西變成有
[00:01:01.000 --> 00:01:02.000]  然後第二個竅門就是
[00:01:02.000 --> 00:01:06.000]  將有的東西變成沒有
[00:01:06.000 --> 00:01:09.000]  我有一個魔術我很喜歡玩
[00:01:09.000 --> 00:01:13.000]  因為很能夠展現到人性
[00:01:13.000 --> 00:01:16.000]  以及展現到我的權柄
[00:01:16.000 --> 00:01:17.000]  其實不是
[00:01:17.000 --> 00:01:19.000]  因為它很好玩
[00:01:19.000 --> 00:01:21.000]  我就會邀請一些人來
[00:01:21.000 --> 00:01:22.000]  有時候我會邀請
[00:01:22.000 --> 00:01:26.000]  在漢人渠目區的長者當中
[00:01:26.000 --> 00:01:27.000]  你猜一下
[00:01:27.000 --> 00:01:29.000]  通常在漢人渠目區
[00:01:29.000 --> 00:01:31.000]  叫大家誰想參與
[00:01:31.000 --> 00:01:33.000]  大家一起表演魔術
[00:01:33.000 --> 00:01:35.000]  手舉得多嗎?你猜
[00:01:35.000 --> 00:01:37.000]  是呀!真的很多
[00:01:37.000 --> 00:01:38.000]  每個人都說
[00:01:38.000 --> 00:01:41.000]  「好啊!我經歷過風浪,不用怕你」
[00:01:41.000 --> 00:01:42.000]  老人家很喜歡你
[00:01:42.000 --> 00:01:43.000]  就選幾個來
[00:01:43.000 --> 00:01:44.000]  小朋友呢?
[00:01:44.000 --> 00:01:47.000]  大家知不知道小朋友會怎樣呢?
[00:01:47.000 --> 00:01:48.000]  小朋友個個都說
[00:01:48.000 --> 00:01:49.000]  「Yes!我!我!我!我!」
[00:01:49.000 --> 00:01:51.000]  「是嗎?Me!Me!Me!Me!」
[00:01:51.000 --> 00:01:53.000]  記得選的時候要小心一點
[00:01:53.000 --> 00:01:55.000]  不要選太聰明的
[00:01:55.000 --> 00:01:57.000]  因為它會拆穿你的
[00:01:57.000 --> 00:02:00.000]  好!又選幾個出來
[00:02:00.000 --> 00:02:01.000]  有時候我又會在
[00:02:01.000 --> 00:02:02.000]  我們婦女當中
[00:02:02.000 --> 00:02:04.000]  所以Ester知道
[00:02:04.000 --> 00:02:06.000]  我們都會試過
[00:02:06.000 --> 00:02:09.000]  邀請姐妹出來
[00:02:09.000 --> 00:02:10.000]  那些姐妹通常會說
[00:02:10.000 --> 00:02:12.000]  「哎呀!不好啦!不好啦!」
[00:02:12.000 --> 00:02:13.000]  但因為我叫到她
[00:02:13.000 --> 00:02:14.000]  她就會說
[00:02:14.000 --> 00:02:17.000]  「好!我勇敢接受渠目的挑戰!」
[00:02:17.000 --> 00:02:18.000]  來到前面
[00:02:18.000 --> 00:02:21.000]  我先跟她們立一個約會
[00:02:21.000 --> 00:02:22.000]  「我叫你做甚麼動作
[00:02:22.000 --> 00:02:23.000]  你都要做的」
[00:02:23.000 --> 00:02:24.000]  她們說
[00:02:24.000 --> 00:02:26.000]  「好!沒問題!」
[00:02:26.000 --> 00:02:27.000]  於是我就叫她們
[00:02:27.000 --> 00:02:29.000]  把手舉在頭上
