
[00:00:00.000 --> 00:00:03.000]  今天是一個很特別的日子
[00:00:03.000 --> 00:00:05.000]  今天是十月三十一號
[00:00:05.000 --> 00:00:07.000]  今天是萬聖節
[00:00:07.000 --> 00:00:08.000]  但是如果你知道的話
[00:00:08.000 --> 00:00:12.000]  今天也是宗教改革五百零三週年
[00:00:12.000 --> 00:00:15.000]  是一個鬼魔橫行的節日
[00:00:15.000 --> 00:00:18.000]  我們應該有什麼最好的做呢
[00:00:18.000 --> 00:00:20.000]  就是回到周六崇拜
[00:00:20.000 --> 00:00:22.000]  聽一篇耶穌基督的福音
[00:00:22.000 --> 00:00:25.000]  我不知道你剛剛有沒有留意主席所唱的那首詩歌
[00:00:25.000 --> 00:00:27.000]  叫《堅固保障》
[00:00:27.000 --> 00:00:29.000]  裡面講到鬼魔橫行的時候
[00:00:29.000 --> 00:00:32.000]  我們可以依靠主耶穌基督
[00:00:32.000 --> 00:00:33.000]  我們的救主
[00:00:33.000 --> 00:00:35.000]  我們開始今天講到之前
[00:00:35.000 --> 00:00:37.000]  我們先一同低頭禱告
[00:00:37.000 --> 00:00:44.000]  此刻因主我們來到你的庚前
[00:00:44.000 --> 00:00:47.000]  我們再思想這個福音
[00:00:47.000 --> 00:00:50.000]  多謝你們賜多你寶貴的話語
[00:00:50.000 --> 00:00:52.000]  在這十幾節經文裡面
[00:00:52.000 --> 00:00:54.000]  有很豐富的真理
[00:00:54.000 --> 00:00:55.000]  每次當孩子宣講的時候
[00:00:55.000 --> 00:00:59.000]  孩子都頓感覺到那種沉重
[00:00:59.000 --> 00:01:00.000]  那種不佩
[00:01:00.000 --> 00:01:03.000]  主也求你帶領我們每一個進入
[00:01:03.000 --> 00:01:05.000]  這個榮耀美麗的福音
[00:01:05.000 --> 00:01:07.000]  這個榮耀美麗的重寨裡面
[00:01:07.000 --> 00:01:10.000]  帶我們每一個來到十字架面前
[00:01:10.000 --> 00:01:11.000]  俯伏
[00:01:11.000 --> 00:01:13.000]  帶我們真正的認識你
[00:01:13.000 --> 00:01:16.000]  並且對裡面產生真正的信心
[00:01:16.000 --> 00:01:19.000]  以致我們能夠緊緊抓住你的話語
[00:01:19.000 --> 00:01:20.000]  我們禱告交托
[00:01:20.000 --> 00:01:22.000]  向救主的宿命之祈求
[00:01:22.000 --> 00:01:23.000]  Amen
[00:01:23.000 --> 00:01:27.000]  我們講道的講題是榮耀頌三
[00:01:27.000 --> 00:01:30.000]  然後講道經文和以往的一同二一樣
[00:01:30.000 --> 00:01:32.000]  都是三至十四節
[00:01:32.000 --> 00:01:34.000]  我們用了三篇的講道
[00:01:34.000 --> 00:01:37.000]  來細心思想這一段聖經
[00:01:37.000 --> 00:01:38.000]  今天是第三次
[00:01:38.000 --> 00:01:41.000]  也是最後的一次
[00:01:41.000 --> 00:01:45.000]  我帶大家看的是三至十四節
[00:01:45.000 --> 00:01:50.000]  其實我們之前已經講了三至十二節
[00:01:50.000 --> 00:01:52.000]  是講一同二集
[00:01:52.000 --> 00:01:54.000]  如果你想重溫的話
[00:01:54.000 --> 00:01:56.000]  你可以在YouTube找回
[00:01:56.000 --> 00:02:00.000]  今天我們會集中講十三到十四節
[00:02:00.000 --> 00:02:01.000]  但在開始之前
[00:02:01.000 --> 00:02:03.000]  我想先帶你回去看
[00:02:03.000 --> 00:02:06.000]  三至十四節的一個大圖畫
[00:02:06.000 --> 00:02:08.000]  我們一直在看的是整個三至十四節
[00:02:08.000 --> 00:02:10.000]  為什麼我們要這樣的分段
[00:02:10.000 --> 00:02:11.000]  因為在原文裡面
[00:02:11.000 --> 00:02:15.000]  三至十四節是一個連貫的讚美
[00:02:15.000 --> 00:02:17.000]  在中間是沒有停頓的
[00:02:17.000 --> 00:02:20.000]  這個是一整句的句子
[00:02:20.000 --> 00:02:22.000]  在第三節的開頭他講到
[00:02:22.000 --> 00:02:26.000]  願頌讚歸給我們主耶穌基督的父神
[00:02:26.000 --> 00:02:28.000]  在猶太人的讚美裡面
[00:02:28.000 --> 00:02:30.000]  其實有一個這樣的句式
[00:02:30.000 --> 00:02:32.000]  就是他先讚美上帝
[00:02:32.000 --> 00:02:33.000]  然後說應當稱頌
[00:02:33.000 --> 00:02:37.000]  然後下一句他會加一個讚美的原因和理由
[00:02:37.000 --> 00:02:38.000]  保羅他說
[00:02:38.000 --> 00:02:41.000]  願頌讚歸給我們的父神
[00:02:41.000 --> 00:02:44.000]  他是在講一個讚美的重讚
[00:02:44.000 --> 00:02:47.000]  然後他在三至十四節下面
[00:02:47.000 --> 00:02:50.000]  他講了一堆讚美的原因
[00:02:50.000 --> 00:02:54.000]  我不知道你平時有沒有讚美上帝
[00:02:54.000 --> 00:02:55.000]  如果你讚美上帝
[00:02:55.000 --> 00:02:57.000]  你會讚美些什麼呢
[00:02:57.000 --> 00:02:59.000]  如果今天我們要讚美上帝
[00:02:59.000 --> 00:03:01.000]  你在教會聽到的是
[00:03:01.000 --> 00:03:03.000]  一些很虛無的讚美
[00:03:03.000 --> 00:03:06.000]  或者有些他會講得白一點的
[00:03:06.000 --> 00:03:07.000]  讚美上帝
[00:03:07.000 --> 00:03:09.000]  因為上帝賜福於我
[00:03:09.000 --> 00:03:10.000]  上帝給我有美滿的婚姻
[00:03:10.000 --> 00:03:11.000]  美滿的家庭
[00:03:11.000 --> 00:03:12.000]  上帝給我這樣
[00:03:12.000 --> 00:03:13.000]  給我那樣
[00:03:13.000 --> 00:03:15.000]  很多都是從上帝而來得到的
[00:03:15.000 --> 00:03:18.000]  地上的好處
